ts,Dtree,nDtree,HK,ET,opt
1096101560,589,785,1817,1872,587
1096219061,1322,1735,4135,4236,1320
1096336562,1655,2197,6287,5806,1653
1096454063,2007,2709,7106,8022,2005
1096571564,2943,3705,9697,9422,2830
1096689065,3150,4464,11109,10634,3150
1096806566,3479,4905,12044,12302,3472
1096924067,3664,5581,14213,14282,3662
1097041568,4037,6074,16682,17611,4035
1097159069,4372,6613,16111,19524,4350
1097276570,4682,7118,18154,18833,4660
1097394071,4658,8528,18596,20416,4640
1097511572,4651,7805,19907,23302,4635
1097629073,4687,10884,21741,19750,4669
1097746574,4612,7930,19817,18983,4574
1097864075,4587,11059,21268,17848,4581
1097981576,4891,13960,20833,18559,4688
1098099077,4905,17046,20387,19363,4740
1098216578,5215,10748,19361,18124,4812
1098334079,5212,9843,22979,21606,4967
1098451580,5486,11819,20594,21775,5091
1098569081,5452,12247,20193,22247,5202
1098686582,5373,11737,20785,21003,5175
1098804083,5205,13700,20451,21799,5094
1098921584,5256,12223,23093,21462,5179
1099039085,5437,10978,23209,21537,5371
1099156586,5530,16971,24820,22456,5521
1099274087,5662,11863,25051,25444,5653
1099391588,5651,11678,22820,23739,5572
1099509089,6341,14880,25969,29432,6265
1099626590,6447,19183,26048,29752,6238
1099744091,6396,12021,26727,30999,6192
1099861592,6662,17925,28190,27983,6459
1099979093,6716,15072,29652,31066,6496
1100096594,6589,14153,31619,28792,6426
1100214095,6559,13138,29806,28622,6535
1100331596,6620,16809,31713,32114,6614
1100449097,6697,14007,30920,29414,6602
1100566598,5896,13775,27399,25200,5779
1100684099,5637,11580,25551,26272,5525
1100801600,5239,13805,24055,25029,5236
1100919101,5208,13583,22829,24916,5205
1101036602,5235,12372,23286,24352,5232
1101154103,5179,11820,23884,24625,5176
1101271604,5320,15474,24331,23525,5318
1101389105,5453,13236,23850,24340,5451
1101506606,5225,14180,27671,24962,5223
1101624107,5420,10987,26732,23442,5349
1101741608,5189,16849,23238,21201,5120
1101859109,5254,11812,24624,22518,5200
1101976610,5455,17773,24461,23797,5379
1102094111,5390,14980,24132,24958,5369
1102211612,5306,10809,25383,24093,5287
1102329113,5154,14793,23348,21865,5137
1102446614,4942,17699,20730,20979,4926
1102564115,4829,12836,19861,19949,4775
1102681616,4608,9860,18841,18839,4502
1102799117,4719,11480,20577,19143,4669
1102916618,4609,10512,17998,19233,4559
1103034119,4478,10951,18768,17417,4429
1103151620,4307,14694,17073,19791,4302
1103269121,4288,9036,16867,18481,4284
1103386622,4435,8758,20882,18329,4426
1103504123,4521,8738,18992,18255,4480
1103621624,4446,8574,20167,18462,4401
1103739125,4439,12658,17882,19959,4433
1103856626,4834,8398,20014,19045,4474
1103974127,4872,10688,18916,18378,4672
1104091628,4889,9100,20342,19484,4749
1104209129,4765,10474,19028,18783,4598
1104326630,5215,10664,19754,18560,4723
1104444131,5120,8626,21194,20491,4969
1104561632,5111,9287,20017,18742,5076
1104679133,4758,10011,17919,19861,4758
1104796634,4686,12988,16875,18350,4686
1104914135,5149,16191,20413,20556,5106
1105031636,4606,11086,17037,18576,4373
1105149137,4521,8147,16903,16882,4454
1105266638,4318,9916,15677,14425,4036
1105384139,3860,8863,15321,12785,3706
1105501640,3392,5946,12799,13783,3392
1105619141,2882,5059,11128,11996,2882
1105736642,2561,5098,9138,8855,2561
1105854143,2224,3820,7935,8838,2224
1105971644,1928,3586,7354,6413,1928
1106089145,1708,2984,5277,4918,1708
1106206646,980,2024,3121,3000,947
1106324147,478,608,1652,1489,456
1106441648,0,0,0,0,0
1106559149,0,0,0,0,0
1106676650,0,0,0,0,0
1106794151,0,0,0,0,0
1106911652,0,0,0,0,0
1107029153,0,0,0,0,0
1107146654,0,0,0,0,0
1107264155,0,0,0,0,0
1107381656,0,0,0,0,0
1107499157,0,0,0,0,0
1107616658,0,0,0,0,0
1107734159,0,0,0,0,0
