ts,Dtree,nDtree,HK,ET,opt
1423733250,2,2,3,3,2
1424167867,3,3,4,3,3
1424602484,3,3,4,3,3
1425037101,1,1,1,1,1
1425471718,0,0,0,0,0
1425906335,2,3,5,3,2
1426340952,9,15,22,20,9
1426775569,11,18,29,26,11
1427210186,12,12,38,29,12
1427644803,9,9,32,34,9
1428079420,8,8,28,31,8
1428514037,6,6,15,18,6
1428948654,3,3,3,8,3
1429383271,2,2,2,5,2
1429817888,2,2,2,3,2
1430252505,1,1,1,1,1
1430687122,1,1,1,1,1
1431121739,5,5,13,14,5
1431556356,5,5,13,14,5
1431990973,7,7,25,13,7
1432425590,1,1,1,1,1
1432860207,3,4,8,10,3
1433294824,3,5,9,9,3
1433729441,4,7,12,12,4
1434164058,6,6,17,14,6
1434598675,10,10,26,27,10
1435033292,9,9,21,24,9
1435467909,4,4,7,9,4
1435902526,2,2,5,2,2
1436337143,2,2,5,2,2
1436771760,2,2,5,2,2
1437206377,3,3,6,4,3
1437640994,12,18,29,23,12
1438075611,11,17,28,22,12
1438510228,9,11,19,16,9
1438944845,7,10,13,21,7
1439379462,9,10,24,23,9
1439814079,13,16,37,37,13
1440248696,9,9,20,22,9
1440683313,8,8,18,21,8
1441117930,6,6,13,17,6
1441552547,3,3,6,8,3
1441987164,8,8,27,20,8
1442421781,13,14,40,34,13
1442856398,23,24,66,54,23
1443291015,25,26,68,69,25
1443725632,33,33,103,98,33
1444160249,27,27,89,83,27
1444594866,23,23,78,64,23
1445029483,24,24,68,67,24
1445464100,55,57,165,183,55
1445898717,61,61,198,210,61
1446333334,90,93,311,281,90
1446767951,62,71,192,174,60
1447202568,77,81,237,246,77
1447637185,46,45,127,178,45
1448071802,57,58,190,202,57
1448506419,31,31,89,97,31
1448941036,27,27,73,79,27
1449375653,30,30,95,128,30
1449810270,45,47,170,183,45
1450244887,55,57,210,195,55
1450679504,43,44,157,165,42
1451114121,18,23,80,52,18
1451548738,8,10,24,20,8
1451983355,10,18,27,25,10
1452417972,20,30,54,53,20
1452852589,40,66,164,153,40
1453287206,52,53,283,224,52
1453721823,59,60,308,240,59
1454156440,46,48,167,148,46
1454591057,43,49,185,152,43
1455025674,75,76,389,267,75
1455460291,64,64,305,227,64
1455894908,71,72,328,295,71
1456329525,54,54,283,211,54
1456764142,71,72,356,315,71
1457198759,68,112,312,308,68
1457633376,58,92,242,230,58
1458067993,39,39,120,124,39
1458502610,22,28,71,81,22
1458937227,31,34,100,101,31
1459371844,35,41,135,138,35
1459806461,32,38,104,93,32
1460241078,33,44,126,98,33
1460675695,41,46,161,124,41
1461110312,39,43,156,135,39
1461544929,319,387,803,782,269
1461979546,1497,3618,6879,6557,1410
1462414163,1970,4755,9404,8913,1712
1462848780,2233,5601,11775,11533,1990
1463283397,2245,5411,11842,11459,1987
1463718014,2480,8377,12483,14248,2151
1464152631,2752,7871,14547,16849,2283
1464587248,2517,6199,11398,12270,1912
1465021865,1663,4580,7513,7236,1270
1465456482,1,1,3,2,1
1465891099,0,0,0,0,0
1466325716,0,0,0,0,0
1466760333,0,0,0,0,0
