ts,Dtree,nDtree,HK
916721318,98,185,649
917997376,32,56,118
919273434,148,268,872
920549492,49,49,241
921825550,53,53,285
923101608,26,30,104
924377666,71,118,303
925653724,16,16,51
926929782,291,424,1151
928205840,400,1221,1442
929481898,562,1387,2273
930757956,409,641,1899
932034014,732,1520,2649
933310072,876,2307,3957
934586130,624,810,2313
935862188,303,687,1213
937138246,489,908,2315
938414304,1219,2385,5190
939690362,1995,7538,7183
940966420,1543,3706,4535
942242478,1755,4193,7185
943518536,2359,5398,6422
944794594,1765,6692,5719
946070652,4759,20955,13960
947346710,3323,10058,11319
948622768,4289,13529,16915
949898826,8231,28240,29447
951174884,11489,26427,30103
952450942,8826,36427,28387
953727000,6528,18852,24285
955003058,7901,33059,30175
956279116,8737,35216,36514
957555174,7549,27054,29758
958831232,10884,60641,45106
960107290,8042,37065,33212
961383348,11186,32518,48377
962659406,13877,82906,57338
963935464,9327,21262,38917
965211522,12823,51442,50507
966487580,12501,35326,53471
967763638,16786,71184,66731
969039696,16216,86718,60450
970315754,20486,62817,73663
971591812,20281,81934,74118
972867870,19711,97984,94325
974143928,25927,95112,117207
975419986,23322,77231,93135
976696044,33805,161143,143529
977972102,17700,39925,67219
979248160,14207,74062,59200
980524218,16842,76697,66734
981800276,17073,78389,71452
983076334,17719,54709,77183
984352392,19803,89210,92273
985628450,22356,104658,100963
986904508,21965,95548,111377
988180566,27556,149644,129421
989456624,35333,164879,159265
990732682,33333,169414,158147
992008740,33334,105823,146510
993284798,27888,134015,100855
994560856,17592,102020,60019
995836914,22018,82747,80751
997112972,24079,88043,83302
998389030,19127,49871,74391
999665088,17493,91496,83785
1000941146,27856,112058,123940
1002217204,38593,164815,167672
1003493262,38353,209269,165063
1004769320,48060,252513,216863
1006045378,35396,252544,157985
1007321436,34492,156224,159112
1008597494,19023,76684,71672
1009873552,17225,82562,70994
1011149610,19186,89626,76236
1012425668,30199,120784,113516
1013701726,15452,83232,73719
1014977784,8807,25403,31162
1016253842,10644,19795,33870
1017529900,6857,14824,22763
1018805958,1031,1670,3874
1020082016,667,1349,2386
1021358074,2272,9797,15199
1022634132,849,1661,3043
1023910190,739,1573,2700
1025186248,961,1898,4339
1026462306,145,387,616
1027738364,8,12,20
1029014422,0,0,0
1030290480,0,0,0
1031566538,0,0,0
1032842596,0,0,0
1034118654,0,0,0
1035394712,1,1,1
1036670770,0,0,0
1037946828,0,0,0
1039222886,0,0,0
1040498944,1,1,1
1041775002,0,0,0
1043051060,0,0,0
