ts,Dtree,nDtree,HK,ET,opt
1084754037,438,903,1481,1226,404
1084922078,799,2048,3157,2809,695
1085090119,1072,3070,4421,4592,957
1085258160,1262,3732,6148,5670,1152
1085426201,1364,4165,6400,5967,1246
1085594242,1470,4623,7280,7185,1369
1085762283,1540,4970,8410,7847,1429
1085930324,1602,8407,9118,7574,1465
1086098365,1703,11128,9293,8203,1514
1086266406,1841,11879,8373,9664,1599
1086434447,1894,12480,9311,8676,1624
1086602488,1920,13546,8889,9222,1631
1086770529,1949,19079,8417,8925,1672
1086938570,2024,11446,8384,8699,1641
1087106611,2044,11541,8458,8227,1639
1087274652,2019,9097,8228,8138,1663
1087442693,2180,12580,8071,7806,1648
1087610734,2151,12989,7872,7746,1575
1087778775,2128,10558,7461,7137,1564
1087946816,2036,9882,6982,6935,1534
1088114857,2268,8656,7104,7101,1495
1088282898,2017,7638,6207,6502,1449
1088450939,1867,5973,5914,6837,1411
1088618980,1917,10031,5312,5780,1329
1088787021,1857,5841,5499,5412,1371
1088955062,1838,6796,5710,5657,1391
1089123103,2005,6617,5706,5613,1442
1089291144,2018,6346,6327,5048,1445
1089459185,2088,6578,5134,5678,1454
1089627226,2746,9542,5312,5766,1475
1089795267,2534,6694,4990,5374,1423
1089963308,2282,4428,4869,5326,1427
1090131349,2039,7927,5257,5356,1395
1090299390,1753,6243,4494,4337,1448
1090467431,1709,4712,4824,4338,1483
1090635472,1590,6348,5114,4459,1419
1090803513,1501,5579,4352,4229,1374
1090971554,1253,7484,4732,4182,1003
1091139595,1310,3517,4348,4051,1022
1091307636,1286,5822,4162,4538,1063
1091475677,1336,4189,4224,4249,1050
1091643718,1388,4527,4820,4336,1110
1091811759,1351,3887,4425,4050,1067
1091979800,1301,5150,4375,4054,1026
1092147841,1330,5080,4014,3966,1012
1092315882,1186,4571,3570,3742,986
1092483923,1126,2919,3842,3886,941
1092651964,1141,3324,3463,3491,895
1092820005,1100,4544,3257,3504,903
1092988046,1008,3033,3019,3178,786
1093156087,924,3287,3154,3077,758
1093324128,881,2592,3128,3168,713
1093492169,934,3761,3363,3218,740
1093660210,888,3126,3073,3409,735
1093828251,868,2668,2982,2987,748
1093996292,904,2688,3459,3136,792
1094164333,874,2470,3011,3245,806
1094332374,892,2181,3159,3380,823
1094500415,877,3325,3149,2964,812
1094668456,848,2193,2860,2876,805
1094836497,825,1874,2781,2654,792
1095004538,864,2543,2594,2884,800
1095172579,783,1983,2423,2410,748
1095340620,757,3729,2431,2486,722
1095508661,752,2215,2169,2542,715
1095676702,691,2166,2268,2146,663
1095844743,690,2138,2111,2218,669
1096012784,679,1810,2242,2304,668
1096180825,975,2780,3065,3623,963
1096348866,953,3435,3058,2975,940
1096516907,1015,3119,3348,3126,955
1096684948,1090,2073,3446,3387,1075
1096852989,1112,3550,3450,3309,1099
1097021030,956,2637,3582,3137,916
1097189071,953,2805,3435,3029,915
1097357112,833,2422,2962,2656,801
1097525153,694,2636,2367,2263,677
1097693194,628,1123,2172,2037,621
1097861235,777,3205,2601,2542,768
1098029276,768,2800,2458,2362,763
1098197317,809,1989,2235,2469,793
1098365358,745,1969,2060,2334,736
1098533399,734,2547,2068,2014,730
1098701440,734,2495,1844,2029,706
1098869481,696,1654,1851,1849,678
1099037522,692,1746,1545,1624,648
1099205563,586,717,1116,967,455
1099373604,429,482,708,686,334
1099541645,259,452,455,488,251
1099709686,217,236,346,315,169
1099877727,168,185,277,251,160
1100045768,27,35,61,49,27
1100213809,0,0,0,0,0
1100381850,0,0,0,0,0
1100549891,0,0,0,0,0
1100717932,0,0,0,0,0
1100885973,0,0,0,0,0
1101054014,0,0,0,0,0
1101222055,0,0,0,0,0
1101390096,0,0,0,0,0
