ts,Dtree,nDtree,HK,ET,opt
1082227042,2,2,4,4,2
1082420323,3,3,5,6,3
1082613604,202,286,604,576,166
1082806885,511,927,1802,1893,445
1083000166,721,1441,2640,2715,650
1083193447,954,2197,4013,4251,878
1083386728,1266,3097,5881,5775,1180
1083580009,1414,3627,6773,6732,1363
1083773290,1734,8787,9005,8517,1628
1083966571,1918,10812,10160,10114,1807
1084159852,2143,8814,10827,10907,1874
1084353133,2434,14139,12376,11535,1968
1084546414,2554,18439,13329,11789,2027
1084739695,2528,19542,13247,12906,2091
1084932976,2740,17241,13885,12321,2234
1085126257,2710,15230,12456,12824,2328
1085319538,2756,22380,11632,12566,2262
1085512819,2825,29156,13414,12592,2323
1085706100,3070,28049,13471,14645,2454
1085899381,3087,16962,13904,14182,2469
1086092662,3121,17372,13793,14787,2456
1086285943,3170,18726,15526,14692,2557
1086479224,3253,13879,14018,13863,2479
1086672505,3211,19034,13617,13686,2604
1086865786,3036,23308,12890,13778,2762
1087059067,3127,17141,13848,12295,2537
1087252348,2871,14316,10559,11586,2368
1087445629,2680,12765,10036,9715,2180
1087638910,2756,9760,8628,8640,2122
1087832191,2362,13522,6956,8120,1894
1088025472,2205,17897,6142,6411,1655
1088218753,1798,6195,4666,4278,1270
1088412034,1406,4489,3656,3595,1074
1088605315,1205,3058,2596,2546,919
1088798596,1378,3868,3325,3547,1003
1088991877,1023,3505,3814,3538,906
1089185158,1027,2917,3988,4223,934
1089378439,1073,3404,4342,4314,971
1089571720,1077,4768,4689,4861,990
1089765001,1107,5281,4896,5120,1046
1089958282,999,4538,4893,4207,943
1090151563,945,3509,3761,3857,913
1090344844,1036,2106,3835,3826,934
1090538125,1087,3283,3580,3556,933
1090731406,986,3592,3281,3272,852
1090924687,937,2469,2466,2624,768
1091117968,940,2207,2549,2650,763
1091311249,897,4289,2495,2589,723
1091504530,1085,4963,2778,2485,748
1091697811,1060,2779,3027,2952,790
1091891092,889,2584,2388,2547,702
1092084373,805,2502,2575,2558,673
1092277654,805,1575,2129,2197,685
1092470935,755,1692,2854,2460,698
1092664216,702,2255,2219,2650,666
1092857497,647,2293,2340,2294,622
1093050778,660,1984,2128,2057,608
1093244059,618,2582,2184,2236,603
1093437340,648,2433,2291,2394,633
1093630621,627,2079,2337,2345,609
1093823902,764,1965,2517,2614,742
1094017183,716,2425,2718,2619,700
1094210464,807,2170,2809,2781,793
1094403745,749,3038,2352,2595,737
1094597026,792,1880,2303,2779,753
1094790307,870,2105,2141,2394,723
1094983588,798,2097,2196,2072,666
1095176869,662,1138,1910,2014,592
1095370150,730,1398,2052,2292,651
1095563431,686,2980,1946,2228,623
1095756712,649,3471,2015,2258,617
1095949993,635,1175,2341,2073,609
1096143274,635,3161,2112,2374,612
1096336555,584,1447,2500,2135,582
1096529836,598,1577,2079,2005,578
1096723117,605,1697,2087,1921,574
1096916398,541,1469,1728,1609,523
1097109679,479,1604,1463,1442,465
1097302960,471,1517,1301,1308,469
1097496241,438,1026,1271,1359,438
1097689522,463,1059,1129,1042,419
1097882803,576,957,1090,1104,468
1098076084,714,1730,1559,1538,678
1098269365,596,1932,1405,1249,570
1098462646,547,1167,1113,1108,524
1098655927,483,1094,927,1091,480
1098849208,819,1314,1204,1351,644
1099042489,688,923,966,1037,590
1099235770,328,579,746,827,283
1099429051,152,237,376,411,152
1099622332,98,139,278,305,97
1099815613,70,110,235,263,70
1100008894,37,65,174,181,37
1100202175,0,0,0,0,0
1100395456,0,0,0,0,0
1100588737,0,0,0,0,0
1100782018,0,0,0,0,0
1100975299,0,0,0,0,0
1101168580,0,0,0,0,0
1101361861,0,0,0,0,0
