ts,Dtree,nDtree,HK
1920,10054,11256,0
1921,26289,32558,0
1922,63162,98160,0
1923,113101,196617,0
1924,162127,323007,0
1925,282838,644441,0
1926,284227,638072,0
1927,302143,1233997,0
1928,374979,1116444,0
1929,375610,1739683,0
1930,399989,1814735,0
1931,476308,1981242,0
1932,519218,1766410,0
1933,519723,1878180,0
1934,727002,2218325,0
1935,728387,2177462,0
1936,490331,3716148,0
1937,481580,3024970,0
1938,545271,3392318,0
1939,650642,5335200,0
1940,679964,5543270,0
1941,690119,4585864,0
1942,645729,3712626,0
1943,618574,3419489,0
1944,621243,6305748,0
1945,710810,4190757,0
1946,697145,4738814,0
1947,773520,4268239,0
1948,914888,4793546,0
1949,989633,6873054,0
1950,1167859,7104041,0
1951,1389104,13122024,0
1952,3087557,14920087,0
1953,2348131,13767437,0
1954,2451283,20724349,0
1955,2612180,23755047,0
1956,2766716,43328397,0
1957,3218944,35968246,0
1958,3927911,59468476,0
1959,3774678,50011003,0
1960,4366066,49607993,0
1961,4858585,67825316,0
1962,5240082,62582318,0
1963,5419121,77488196,0
1964,5628161,97216071,0
1965,5764152,104370653,0
1966,6370287,170229030,0
1967,7134679,138033365,0
1968,7664564,160666213,0
1969,8450159,230798964,0
1970,9164479,191644966,0
1971,9944866,273765108,0
1972,12078386,270591718,0
1973,12264590,313470869,0
1974,12879842,340723412,0
1975,12615088,359239900,0
1976,14440927,563302721,0
1977,14723962,297621367,0
1978,15001994,499670775,0
1979,15410245,622547100,0
1980,16253109,393249578,0
1981,18413447,472614264,0
1982,18664838,616457051,0
1983,19297150,548305859,0
1984,19713249,553905735,0
1985,19829834,703143324,0
1986,21648154,616428184,0
1987,24387249,884673751,0
1988,25179864,756978391,0
1989,28823128,1582100260,0
1990,25287706,1150679537,0
1991,39003520,1125085331,0
1992,33271308,1279549857,0
1993,38330455,988968445,0
1994,34449711,1731051881,0
1995,37241989,1721275596,0
1996,42056293,925693897,0
1997,38139780,1427880075,0
1998,40293032,1796543357,0
1999,43175734,1510657064,0
2000,44307610,1401409476,0
2001,50230669,2555635300,0
2002,52518502,1534807411,0
2003,54613508,2738525160,0
2004,58697478,2472241674,0
2005,61372387,2998665780,0
2006,66792909,4540349328,0
2007,69896797,3460487324,0
2008,75437057,4819119937,0
2009,81834489,4833281583,0
2010,84754863,3812043387,0
2011,89414493,5376584668,0
2012,95150967,3769739593,0
2013,96636567,5081994815,0
2014,102659351,4353881264,0
2015,105732404,6070858179,0
2016,124480407,5472595820,0
2017,128980754,3983797344,0
2018,131987110,4331092231,0
2019,134645407,3205081942,0
2020,134426072,5768751359,0
2021,132262945,8278404032,0
2022,132832058,3992504136,0
2023,123728050,4906683672,0
2024,104683894,3437474010,0
2025,84548028,4492404796,0
2026,53167886,1518288546,0
2027,25409655,518924102,0
2028,0,0,0
