ts,Dtree,nDtree,HK
1219990852,5003,31359,24828
1222413827,26608,228909,134466
1224836802,24011,162209,114703
1227259777,23072,343118,108659
1229682752,24454,196487,107434
1232105727,20294,220725,136635
1234528702,24794,328425,151231
1236951677,25820,306902,151145
1239374652,26206,361977,157836
1241797627,33137,377123,195165
1244220602,37388,347911,204051
1246643577,38253,467227,235878
1249066552,41618,291807,251149
1251489527,44582,498542,257040
1253912502,44393,710908,263598
1256335477,55537,615344,327357
1258758452,66687,683384,415236
1261181427,67249,881257,383304
1263604402,62574,502809,366690
1266027377,76730,893063,431865
1268450352,77141,611843,427161
1270873327,78759,1194957,431013
1273296302,89370,626461,474832
1275719277,88718,714765,467044
1278142252,87793,1206387,518729
1280565227,101795,1244505,564920
1282988202,100728,1522258,577758
1285411177,95369,2408014,565785
1287834152,106156,1036120,609883
1290257127,114810,1432929,650000
1292680102,124599,1919635,662491
1295103077,125813,1482315,697676
1297526052,149864,2139400,833168
1299949027,158578,2536116,943395
1302372002,164778,3401805,969831
1304794977,172058,1945421,939207
1307217952,174177,3295571,907295
1309640927,179979,1711763,1091669
1312063902,183592,2631519,1027494
1314486877,182595,4598503,995309
1316909852,184435,2421608,1080012
1319332827,184322,2689645,1084525
1321755802,200260,2789636,1128661
1324178777,218327,4203615,1212418
1326601752,209371,5049892,1140308
1329024727,238478,4863098,1309658
1331447702,251364,4527664,1456576
1333870677,252376,4619418,1516099
1336293652,263734,3846620,1425436
1338716627,252852,4121278,1349198
1341139602,265868,3780988,1469493
1343562577,278225,3430152,1527266
1345985552,280807,3667772,1457112
1348408527,296026,3972395,1493760
1350831502,314878,7268851,1649271
1353254477,321661,5472442,1658838
1355677452,331784,3858342,1806033
1358100427,301802,4071903,1555992
1360523402,364130,6418006,2003476
1362946377,362261,5348449,1917686
1365369352,381757,7144762,1919389
1367792327,371827,7371357,1898908
1370215302,382910,6998235,1925509
1372638277,367780,8135566,2005544
1375061252,385431,6728788,1967808
1377484227,369967,4899476,1915323
1379907202,408104,4385508,2219009
1382330177,427997,7158237,2071014
1384753152,444732,7248635,2196065
1387176127,443982,4770330,2194657
1389599102,395058,7398560,1922206
1392022077,463935,13808974,2358148
1394445052,497463,7101489,2501943
1396868027,483157,18291750,2502238
1399291002,454993,11758890,2358755
1401713977,440994,5048329,2106398
1404136952,433061,7216451,2004792
1406559927,465417,8233661,2167991
1408982902,430061,6103585,2049948
1411405877,465477,10803717,2159975
1413828852,466992,6635448,2214820
1416251827,479767,10998160,2239001
1418674802,489281,8469162,2255431
1421097777,410337,9664847,1889622
1423520752,488656,9643263,2386080
1425943727,504369,6673401,2676334
1428366702,527741,6558158,2408084
1430789677,539204,13334630,2567368
1433212652,532536,10260688,2477428
1435635627,526674,18023909,2618758
1438058602,534815,9401989,2529501
1440481577,551582,9662747,2438424
1442904552,533016,10615062,2557072
1445327527,545018,8201564,2671703
1447750502,523468,14936697,2527487
1450173477,562949,11018817,2586471
1452596452,490461,11137745,2194228
1455019427,584009,15689087,2727377
1457442402,596657,12641911,2731387
1459865377,0,0,0
