ts,Dtree,nDtree,HK
1266238080,80941,296842,604545
1266284160,81407,306429,637744
1266330240,81879,311790,639912
1266376320,81908,311913,645200
1266422400,81920,312122,638394
1266468480,81941,312294,646235
1266514560,81992,312554,664275
1266560640,82019,312735,642165
1266606720,82020,312977,641848
1266652800,82030,313055,641243
1266698880,82027,313133,640678
1266744960,82028,313192,646448
1266791040,82037,313224,647429
1266837120,82061,313315,646448
1266883200,82096,313536,641620
1266929280,82120,313646,668373
1266975360,82131,313783,648622
1267021440,82171,314003,640918
1267067520,82193,314121,642522
1267113600,82228,314361,644435
1267159680,82253,314552,645177
1267205760,82291,314774,655029
1267251840,82295,314839,637772
1267297920,82290,314910,666829
1267344000,82307,314974,637572
1267390080,82311,315017,643326
1267436160,82313,315038,650459
1267482240,82459,315727,657374
1267528320,42822,249159,242131
1267574400,38031,244837,208460
1267620480,20190,105531,93520
1267666560,19779,83569,82916
1267712640,19453,63416,78982
1267758720,19719,101291,84305
1267804800,18789,78736,83375
1267850880,18249,89538,72637
1267896960,17496,77194,72105
1267943040,17879,55965,75220
1267989120,17726,57249,73668
1268035200,17303,83217,68008
1268081280,16941,54383,67921
1268127360,16431,44063,71070
1268173440,16020,49360,67805
1268219520,16078,76180,67263
1268265600,16148,78233,71098
1268311680,15432,89771,61442
1268357760,14832,64297,58265
1268403840,14018,58265,54043
1268449920,13442,56067,55605
1268496000,12495,48136,47998
1268542080,12787,60046,48062
1268588160,11780,30888,48137
1268634240,11484,32164,44726
1268680320,11202,39293,44230
1268726400,10621,41162,43404
1268772480,9673,29168,37737
1268818560,8982,30007,35877
1268864640,8461,27196,29656
1268910720,7843,28440,31280
1268956800,7384,40044,25578
1269002880,6406,22942,21427
1269048960,5638,20406,19502
1269095040,4807,24833,17383
1269141120,4324,16339,14305
1269187200,3997,13653,11975
1269233280,3620,10956,11306
1269279360,3359,11062,10883
1269325440,3020,11019,9575
1269371520,2456,7968,6843
1269417600,1605,2860,4672
1269463680,526,1702,1503
1269509760,0,0,0
1269555840,0,0,0
1269601920,0,0,0
1269648000,0,0,0
1269694080,0,0,0
1269740160,0,0,0
1269786240,0,0,0
1269832320,0,0,0
1269878400,0,0,0
1269924480,0,0,0
1269970560,0,0,0
1270016640,0,0,0
1270062720,0,0,0
1270108800,0,0,0
1270154880,0,0,0
1270200960,0,0,0
1270247040,0,0,0
1270293120,0,0,0
1270339200,0,0,0
1270385280,0,0,0
1270431360,0,0,0
1270477440,0,0,0
1270523520,0,0,0
1270569600,0,0,0
1270615680,0,0,0
1270661760,0,0,0
1270707840,0,0,0
1270753920,0,0,0
1270800000,0,0,0
