ts,Dtree,nDtree,HK,ET,opt
1081710722,65,109,291,242,61
1082927524,55,88,183,196,55
1084144326,71,116,250,245,65
1085361128,50,123,170,176,46
1086577930,50,94,296,290,50
1087794732,53,94,217,152,53
1089011534,97,178,198,277,97
1090228336,109,199,380,354,83
1091445138,87,293,605,557,87
1092661940,88,159,500,537,88
1093878742,36,71,187,191,36
1095095544,98,180,693,660,98
1096312346,262,1117,906,959,202
1097529148,378,707,1223,1227,245
1098745950,373,796,1079,1226,268
1099962752,332,910,1256,1361,305
1101179554,400,1279,1964,1839,384
1102396356,340,794,1355,1293,298
1103613158,298,778,1038,1106,279
1104829960,249,644,823,835,212
1106046762,212,370,1080,1172,187
1107263564,239,531,651,793,170
1108480366,214,440,808,710,176
1109697168,147,323,487,424,135
1110913970,369,1039,1429,1535,296
1112130772,491,1049,1841,1584,318
1113347574,438,869,1714,1696,357
1114564376,425,1351,1899,1716,357
1115781178,512,1836,1815,1889,332
1116997980,330,923,1608,1333,306
1118214782,625,1741,2140,2080,458
1119431584,582,1777,2527,2970,498
1120648386,805,1797,2951,2895,619
1121865188,750,2451,2880,2729,579
1123081990,635,2473,2595,2492,530
1124298792,794,1892,3719,3552,652
1125515594,715,2070,3069,2698,622
1126732396,682,2246,2905,2807,629
1127949198,846,2244,2734,3439,634
1129166000,1194,3842,4425,4583,802
1130382802,1273,5085,4726,4305,909
1131599604,1359,3966,4888,6195,975
1132816406,1201,2620,4039,4282,826
1134033208,1670,3957,5008,4988,797
1135250010,1144,3782,4829,4324,843
1136466812,1206,3940,4510,4850,846
1137683614,1252,5455,6386,5794,1163
1138900416,1342,4903,5644,5747,1029
1140117218,1177,4539,5265,5667,1009
1141334020,1519,4229,6273,6478,1100
1142550822,1546,4375,6128,6148,1041
1143767624,1931,7478,7069,6038,1140
1144984426,1636,3387,6035,6864,906
1146201228,1316,5337,6736,5723,1035
1147418030,1426,6424,6302,5942,978
1148634832,2044,6989,6975,8152,1182
1149851634,1681,3612,6644,5733,1056
1151068436,1460,3651,5506,5690,1089
1152285238,1611,3630,5453,5985,1017
1153502040,1517,4038,6526,5792,1123
1154718842,1706,3092,5794,5624,891
1155935644,1593,4704,5202,5431,958
1157152446,1300,4814,4672,4735,932
1158369248,1206,2443,5413,5165,914
1159586050,1194,3448,4629,5059,914
1160802852,1209,7059,7103,7132,1113
1162019654,1290,5717,6360,6190,1157
1163236456,1142,5529,5910,5937,1009
1164453258,986,3335,4491,5600,927
1165670060,1029,3431,4083,4458,888
1166886862,921,4034,4575,4147,833
1168103664,871,3465,4287,4698,843
1169320466,1488,5975,7196,7671,1162
1170537268,1559,4540,7303,7572,1244
1171754070,1413,3891,7063,7068,1215
1172970872,1363,3900,5692,5863,1008
1174187674,1435,7136,6014,6575,1121
1175404476,1116,3274,5736,5855,1020
1176621278,1552,5905,8403,8096,1293
1177838080,1339,5808,5799,5739,1119
1179054882,1346,6858,6724,6506,1213
1180271684,1775,4743,7399,7004,1249
1181488486,1688,5239,6826,6861,1364
1182705288,1528,3781,4598,5024,933
1183922090,1087,4480,4851,4888,774
1185138892,1114,2359,5124,4804,856
1186355694,1238,6720,7289,6493,1067
1187572496,1018,3022,4104,4047,808
1188789298,818,2527,3785,3952,698
1190006100,1146,4035,5915,5745,1078
1191222902,1075,2389,4991,5529,1034
1192439704,1000,5669,5591,5786,974
1193656506,858,4541,4406,4172,776
1194873308,1503,11101,8648,9032,1431
1196090110,1175,7545,5251,5706,1021
1197306912,1219,4900,5611,6010,1137
1198523714,1413,5396,6586,6840,1200
1199740516,905,6013,4459,4770,868
1200957318,0,0,0,0,0
1202174120,0,0,0,0,0
