ts,Dtree,nDtree,HK
1165925484,4203475,5101071,26854720
1166145768,4247503,5159093,26321552
1166366052,4273001,5193052,27497326
1166586336,4322282,5258539,27494580
1166806620,4353943,5301920,27729129
1167026904,372482,4275456,1819971
1167247188,330797,2066265,1727003
1167467472,339249,3693835,1796226
1167687756,340465,5146043,1870625
1167908040,365788,2234061,1974697
1168128324,414339,4777056,1977626
1168348608,449976,3726692,2187919
1168568892,454473,5390243,2141305
1168789176,456477,4865511,2290148
1169009460,416613,2889301,1990565
1169229744,358867,4101236,1713048
1169450028,314603,2546132,1222721
1169670312,215547,1633001,824351
1169890596,152001,1278035,530253
1170110880,62617,215948,149558
1170331164,0,0,0
1170551448,0,0,0
1170771732,0,0,0
1170992016,3739115,10993573,23475469
1171212300,3808013,11250645,23485980
1171432584,3907972,11625238,25080663
1171652868,3982719,11894296,24953690
1171873152,4078791,12249967,25645655
1172093436,4155456,12530527,26452238
1172313720,893733,5086555,3128072
1172534004,803756,4273014,3177155
1172754288,787806,5923609,3194612
1172974572,778854,11174022,3020058
1173194856,839299,6287703,3348786
1173415140,820429,5583342,3376541
1173635424,787248,7249625,3405773
1173855708,784272,6927918,3404797
1174075992,789655,5744061,3555282
1174296276,603000,10137737,3821935
1174516560,585401,6298834,3822479
1174736844,601916,8630219,3779221
1174957128,616837,10588138,3898841
1175177412,616357,7936849,3847200
1175397696,647341,5709423,4109097
1175617980,649937,4092379,3803619
1175838264,648127,7716911,3985200
1176058548,650785,5698518,3990328
1176278832,665077,6349822,3803038
1176499116,686545,5847121,3909834
1176719400,705831,8234044,4168421
1176939684,750768,9539481,4170034
1177159968,734055,6470609,4413060
1177380252,812142,3137557,4539170
1177600536,842654,3694003,4642301
1177820820,865806,4838825,4811827
1178041104,904062,4209875,5179119
1178261388,951080,8026985,5416360
1178481672,1010406,7128155,5917215
1178701956,1044485,4909792,5843849
1178922240,1071490,5611889,6289902
1179142524,1096184,6621981,6242606
1179362808,1108951,12493463,6353324
1179583092,1113093,6237559,6432835
1179803376,1165940,7876088,6612237
1180023660,1157958,9175402,6917328
1180243944,1190976,7205836,7356249
1180464228,1190148,9285737,6805736
1180684512,1134232,9438909,7165358
1180904796,1137980,9233735,7437149
1181125080,1142283,9143127,7441906
1181345364,1214541,8104135,7550559
1181565648,1224945,14898689,8075216
1181785932,1246413,12674253,8028951
1182006216,1515477,24026650,8636676
1182226500,1511713,15941059,9336055
1182446784,1605576,22584762,10611662
1182667068,1684371,11634994,10627770
1182887352,1700150,14562489,11615577
1183107636,1782699,12536810,12130684
1183327920,1928623,25247825,12722734
1183548204,1984582,20832288,12621654
1183768488,1958882,15117596,12562470
1183988772,1869857,28799234,12411144
1184209056,1968545,15117170,12428405
1184429340,1981559,20485388,13030927
1184649624,1840388,25017623,11716723
1184869908,1922398,11249543,13125016
1185090192,1945311,13278175,13045776
1185310476,1840225,25795321,12648246
1185530760,1597998,17069646,10285927
1185751044,1257347,7803573,7694511
1185971328,993478,8716809,6123993
1186191612,618659,6962475,3147805
1186411896,272489,1984702,1151454
1186632180,0,0,0
1186852464,0,0,0
1187072748,0,0,0
1187293032,0,0,0
1187513316,0,0,0
1187733600,0,0,0
