Graph,DTree,nDTree,HK,ET,opt
DNC,1.4126922931463712e-06,2.5414888097215112e-06,1.308603589734595e-05,3.6831626649695853e-06,4.3426545855867955
CA,1.3885663767560476e-06,1.7764559039842138e-06,1.3659109484613559e-05,3.1908543301211934e-06,13.058036478135568
MS,1.4023192616152028e-06,2.139444341313863e-06,1.513076851040841e-05,3.575097410844631e-06,5.430911288025271
WI,1.1235201255610115e-06,1.4012467560080909e-06,9.417648406133115e-06,2.164414750862521e-06,1.4878749839262477
FB,1.3461972450980925e-06,1.7595023482787229e-06,1.3177728763472817e-05,3.4274524619196347e-06,2.44922736205955
Tech,9.618182149341717e-07,1.0340435292020887e-06,1.290274831688916e-05,0,0
EN,7.009325645599541e-07,7.642392836991556e-07,4.216824469600977e-06,0,0
ST,1.2503431392783871e-06,1.355110246603686e-06,1.844243035134162e-05,0,0
YT,1.1209692938443703e-06,1.2746689608462826e-06,2.6271810587431354e-05,0,0
SC,1.6472883734399057e-06,1.4122313554949081e-06,0,0,0
