Graph,DTree,nDTree,HK,ET,opt
DNC,3.8376638735477995e-05,3.0683976449690036e-05,0.00018830585762428736,0.00802904310460667,3.7385571910006794
CA,3.439956543953323e-05,2.6222503745339547e-05,0.00016239964665197733,0.011365367994830677,10.67332698181892
MS,5.182781527165457e-05,4.8837721685701407e-05,0.00032053537181017135,0.011334659651613174,5.347393889858182
WI,4.662483252338564e-05,3.3449792643411124e-05,0.000231419096957882,0.006256675704050698,1.9762180413526775
FB,5.43393617551144e-05,4.936710881723942e-05,0.00028841822312308525,0.007002717800058123,2.6120795486492816
Tech,4.050031911869039e-05,3.208028030861347e-05,0.000807112711640787,0,0
EN,2.5251170982666067e-05,1.649596353781313e-05,9.97623033770207e-05,0,0
ST,5.733237281112057e-05,9.850276489915924e-05,0.00077852327781247,0,0
YT,4.622504906024979e-05,4.3080205907982e-05,0.00036184546276716125,0,0
SC,0.0001864167242308584,0.0004950872031450427,0,0,0
