d freq
0 1589568
1 221931
2 196078
3 100109
4 57949
5 31164
6 16978
7 9285
8 5239
9 3143
10 2126
11 1793
12 1986
13 2715
14 4106
15 6410
16 9963
17 15230
18 22620
19 32670
20 45631
21 61839
22 81096
23 102967
24 126446
25 150471
26 173347
27 193381
28 209228
29 219307
30 223070
31 220250
32 211063
33 196613
34 178158
35 156904
36 134540
37 112181
38 91248
39 72179
40 55684
41 41820
42 30676
43 21915
44 15234
45 10348
46 6858
47 4425
48 2794
49 1717
50 1029
51 601
52 345
53 194
54 107
55 58
56 30
57 14
58 7
59 3
60 2
