ts,num
1096101560,314
1096219061,529
1096336562,630
1096454063,745
1096571564,868
1096689065,985
1096806566,1097
1096924067,1214
1097041568,1290
1097159069,1423
1097276570,1545
1097394071,1557
1097511572,1545
1097629073,1580
1097746574,1583
1097864075,1640
1097981576,1669
1098099077,1682
1098216578,1687
1098334079,1743
1098451580,1747
1098569081,1790
1098686582,1804
1098804083,1847
1098921584,1897
1099039085,1932
1099156586,2022
1099274087,2061
1099391588,2092
1099509089,2262
1099626590,2277
1099744091,2316
1099861592,2337
1099979093,2331
1100096594,2292
1100214095,2327
1100331596,2348
1100449097,2304
1100566598,2242
1100684099,2192
1100801600,2028
1100919101,2041
1101036602,2057
1101154103,2022
1101271604,2042
1101389105,2081
1101506606,2052
1101624107,1983
1101741608,1942
1101859109,1936
1101976610,1970
1102094111,1971
1102211612,1961
1102329113,1923
1102446614,1850
1102564115,1798
1102681616,1702
1102799117,1714
1102916618,1688
1103034119,1662
1103151620,1644
1103269121,1599
1103386622,1606
1103504123,1610
1103621624,1575
1103739125,1616
1103856626,1644
1103974127,1654
1104091628,1638
1104209129,1603
1104326630,1599
1104444131,1591
1104561632,1591
1104679133,1526
1104796634,1500
1104914135,1525
1105031636,1457
1105149137,1415
1105266638,1341
1105384139,1235
1105501640,1162
1105619141,1078
1105736642,969
1105854143,843
1105971644,728
1106089145,577
1106206646,430
1106324147,289
1106441648,0
1106559149,0
1106676650,0
1106794151,0
1106911652,0
1107029153,0
1107146654,0
1107264155,0
1107381656,0
1107499157,0
1107616658,0
1107734159,0
