ts,num
1082227042,2
1082420323,3
1082613604,114
1082806885,379
1083000166,643
1083193447,1095
1083386728,1747
1083580009,2254
1083773290,3092
1083966571,3893
1084159852,4396
1084353133,4694
1084546414,4631
1084739695,4572
1084932976,4850
1085126257,4777
1085319538,4397
1085512819,4700
1085706100,5183
1085899381,5167
1086092662,4953
1086285943,4666
1086479224,4208
1086672505,3902
1086865786,3285
1087059067,2426
1087252348,2328
1087445629,1965
1087638910,1451
1087832191,1259
1088025472,953
1088218753,622
1088412034,487
1088605315,349
1088798596,452
1088991877,556
1089185158,637
1089378439,664
1089571720,727
1089765001,810
1089958282,721
1090151563,624
1090344844,571
1090538125,534
1090731406,487
1090924687,389
1091117968,387
1091311249,395
1091504530,417
1091697811,416
1091891092,380
1092084373,371
1092277654,349
1092470935,356
1092664216,340
1092857497,354
1093050778,354
1093244059,373
1093437340,398
1093630621,390
1093823902,426
1094017183,402
1094210464,387
1094403745,373
1094597026,348
1094790307,323
1094983588,314
1095176869,294
1095370150,305
1095563431,309
1095756712,312
1095949993,320
1096143274,327
1096336555,314
1096529836,293
1096723117,264
1096916398,250
1097109679,232
1097302960,213
1097496241,206
1097689522,195
1097882803,178
1098076084,204
1098269365,188
1098462646,171
1098655927,161
1098849208,179
1099042489,152
1099235770,140
1099429051,90
1099622332,73
1099815613,58
1100008894,35
1100202175,0
1100395456,0
1100588737,0
1100782018,0
1100975299,0
1101168580,0
1101361861,0
