ts,num
1920,32299
1921,56136
1922,75035
1923,100484
1924,124705
1925,135609
1926,139675
1927,161892
1928,173271
1929,205148
1930,201959
1931,223698
1932,721353
1933,726372
1934,721159
1935,730108
1936,734215
1937,247875
1938,269446
1939,281220
1940,321490
1941,398038
1942,407654
1943,395938
1944,386244
1945,352098
1946,282265
1947,271846
1948,287733
1949,321731
1950,363218
1951,438996
1952,528089
1953,635893
1954,725878
1955,822424
1956,894587
1957,983383
1958,1061607
1959,1183337
1960,1282554
1961,1449909
1962,1613956
1963,1859498
1964,2010658
1965,2206321
1966,2392408
1967,2604195
1968,2900415
1969,3403788
1970,3697026
1971,4077004
1972,4391383
1973,4622453
1974,4715583
1975,5046264
1976,5385040
1977,5866282
1978,6393961
1979,7090616
1980,7617981
1981,8281460
1982,9046185
1983,9745031
1984,10444141
1985,11392873
1986,12421352
1987,13445823
1988,14719157
1989,16070213
1990,17910488
1991,20778266
1992,24063090
1993,26757995
1994,30743669
1995,34525320
1996,37499424
1997,42499025
1998,45864351
1999,47256729
2000,60454910
2001,63548254
2002,63953260
2003,66550437
2004,70815826
2005,69227465
2006,78259742
2007,87459627
2008,99814484
2009,116049525
2010,124843475
2011,141451977
2012,160575186
2013,248607897
2014,266193371
2015,285070801
2016,310429957
2017,396754230
2018,348661978
2019,377558785
2020,414318849
2021,445917665
2022,523815439
2023,500624796
2024,441292102
2025,365779040
2026,280516165
2027,80092929
2028,0
