Graph,DTree,nDTree,HK,ET,opt
DNC,5.948239752958059e-06,7.107820781243893e-06,9.472631744156265e-05,7.976181419703972e-05,2.609951580755316
CA,6.300955655382626e-06,7.662397844539565e-06,0.00010603424184095973,9.166640805108591e-05,10.27694840823262
MS,6.552597365979128e-06,1.050024552411233e-05,0.00010558615152758882,8.313187246549049e-05,2.393176445856969
WI,4.940742053154214e-06,7.286107262187248e-06,9.644553454052793e-05,7.410499320464305e-05,1.3201559677406227
FB,6.839007220001425e-06,1.0810493590505799e-05,0.0001087290568745475,8.319408958133148e-05,1.112883457674618
Tech,4.272525295295191e-06,5.441407894972936e-06,0.00011697905168730288,0,0
EN,2.6234201851249984e-06,2.870724213191849e-06,3.7641258829686756e-05,0,0
ST,6.487686202623435e-06,3.233084434340689e-05,0.00013630886095369386,0,0
YT,4.472720767512144e-06,9.546057857155591e-06,0.00010151343994359059,0,0
SC,6.747510365780927e-06,0.00010585293088929843,0,0,0
