ts,Dtree,nDtree,HK,ET,opt
1423733250,6.26780092716217e-06,6.798654794692993e-06,8.320435881614685e-06,5.487352609634399e-06,4.019588232040405e-06
1424167867,8.920207619667053e-06,7.627531886100769e-06,1.0142102837562561e-05,8.542090654373169e-06,6.12996518611908e-06
1424602484,8.566305041313171e-06,2.909637987613678e-05,2.5637447834014893e-05,8.748844265937805e-06,2.0368024706840515e-05
1425037101,2.205371856689453e-06,2.767890691757202e-06,3.0081719160079956e-06,1.2032687664031982e-06,9.182840585708618e-07
1425471718,2.551823854446411e-07,4.880130290985107e-07,2.0302832126617432e-07,1.6763806343078613e-07,1.5087425708770752e-07
1425906335,4.425644874572754e-06,4.556030035018921e-06,5.325302481651306e-06,3.0640512704849243e-06,2.127140760421753e-06
1426340952,5.3336843848228455e-05,4.695728421211243e-05,6.892532110214233e-05,6.511621177196503e-05,3.9750710129737854e-05
1426775569,8.423253893852234e-05,7.392093539237976e-05,0.00011161714792251587,0.00010607950389385223,6.446801126003265e-05
1427210186,9.681470692157745e-05,7.738545536994934e-05,0.00014444440603256226,0.00011877156794071198,7.172301411628723e-05
1427644803,4.61675226688385e-05,3.645196557044983e-05,6.627850234508514e-05,7.964111864566803e-05,3.303028643131256e-05
1428079420,3.8290396332740784e-05,3.115460276603699e-05,5.576014518737793e-05,5.45009970664978e-05,2.8660520911216736e-05
1428514037,3.0415132641792297e-05,2.4883076548576355e-05,3.904290497303009e-05,3.894791007041931e-05,2.2916123270988464e-05
1428948654,1.3111159205436707e-05,1.1902302503585815e-05,1.5851110219955444e-05,1.529976725578308e-05,1.008249819278717e-05
1429383271,6.0908496379852295e-06,6.658956408500671e-06,7.994472980499268e-06,6.571412086486816e-06,4.328787326812744e-06
1429817888,6.271526217460632e-06,6.288290023803711e-06,8.087605237960815e-06,6.020069122314453e-06,4.37907874584198e-06
1430252505,2.553686499595642e-06,2.7082860469818115e-06,2.823770046234131e-06,1.2721866369247437e-06,8.400529623031616e-07
1430687122,2.2388994693756104e-06,3.4142285585403442e-06,3.246590495109558e-06,1.2870877981185913e-06,8.791685104370117e-07
