ts,Dtree,nDtree,HK
1920,26.567677337676287,25.758443927392364,0
1921,44.59544947743416,43.71445180848241,0
1922,8.884817361831665e-07,9.238719940185547e-07,0
1923,88.15655714087188,92.0039578769356,0
1924,135.8601261600852,151.93617631867528,0
1925,116.45769554004073,141.62419268861413,0
1926,163.3709066696465,198.30307250097394,0
1927,119.93077371455729,197.80654907226562,0
1928,173.26602750644088,247.50320618785918,0
1929,135.51790966838598,227.09043298847973,0
1930,180.3222770150751,310.5988519266248,0
1931,168.84158644266427,291.56544099003077,0
1932,197.13469732180238,310.1667172908783,0
1933,194.23212425224483,300.5192622207105,0
1934,194.8676231186837,300.18513825535774,0
1935,219.90286449156702,334.6142422184348,0
1936,192.06141266040504,407.6252846401185,0
1937,178.8698346670717,343.2805127929896,0
1938,199.13763239234686,388.5661738011986,0
1939,200.241463040933,486.31548196449876,0
1940,183.27998895011842,444.21263492293656,0
1941,203.49409499578178,397.07567370682955,0
1942,195.08902554027736,355.9668885972351,0
1943,186.0042689461261,321.44236403144896,0
1944,193.86425682157278,505.0031491406262,0
1945,199.32362969592214,385.55591387860477,0
1946,187.96548706665635,375.95780931413174,0
1947,211.10789353959262,378.8125096876174,0
1948,206.72983100824058,369.02951755933464,0
1949,199.49923556670547,413.3721614778042,0
1950,213.61104644089937,415.0632860995829,0
1951,214.02819076739252,598.1785995159298,0
1952,248.41196796298027,594.9856663998216,0
1953,254.16742455027997,560.8932981491089,0
1954,242.03512292541564,721.7233278360218,0
1955,236.55588684603572,697.5077393017709,0
1956,254.4917647894472,1180.4940234366804,0
1957,250.28004912286997,963.3007465191185,0
1958,242.95923185534775,1394.493261123076,0
1959,257.1703680921346,1102.8444582875818,0
1960,260.7664825376123,1088.375144675374,0
1961,249.24608193151653,1240.258686993271,0
1962,273.6714554745704,1224.0785623677075,0
1963,265.7964188810438,1361.0999496430159,0
1964,245.7436025571078,1425.7248274497688,0
1965,276.8290895856917,1586.4421304799616,0
1966,269.002848546952,2382.903759272769,0
1967,253.1794725563377,1691.0093084685504,0
1968,254.03660622611642,1672.4424767270684,0
1969,238.13125273026526,1980.0145789086819,0
1970,289.40705471485853,2046.6440987735987,0
1971,283.12732169777155,2518.5073433183134,0
1972,272.2722108196467,2401.3222364224494,0
1973,262.2131534181535,2347.474464982748,0
1974,254.89823172986507,2210.4144746083766,0
1975,294.5636976528913,2908.7074263058603,0
1976,296.730352031067,4342.0240857917815,0
1977,285.28396194800735,2171.4747633505613,0
1978,268.72602022252977,2755.471476810053,0
1979,254.53003341332078,3038.0362023878843,0
1980,300.50270716287196,2409.9781123548746,0
1981,298.5339509770274,2687.80576585792,0
1982,276.802323512733,3166.707976732403,0
1983,261.7319709546864,2367.2754947077483,0
1984,254.88415643759072,2025.5464807599783,0
1985,295.401311526075,2945.148309484124,0
1986,296.56921928562224,2526.903644628823,0
1987,284.50629630312324,3069.315713552758,0
1988,278.27429179660976,2264.0679092425853,0
1989,263.2043007630855,3909.896670009941,0
1990,311.0886929221451,3426.469257712364,0
1991,312.1502262186259,3248.429520500824,0
1992,301.2959509193897,3155.305775290355,0
1993,275.57515193521976,2269.6202911287546,0
1994,260.1342313103378,3278.907140409574,0
1995,300.41007853113115,3749.280740465969,0
1996,300.80434901826084,2072.8380814697593,0
1997,286.2061365414411,2686.2412328980863,0
1998,269.19481472298503,2816.804468996823,0
1999,261.1777209751308,2044.4898095298558,0
2000,303.06795999221504,2173.8871734775603,0
2001,299.925844270736,3697.6094456985593,0
2002,294.2064758371562,2114.8081783354282,0
2003,276.69364367611706,3077.2620958425105,0
2004,259.68016242049634,2409.663278495893,0
2005,308.8834731467068,3193.8183860629797,0
2006,306.59701496735215,4708.650896791369,0
2007,294.40358474105597,3173.637218620628,0
2008,286.3448589872569,3839.434600388631,0
2009,275.19574806652963,3325.2669775374234,0
2010,321.58281022682786,3268.3631686177105,0
2011,311.87910622544587,4288.132263556123,0
2012,302.1158596072346,2668.273883089423,0
2013,279.87521231547,2997.4201166816056,0
2014,263.33347859606147,2268.9820811226964,0
2015,307.1979936491698,3510.543866178021,0
2016,307.95815849117935,3578.12962538749,0
2017,290.1721607800573,2635.6901591401547,0
2018,279.46796672977507,2464.5820689424872,0
2019,262.6669596079737,1778.7568334396929,0
2020,358.7417961061001,3319.6180606465787,0
2021,343.47838351503015,4460.017627559602,0
2022,324.79962733760476,1870.4023956712335,0
2023,305.8616688977927,2019.9858643840998,0
2024,287.3887139353901,1536.1803425420076,0
2025,300.1620713416487,2405.694162035361,0
2026,282.7180231139064,1174.4195224735886,0
2027,220.73010410740972,474.64302106015384,0
2028,183.2133520115167,151.7722497023642,0
