ts,Dtree,nDtree,HK
1920,0.0,0.0,0
1921,0.0,0.0,0
1922,0.0,0.0,0
1923,0.0,0.0,0
1924,0.0,0.0,0
1925,14.024252839298743,31.35565281883445,0
1926,9.923886138141475,26.694256519073658,0
1927,8.53317695419385,31.623724006565098,0
1928,8.0694299555354,35.48386438291226,0
1929,8.986734730398915,38.216684495059596,0
1930,8.27370056727007,38.714247939786326,0
1931,8.590569312967602,39.20476201391083,0
1932,8.346442039677175,39.67247473500003,0
1933,8.042112366223115,39.99000032381455,0
1934,8.677145874769252,43.40880333889814,0
1935,9.590195907862466,43.247334419831866,0
1936,8.923473605215316,44.64994735306973,0
1937,8.283432100237306,44.84191596495269,0
1938,8.128878057490091,46.21216601216596,0
1939,7.8743713934483,46.947175095585266,0
1940,7.9576522215845635,48.59073478141408,0
1941,7.809811098082421,50.508865159075626,0
1942,7.640164938184732,50.54032221139829,0
1943,7.450873872369943,49.413655131964425,0
1944,7.277967641281348,49.34366731662014,0
1945,7.592272997366671,51.3049707028617,0
1946,7.5293813867839,49.97969114885825,0
1947,7.636564965009403,50.989591106494544,0
1948,7.635077936780698,51.726747505929296,0
1949,7.5752018355373965,53.43720947076947,0
1950,7.603951785808076,54.70428060469219,0
1951,7.554236878846354,58.51160421138768,0
1952,8.885330729031786,62.80823614998851,0
1953,9.088164703117654,65.46913900514856,0
1954,9.072639691965877,69.624510290194,0
1955,9.109187050825783,74.01103834871911,0
1956,8.887072431362938,79.53368612739824,0
1957,8.907228856319058,83.92287994298675,0
1958,9.176585823081622,88.54625179869944,0
1959,9.052626658928435,95.46910429168592,0
1960,9.168773559769019,97.64811467627828,0
1961,9.173995701073538,101.86835785738147,0
1962,9.193558653741544,106.46439328891219,0
1963,9.21525005250939,114.60904776082656,0
1964,9.1608153913994,122.81574878561557,0
1965,8.964038000717759,131.34208109238276,0
1966,8.83869803355696,135.20116959705842,0
1967,8.869583041801103,145.88121151355338,0
1968,8.757261001971838,154.3662713511107,0
1969,8.747605641627544,165.2889660176621,0
1970,8.829284719034739,177.5228997985094,0
1971,8.687175034323683,185.49070478854856,0
1972,8.91956671686445,191.97320262855737,0
1973,8.901158815773629,198.17961291829866,0
1974,9.326452235132434,209.5255008516321,0
1975,9.06239813231504,216.025566351583,0
1976,8.936905685153008,219.64940692873492,0
1977,8.84616472407205,224.70109112961737,0
1978,8.869003202045334,225.21074671077216,0
1979,8.742573243456722,229.6842185852273,0
1980,8.652473925169609,236.2424421380736,0
1981,8.739993858237709,241.69203970530359,0
1982,8.666105609791229,244.43346074811697,0
1983,8.589570181272396,249.02844111742303,0
1984,8.475105880676455,249.8104729789908,0
1985,8.276796039467996,251.7049067948774,0
1986,8.320638368140438,254.0031476139128,0
1987,8.507389922893404,259.4615679659619,0
1988,8.545712660338648,266.35814471637525,0
1989,8.599115248755208,269.69375014044095,0
1990,8.359886771974272,271.95483781347883,0
1991,9.147542321540362,276.50996531162525,0
1992,9.110255554372669,278.9355669809288,0
1993,9.2166910684472,282.4933162326015,0
1994,8.933295119135572,285.23220095603597,0
1995,8.806154674619822,287.3988797068208,0
1996,8.754499897542225,286.8225489288671,0
1997,8.521836277545153,284.86920301769095,0
1998,8.433530602923364,284.78361205620405,0
1999,8.364307945741835,283.5677325994898,0
2000,8.213527460571505,282.48552345363044,0
2001,8.196919715398703,286.0389875564363,0
2002,8.153635112833129,284.3279517568932,0
2003,8.05652561436058,281.785467462662,0
2004,7.987305982602241,281.3348684352233,0
2005,7.8612229632320005,281.69688541302804,0
2006,7.7426108039071435,283.8129474909313,0
2007,7.597637880154767,289.7408998924598,0
2008,7.490811356871763,291.21534095462016,0
2009,7.540370582232011,295.3895482145449,0
2010,7.382281828830338,298.6775937886197,0
2011,7.2376853780541115,299.1917132519312,0
2012,7.173595688715387,295.9633803704574,0
2013,6.971490496729208,300.0187674857976,0
2014,6.804399147011286,301.1134903781006,0
2015,6.61808758198336,300.11424426134886,0
2016,6.884976224071435,296.8959525498733,0
2017,6.851986306292224,290.8716815866888,0
2018,6.819270562431772,285.4102143574923,0
2019,6.781869056413301,278.06627267761417,0
2020,6.66973366466064,273.38429376647446,0
2021,6.508742276940498,269.99640006531325,0
2022,6.5425934637510625,266.4896290827177,0
2023,6.4541889958608385,260.46128828630975,0
2024,6.362378532491734,254.7894998757362,0
2025,6.293939783879007,247.5799089393114,0
2026,6.185318368843064,238.2567837915549,0
2027,6.2549563336547465,226.63103698272434,0
2028,6.269982251924114,222.0821531388116,0
