ts,Dtree,nDtree,HK,ET,opt
1096101560,0.0,0.0,0.0,0.0,0.0
1096219061,0.0,0.0,0.0,0.0,0.0
1096336562,0.0,0.0,0.0,0.0,0.0
1096454063,0.0,0.0,0.0,0.0,0.0
1096571564,0.0,0.0,0.0,0.0,0.0
1096689065,0.0,0.0,0.0,0.0,0.0
1096806566,0.0,0.0,0.0,0.0,0.0
1096924067,0.0,0.0,0.0,0.0,0.0
1097041568,0.0,0.0,0.0,0.0,0.0
1097159069,0.0,0.0,0.0,0.0,0.0
1097276570,0.0,0.0,0.0,0.0,0.0
1097394071,1.6307376744633306e-06,1.8756649086264872e-06,1.0477274191682215e-05,3.399293404412452e-06,10.237565795141142
1097511572,1.911688432532597e-06,1.7639073172485437e-06,1.1712195576408493e-05,4.056800567019354e-06,10.020084624216098
1097629073,1.4146754541522767e-06,1.7757157898808793e-06,1.3761797371576816e-05,2.7486341964344942e-06,10.214393285053603
1097746574,1.6167706002971364e-06,1.84400025773607e-06,1.67878528514901e-05,3.796032853804152e-06,10.47217624506099
1097864075,1.1464561785913565e-06,1.5925584174756334e-06,1.3913558908607587e-05,2.8505864352101865e-06,9.72609566130546
1097981576,1.5916263009521007e-06,1.6922046570530392e-06,1.211646630752635e-05,3.5210084770679956e-06,10.441585678347618
1098099077,1.2312063916310099e-06,1.7400796182523237e-06,1.4670163855015309e-05,3.406398636116302e-06,10.593724171340666
1098216578,1.186130058770156e-06,1.5728144183817834e-06,1.3066429588995986e-05,3.01840891830647e-06,10.687745643221422
1098334079,1.7257321021019712e-06,1.9886775087372226e-06,1.1337864334047165e-05,3.709135010051879e-06,11.10336965764502
1098451580,1.70431690291252e-06,1.8547242705360492e-06,1.3143542943947439e-05,3.2592499636244015e-06,11.415348402441326
1098569081,1.3645711071843848e-06,1.9804525037885556e-06,1.2507620485017593e-05,3.2763764356150754e-06,11.657943294334
1098686582,1.2509499803235503e-06,1.8242710106147781e-06,1.4428478916033012e-05,3.133892628849513e-06,11.886766546348753
1098804083,1.541335007651098e-06,1.8728803331500614e-06,1.2546652258697139e-05,3.404898308302648e-06,11.967334899920951
1098921584,1.3817699569212368e-06,1.661009659302558e-06,1.3856197470561274e-05,3.2190169088671224e-06,12.413728304922468
1099039085,1.4468998581228913e-06,1.82166088374493e-06,1.5628161589892173e-05,3.6259371373791385e-06,12.935883048305103
1099156586,1.2008722213938709e-06,1.6397458801298524e-06,1.3586111074972143e-05,2.977833155244584e-06,13.996325902586932
1099274087,1.3740089484011221e-06,1.6961691188070417e-06,1.3967960454126887e-05,2.9113102092334013e-06,14.449888845207163
1099391588,1.3667124614670611e-06,1.5939546015678878e-06,1.4589131658522326e-05,3.162763556485274e-06,14.941314517032508
1099509089,1.4991611113080143e-06,1.6945371881698928e-06,1.4079706523623759e-05,3.4090977616355554e-06,17.484009558539107
1099626590,1.539873154266858e-06,1.8095552385897785e-06,1.4027552563753211e-05,3.2591552019788623e-06,18.467851560454587
1099744091,1.471753657551407e-06,1.8188684410529271e-06,1.351903342967352e-05,3.101297970873602e-06,19.24427489614387
1099861592,1.6580618602373234e-06,1.7176224660087383e-06,1.5532309618259037e-05,3.406398636116302e-06,20.781642490875065
1099979093,1.3289962064794491e-06,1.7896900561443644e-06,1.4618960011624872e-05,3.6566798215653894e-06,20.879328080013508
1100096594,1.4861822172005923e-06,1.898404139287913e-06,1.4458097086070457e-05,3.4065408891236553e-06,20.96174338413364
1100214095,1.4338613681552546e-06,1.7637540215317668e-06,1.3795976409774612e-05,3.165328643813553e-06,20.650293899405916
1100331596,1.6558894678044862e-06,1.9341668546277165e-06,1.5240137210779007e-05,3.850701987340153e-06,20.54550757588495
1100449097,1.4647357483068085e-06,1.6918115629563994e-06,1.3016846523698736e-05,3.367244767282222e-06,20.06011137435672
1100566598,1.5622248641266154e-06,2.0138879075726957e-06,1.684647409475628e-05,4.481285796798783e-06,19.23688650358282
1100684099,1.3843164905919567e-06,2.3029250177241526e-06,1.6223250497521293e-05,3.837189336127762e-06,15.679088312829448
1100801600,1.3328246036445918e-06,1.7314302226848846e-06,1.5976682897613736e-05,3.21468867856813e-06,14.902193435574462
1100919101,1.2579616576382004e-06,1.8592568314534177e-06,1.3968893327764236e-05,3.3963753788807318e-06,14.705129325613083
1101036602,1.3448253149937009e-06,1.7993062176260163e-06,1.4028154740058947e-05,8.535853384364451e-06,14.442490202977714
1101154103,1.8626424883131167e-06,4.335111650096829e-06,2.242284998977213e-05,5.640879729964251e-06,14.38775709609134
1101271604,1.9095185362890424e-06,4.129473972160102e-06,1.992592371488351e-05,4.839756846895614e-06,14.579270271670525
1101389105,2.0931422535926543e-06,1.7043117899873757e-06,1.550229116003405e-05,3.7751066184372966e-06,15.24976008414847
1101506606,1.652163493762036e-06,1.695376224077569e-06,1.4238955245907938e-05,3.217526795727964e-06,15.316356463959245
1101624107,1.4163539551212647e-06,1.938503843941596e-06,1.491846887526663e-05,3.807429142113857e-06,14.645516495217787
1101741608,1.313784617103721e-06,2.1720283364898828e-06,1.3317484098652515e-05,4.078722117125842e-06,13.624576820465762
1101859109,1.4523939241280287e-06,1.6700443007118747e-06,1.5312775146277408e-05,3.2316785616538382e-06,12.044745369275935
1101976610,1.4197977155070083e-06,1.8142103279831922e-06,1.3316482541933066e-05,3.081425687125456e-06,12.627442229757024
1102094111,1.3171983660338818e-06,1.6754472174242241e-06,1.3465743443542247e-05,3.493695595414873e-06,12.800244029244942
1102211612,1.6398695096439155e-06,1.6987238824792203e-06,1.3393316462254043e-05,3.2141740411648574e-06,12.973602143272712
1102329113,1.3358258996685517e-06,1.6122210655887223e-06,1.314467367344919e-05,2.6345541476962966e-06,12.423576222794708
1102446614,1.279402787624529e-06,1.5420354253752969e-06,1.504455478122888e-05,3.080012400317761e-06,11.52667896311982
1102564115,1.2596785056677564e-06,1.5865040395973688e-06,1.2814600468478201e-05,2.2292092561810972e-06,10.821621728204343
1102681616,1.082195028044806e-06,1.6267073858160595e-06,8.862436078587299e-06,2.451981170485291e-06,9.938319914062038
1102799117,1.2647328944955838e-06,1.2874577522329332e-06,1.341816285059686e-05,1.9930203445754013e-06,9.52380888860684
1102916618,1.4919757805824356e-06,1.502215801775758e-06,1.0616585147866279e-05,2.434005463743894e-06,9.554439601021116
1103034119,1.4807954896611625e-06,1.6912761579145159e-06,1.3542293846014443e-05,2.322695274138262e-06,9.033048305731707
1103151620,1.3897643747644794e-06,1.520845962232171e-06,1.2518440482070453e-05,2.166869967372122e-06,8.84718098823783
1103269121,1.5241737390082188e-06,1.5124527366481706e-06,1.5752311265489875e-05,2.8982661913160645e-06,8.475825248463007
1103386622,1.1390056104120462e-06,1.5530719723567997e-06,1.2979084685271547e-05,2.250818147512541e-06,8.479125517032378
1103504123,1.2082344776517279e-06,1.5087411992941668e-06,1.098255751816831e-05,2.4139850959219504e-06,8.581718350162046
1103621624,1.1337287544666264e-06,1.6558902639045793e-06,1.252169402383083e-05,2.6665894004956414e-06,8.293040226228406
1103739125,1.2367901951383796e-06,1.5962709301816283e-06,9.96885191655429e-06,2.2137426911475367e-06,8.330057334512796
1103856626,1.2128463516758838e-06,1.6733517442506807e-06,1.3397673788103755e-05,2.4779348003022494e-06,8.53875897697074
1103974127,1.1411767908395302e-06,1.744358460462489e-06,0.0,0.0,8.888859702828986
1104091628,1.228411404889304e-06,1.5567017917152932e-06,1.3923617172296906e-05,2.558024144863365e-06,8.838153647081521
1104209129,1.2880126806298036e-06,1.647814582637711e-06,1.0775375249862963e-05,2.5760296546208982e-06,8.368428811747505
1104326630,1.0853622430946356e-06,1.4959894648635211e-06,1.0585869222809152e-05,2.379216754603714e-06,8.6555371787272
1104444131,1.2392778404919294e-06,1.61565517113259e-06,9.923846374500377e-06,2.0532524140815683e-06,9.146612270468923
1104561632,1.2973291031166039e-06,1.751809003806696e-06,1.619468727655217e-05,3.2819698130455693e-06,9.483944310556021
1104679133,1.164770217418367e-06,1.5450602886363574e-06,1.2296786152620628e-05,2.5285344687448525e-06,9.272392199644235
1104796634,0.0,1.6521607401653916e-06,1.370806843542305e-05,3.1615191615641393e-06,0.0
1104914135,9.741536715110754e-07,1.6530934372088814e-06,1.1683713193698737e-05,2.153207026475854e-06,8.440879282307655
1105031636,1.242378102646535e-06,1.776023269675369e-06,0.0,0.0,8.328229064271477
1105149137,1.158559490024205e-06,1.7055563897911803e-06,1.1715920829454424e-05,2.22259576783042e-06,7.690236121018232
1105266638,0.0,1.6838143767610175e-06,1.2665860356166945e-05,0.0,0.0
1105384139,9.927799367407325e-07,1.5012769775103763e-06,0.0,2.0228124039407797e-06,0.0
1105501640,9.816107216089757e-07,1.3007428600700847e-06,9.39979174663529e-06,1.7713578233404065e-06,4.846762916203336
1105619141,0.0,0.0,0.0,0.0,0.0
1105736642,0.0,0.0,0.0,0.0,0.0
1105854143,1.488238591849616e-06,1.4155961574539527e-06,1.1066850819901632e-05,2.1010427179053403e-06,2.2091513776302816
1105971644,1.5068648570792734e-06,0.0,0.0,0.0,1.6571698414853933
1106089145,1.5655454202015183e-06,1.5618201485294147e-06,9.244215433478904e-06,1.8048851007537897e-06,1.4778309687141336
1106206646,0.0,0.0,0.0,0.0,0.0
1106324147,1.4044203983161584e-06,1.2591355295248315e-06,0.0,0.0,0.22834492862690084
1106441648,0.0,9.471503226323284e-07,4.8903503875539396e-06,1.710831015413557e-06,0.024528554932515538
1106559149,0.0,0.0,0.0,0.0,0.0
1106676650,0.0,0.0,0.0,0.0,0.0
1106794151,0.0,0.0,0.0,0.0,0.0
1106911652,0.0,0.0,0.0,0.0,0.0
1107029153,0.0,0.0,0.0,0.0,0.0
1107146654,0.0,0.0,0.0,0.0,0.0
1107264155,0.0,0.0,0.0,0.0,0.0
1107381656,0.0,0.0,0.0,0.0,0.0
1107499157,0.0,0.0,0.0,0.0,0.0
1107616658,0.0,0.0,0.0,0.0,0.0
1107734159,0.0,0.0,0.0,0.0,0.0
