ts,Dtree,nDtree,HK,ET,opt
1096101560,4.552066223994025e-06,4.000956779352122e-06,8.725317464281934e-06,6.894106740957654e-06,0.06710291735080799
1096219061,6.742421980236846e-06,4.287949115503362e-06,1.1675480655428957e-05,8.154940751093972e-06,0.5944282623677437
1096336562,4.221429954444961e-06,4.157002034823336e-06,8.823887993438113e-06,8.34086220232812e-06,0.8859284225660891
1096454063,4.0693463040709165e-06,4.0355916882887276e-06,8.671230839819538e-06,8.152932772293927e-06,1.6078706457503888
1096571564,3.3253839433098292e-06,3.892064235588365e-06,8.757791912681204e-06,8.681696062339659e-06,2.3321656895761675
1096689065,4.525528089318241e-06,4.460262844669549e-06,1.0110562841910809e-05,9.141152719730064e-06,3.637468980738686
1096806566,3.0368097688430707e-06,3.50859437983896e-06,8.802790025723653e-06,8.399736948876074e-06,4.620648553073669
1096924067,4.592727130357571e-06,4.113667997274653e-06,9.448655263704276e-06,8.98455190944923e-06,5.846639422255944
1097041568,3.6869915977127023e-06,3.908223445323219e-06,8.485982953216649e-06,9.136553907287149e-06,6.8912505901903325
1097159069,4.7157729081094165e-06,4.225603666232706e-06,1.055615113299554e-05,9.157692968341298e-06,7.9824598126240085
1097276570,4.282897874666861e-06,4.281644692918627e-06,1.0157137617105877e-05,8.786603565489748e-06,9.456883804705216
1097394071,4.7095032531475856e-06,5.1585076232869486e-06,1.1440539341975006e-05,9.422945714641403e-06,10.20709153489453
1097511572,4.030763280331039e-06,5.061766602870886e-06,1.1871083046573514e-05,1.0068192143179811e-05,10.080180756333057
1097629073,3.961988903273586e-06,5.175358468938533e-06,1.2143082874014695e-05,9.563140737977419e-06,10.200951897547972
1097746574,4.666915874559122e-06,5.562671584521556e-06,1.4130643058603822e-05,1.0822360144075592e-05,10.07683644342586
1097864075,4.421285842794969e-06,4.861134366290179e-06,1.1051364766551385e-05,8.833975177665497e-06,9.970492074439546
1097981576,3.6375559383725545e-06,5.141449402011738e-06,1.1911207168352653e-05,9.440896977542075e-06,10.3641094619891
1098099077,4.072923576232119e-06,5.32369692218475e-06,1.0891061853589546e-05,8.346992250034002e-06,10.57581217293853
1098216578,4.064328899333381e-06,5.606852979433495e-06,1.1723451213039618e-05,9.326262319228085e-06,10.627326217103157
1098334079,4.345129303285246e-06,4.694871134955483e-06,1.0456326104526459e-05,8.757392931433482e-06,11.076521635797954
1098451580,3.964849600281059e-06,5.037538247852371e-06,1.2052509378029264e-05,9.075116095392077e-06,11.470977678728293
1098569081,4.856765714138698e-06,5.398806657569218e-06,1.0855691838189627e-05,9.075885645996885e-06,11.633043763569937
1098686582,4.328991537379524e-06,5.4205133406150956e-06,1.130534507734681e-05,9.638110293676635e-06,11.881628235003259
1098804083,4.324591619084886e-06,5.869487206094354e-06,1.1666137477439903e-05,9.030081984072022e-06,11.83894401911598
1098921584,4.150836605161524e-06,5.024730924210356e-06,1.0349676502399815e-05,8.790056955727461e-06,12.373281149571943
1099039085,3.466005980667857e-06,4.9446873166473945e-06,9.542310702965856e-06,8.35676767593912e-06,12.950758669380408
1099156586,3.6774785827140043e-06,5.897541011359915e-06,1.1210008012783999e-05,9.043339202245488e-06,13.87456183228734
1099274087,3.872799995147439e-06,5.033428052117772e-06,8.317178542959829e-06,7.433122378131534e-06,14.59221467084094
1099391588,4.280770426796058e-06,5.423051981977407e-06,1.1642377663581751e-05,9.51225896109488e-06,14.960509825371707
1099509089,3.7917156302826835e-06,4.969335443417155e-06,1.0652586920027042e-05,1.0028920833320124e-05,17.476425039544427
1099626590,3.4241422693731035e-06,4.96227002987835e-06,1.1121576865594348e-05,9.869491885928281e-06,18.482611351235743
1099744091,4.37487461761674e-06,5.6560452293088775e-06,1.2614637994383707e-05,1.0429046394842088e-05,19.177572244963454
1099861592,4.101267184696926e-06,5.532986391163448e-06,1.2924166384071302e-05,1.0529416840243087e-05,20.279519913737538
1099979093,3.7858547781025678e-06,5.882733731362745e-06,1.22889422891892e-05,1.0593747415236225e-05,20.88949960560842
1100096594,3.7117855752791694e-06,5.345601839567296e-06,1.2615512753086103e-05,1.1207020097533207e-05,20.833028619462485
1100214095,3.619222603105973e-06,5.092330780596477e-06,1.176284269916095e-05,9.427416335771276e-06,20.811628531321364
1100331596,4.156240156607495e-06,5.3169623071238056e-06,1.2229656199533163e-05,1.0200825123034245e-05,20.599088087501926
1100449097,4.939611985322518e-06,6.015411395476302e-06,1.2462354998555351e-05,1.0554691442358143e-05,20.136811880170555
1100566598,4.059857523667085e-06,6.070391082720611e-06,1.4034762879550945e-05,1.1320467729514083e-05,19.059787385903515
1100684099,3.955125072872416e-06,6.068113518058805e-06,1.340505389159015e-05,1.0902991907646121e-05,15.628126618406935
1100801600,5.1196053552246985e-06,5.971038532089772e-06,1.3512540525482296e-05,1.1127226551205571e-05,14.910535675828896
1100919101,3.4055223469165093e-06,4.998129306044191e-06,1.126479356383192e-05,1.0321828821292393e-05,14.627484470647506
1101036602,4.215214435053789e-06,6.68738537559612e-06,1.6548723178387537e-05,1.2354843682222016e-05,14.463447299264224
1101154103,4.5560061824537825e-06,7.061213306161127e-06,1.6797916958823533e-05,1.3643313036648553e-05,14.45623335176311
1101271604,4.049192387640699e-06,6.352836039996922e-06,1.628950434065787e-05,1.2982451122415017e-05,14.529849892991775
1101389105,5.727489084902153e-06,7.463919146257739e-06,1.5152304691405485e-05,1.243841040555771e-05,15.123089935849656
1101506606,4.1891214540835415e-06,6.811890447042725e-06,1.2877704378090943e-05,1.0540380301501795e-05,15.304391722639913
1101624107,3.5583965814115037e-06,6.497660949590406e-06,1.285933553091128e-05,1.0457651348446033e-05,14.773959221028429
