ts,Dtree,nDtree,HK
916721318,0.0,0.0,0.0
917997376,0.0,0.0,0.0
919273434,1.134329551943075e-06,0.0,0.0
920549492,9.996633354559248e-07,7.149928488347443e-07,3.6059819709121527e-06
921825550,0.0,0.0,0.0
923101608,0.0,0.0,0.0
924377666,1.1009889888367044e-06,0.0,0.0
925653724,8.099959513147408e-07,0.0,0.0
926929782,0.0,0.0,0.0
928205840,8.559993885971145e-07,9.214976970058438e-07,4.686476568134117e-06
929481898,7.95691695869089e-07,8.28373964238772e-07,4.7477075022589505e-06
930757956,6.374475078444726e-07,6.968722664259347e-07,3.692158533566361e-06
932034014,7.315496338248619e-07,8.24070839616755e-07,4.58374713561112e-06
933310072,7.328257682658606e-07,8.715784885814831e-07,4.556613631953506e-06
934586130,6.829353737841302e-07,7.995880786316908e-07,4.7522492577560526e-06
935862188,7.434421644044707e-07,7.79133073902396e-07,4.281198573074755e-06
937138246,7.219496396069083e-07,7.729224829169881e-07,4.3454968950214905e-06
938414304,9.325760987397495e-07,1.1289058066355136e-06,5.719968745280143e-06
939690362,1.2759830766585312e-06,1.3753088205008847e-06,7.616911000294652e-06
940966420,8.648661707632094e-07,8.585663546289914e-07,5.730582862855285e-06
942242478,1.099299050959977e-06,1.4137471446562428e-06,6.9197239615034205e-06
943518536,1.0109117443345195e-06,1.2003493129145657e-06,6.549096942689335e-06
944794594,1.0332913269033018e-06,1.2274350784842257e-06,6.8932094004423635e-06
946070652,8.90583444521593e-07,9.889516117362596e-07,5.696299581315568e-06
947346710,9.711205041217044e-07,1.1040547045913844e-06,7.4548951942346e-06
948622768,9.700029568741822e-07,1.130861788340567e-06,7.840733424409009e-06
949898826,9.404576937076321e-07,1.0601870490156489e-06,7.267633133595613e-06
951174884,9.805173131182612e-07,1.054992687740447e-06,7.928512524441577e-06
952450942,9.249617111813439e-07,1.059163282975895e-06,7.559227718964124e-06
953727000,9.645373643944193e-07,1.0913577874743987e-06,7.977563008986598e-06
955003058,1.0028140601481072e-06,1.1303672886460366e-06,8.140073287102447e-06
956279116,9.427219532598288e-07,1.0740877281400613e-06,7.815911986446048e-06
957555174,9.322694671653519e-07,1.049586983596424e-06,7.96648021119526e-06
958831232,9.025755370205211e-07,1.0004360482016174e-06,7.931101729712618e-06
960107290,9.191487088182885e-07,1.0641422576435479e-06,7.731042494698506e-06
961383348,9.345621625829983e-07,1.0562288221960656e-06,7.914430223039298e-06
962659406,9.533061552756052e-07,1.0657784635125726e-06,8.536741778199577e-06
963935464,9.274028633403371e-07,1.0489024745830375e-06,8.149856176771322e-06
965211522,9.023412004570867e-07,1.013189942993574e-06,7.655996174983373e-06
966487580,9.904645459688455e-07,1.140124188617978e-06,9.058629290404076e-06
967763638,9.202240081937797e-07,1.0606040172215028e-06,9.274039335621106e-06
969039696,9.576695120888416e-07,1.058064036191394e-06,9.026490338427842e-06
970315754,9.36030079766165e-07,1.05379789129944e-06,9.12733668652508e-06
971591812,9.567100004916916e-07,1.0871663347378432e-06,8.993962346748021e-06
972867870,9.619434546270777e-07,1.1086875976259744e-06,9.691039163088658e-06
974143928,9.973395622343278e-07,1.1232375626915035e-06,9.956794204440185e-06
975419986,9.630349423956362e-07,1.0908930126166485e-06,1.0255384779881972e-05
976696044,9.652485227867337e-07,1.0935800626603652e-06,9.802859670557871e-06
977972102,9.7416926819308e-07,1.1028522547655906e-06,1.0151394705393473e-05
979248160,9.88852605416503e-07,1.1306597390923797e-06,1.007365541014808e-05
980524218,1.0145494300432581e-06,1.130820329323985e-06,9.796252244070433e-06
981800276,9.965291681768008e-07,1.1118293707773352e-06,1.0311183928542378e-05
983076334,9.926192650408225e-07,1.1025744151315303e-06,9.952654574703201e-06
984352392,1.0026233402999197e-06,1.140780886290759e-06,1.0580086824560942e-05
985628450,1.0032215790318133e-06,1.1280630658862832e-06,9.828151804798786e-06
986904508,9.541023281662043e-07,1.052137642130875e-06,9.260645027980289e-06
988180566,9.862521942755851e-07,1.1007648238847036e-06,1.0237819585003961e-05
989456624,1.0029477383014757e-06,1.1313776115036954e-06,1.0842488652207777e-05
990732682,9.58166859228612e-07,1.0828304553089424e-06,1.0445694133931434e-05
992008740,9.733937521247754e-07,1.099211531444273e-06,1.0724273813447358e-05
993284798,9.753305484759962e-07,1.1263422790147662e-06,1.0950368228267719e-05
994560856,9.329291991366811e-07,1.029802061308168e-06,9.174610566554374e-06
995836914,9.61141149022661e-07,1.091333238648111e-06,9.759293071668078e-06
997112972,9.733808668548014e-07,1.0759298980404619e-06,1.016560881423908e-05
998389030,9.715802222967694e-07,1.1013075312319365e-06,9.784273603157149e-06
999665088,9.72409894337363e-07,1.0859363240157678e-06,9.482612780211564e-06
1000941146,9.735449661630226e-07,1.0778879508636384e-06,9.700188973373212e-06
1002217204,9.837127146745016e-07,1.082669589850435e-06,1.024789390155767e-05
1003493262,9.431063458660532e-07,1.0540639657204539e-06,1.0246799516528207e-05
1004769320,9.28663583603592e-07,1.0406307003188912e-06,1.0358053228154943e-05
1006045378,9.38210692546075e-07,1.0491082146896004e-06,1.0298249410206614e-05
1007321436,9.348619663683629e-07,1.0521718664648011e-06,1.0703556410603356e-05
1008597494,9.322560509532745e-07,1.0577243621797185e-06,1.0092260586273111e-05
1009873552,9.838743531180716e-07,1.1180216743633983e-06,1.0024311700631412e-05
1011149610,9.837115098943572e-07,1.1291627463290732e-06,9.539687044058064e-06
1012425668,9.4643421114588e-07,1.0454810566289682e-06,9.273254151537226e-06
1013701726,9.355179279447837e-07,1.0603692289424222e-06,8.910852957175608e-06
1014977784,8.814240093519952e-07,1.0039389213140767e-06,8.985154557365905e-06
1016253842,9.176747894563203e-07,1.0521026727243862e-06,8.10912604173919e-06
1017529900,9.873273431205146e-07,1.1087430585868238e-06,9.997141832606067e-06
1018805958,9.550819740120995e-07,1.117971784794923e-06,8.347163730146706e-06
1020082016,1.120563150748416e-06,1.2097350798014566e-06,8.64248578750242e-06
1021358074,1.0711519821349316e-06,1.2764635857000915e-06,8.082271374931375e-06
1022634132,9.626666997841095e-07,1.1388291098133617e-06,7.382200636433815e-06
1023910190,1.0724465567928218e-06,1.2309378611300225e-06,7.944888772317096e-06
1025186248,1.0458626942104949e-06,1.3023088979616977e-06,7.965484320757435e-06
1026462306,1.0776218192645645e-06,1.281326907829536e-06,1.13382439757214e-05
1027738364,1.4342356616496358e-06,1.6940736456334985e-06,9.65695966282226e-06
1029014422,0.0,0.0,0.0
1030290480,0.0,0.0,0.0
1031566538,0.0,0.0,0.0
1032842596,0.0,0.0,0.0
1034118654,0.0,0.0,0.0
1035394712,0.0,0.0,0.0
1036670770,0.0,0.0,0.0
1037946828,0.0,0.0,0.0
1039222886,0.0,0.0,0.0
1040498944,0.0,0.0,0.0
1041775002,0.0,0.0,0.0
1043051060,0.0,0.0,0.0
