ts,Dtree,nDtree,HK
916721318,0.0,0.0,0.0
917997376,1.7769970380783213e-06,1.656663905557836e-06,5.632323945854436e-06
919273434,3.6989975340512046e-06,2.0777842300814753e-06,5.690924506617474e-06
920549492,2.440991864009257e-06,2.945656847583055e-06,7.503974987093131e-06
921825550,0.0,0.0,0.0
923101608,0.0,0.0,0.0
924377666,3.54499677716842e-06,2.026179976385053e-06,4.611723080234024e-06
925653724,0.0,0.0,0.0
926929782,3.15239909897008e-06,2.0958531480680544e-06,4.465730617955256e-06
928205840,2.6197085292359385e-06,2.3384143490488876e-06,5.0589865307624485e-06
929481898,2.132665182729834e-06,2.0395286049202527e-06,4.477559000893584e-06
930757956,2.1239327434624016e-06,2.275914323571845e-06,5.054428243172948e-06
932034014,2.3579934384971404e-06,2.087303913177656e-06,4.942637833068091e-06
933310072,2.396232120036315e-06,2.5482414174302684e-06,5.450441826273705e-06
934586130,2.602945510849371e-06,2.2578906745021693e-06,5.0846008624317525e-06
935862188,2.0796744487903065e-06,2.0788122835222323e-06,4.342265495695721e-06
937138246,1.8925112264811492e-06,2.289254665752538e-06,3.866160853272143e-06
938414304,3.2428503995481803e-06,2.829630980994979e-06,5.816973380936912e-06
939690362,2.4450717377304045e-06,2.75414452073545e-06,5.8540800987644515e-06
940966420,4.1340278123440235e-06,3.6355047921536825e-06,7.4306792694709765e-06
942242478,3.469638003420642e-06,3.5768173107568368e-06,7.3685725616089895e-06
943518536,3.7372576378266548e-06,3.863404855809081e-06,7.4775520228597656e-06
944794594,3.557698828701564e-06,3.6353878502647814e-06,6.898475685478231e-06
946070652,3.7671480305753262e-06,4.087039168540973e-06,7.292788486423865e-06
947346710,3.0752880979529925e-06,4.450029407213487e-06,6.601370746826834e-06
948622768,3.7994163821552217e-06,4.56209856811285e-06,8.250743349188497e-06
949898826,3.418099194462421e-06,4.27014556587746e-06,7.861320927830422e-06
951174884,3.6302096375576743e-06,4.244382644295007e-06,8.94158141953078e-06
952450942,3.5980726814438218e-06,4.166952970906943e-06,7.682333683670874e-06
953727000,3.5816400630038615e-06,4.488406959349794e-06,8.671077283861186e-06
955003058,3.1147532549863485e-06,5.3317572624147595e-06,7.805644914628666e-06
956279116,2.8819091993404597e-06,4.742655805281376e-06,8.003419714219457e-06
957555174,2.802142913085091e-06,4.725922399625724e-06,7.673890936453872e-06
958831232,2.8318394693542453e-06,4.584244118855266e-06,8.445508838186046e-06
960107290,2.905654645729531e-06,4.555178133930837e-06,7.758374015959326e-06
961383348,2.9277788420146446e-06,4.299212549868265e-06,8.140940216139416e-06
962659406,3.1330423758143536e-06,4.387958560724368e-06,8.188669818405953e-06
963935464,3.0319594481520003e-06,5.94316135654015e-06,8.570837872298579e-06
965211522,3.028771078611664e-06,4.357484472828587e-06,8.700775184033493e-06
966487580,3.0839546673654727e-06,4.68794099136054e-06,9.06544565645683e-06
967763638,3.0169681226040296e-06,4.762273817209715e-06,8.4762195021256e-06
969039696,2.9070481132520874e-06,4.598559965951121e-06,8.204226141977838e-06
970315754,2.981187120186827e-06,5.68292534006449e-06,8.394633835450154e-06
971591812,2.953245749802639e-06,4.9507978039522114e-06,8.541449872379168e-06
972867870,2.9513851894075607e-06,5.01326004171768e-06,8.708770482864428e-06
974143928,2.7228843618069142e-06,5.065893221555369e-06,8.664766462875985e-06
975419986,2.82017398596404e-06,4.680120868903857e-06,8.702852982646666e-06
976696044,2.8966391552320826e-06,5.1403432167175316e-06,8.801858713158609e-06
977972102,2.7799586602011704e-06,4.851660794801502e-06,8.957961503327893e-06
979248160,3.1766480981320672e-06,5.129263409006412e-06,8.6084644249154e-06
980524218,2.804839525007323e-06,5.005333541749684e-06,8.171042112029952e-06
981800276,2.808543407626977e-06,4.703007023359477e-06,8.810661245193912e-06
983076334,2.7224948689798987e-06,4.888873786070075e-06,8.4784011557683e-06
984352392,2.6973322613795877e-06,5.321869331411782e-06,8.634194437258644e-06
985628450,2.7296899293543144e-06,5.5749062405691515e-06,7.909962032107382e-06
986904508,2.6092995630783916e-06,4.7067064809596764e-06,8.347185183377945e-06
988180566,2.7579278221379624e-06,5.801302147579633e-06,8.862126696661632e-06
989456624,2.7807264439463626e-06,5.63519926880904e-06,8.593609377064472e-06
990732682,2.655021004584094e-06,5.175049766298364e-06,8.409382030071139e-06
992008740,2.692328559931525e-06,5.888357854198151e-06,8.760190505786033e-06
993284798,2.940220655853453e-06,6.20717294355732e-06,9.180981514213603e-06
994560856,3.1410684196696437e-06,4.763341491160031e-06,8.191303493351066e-06
995836914,3.0937727743800955e-06,4.631423280347671e-06,8.04197753273842e-06
997112972,3.0549495769401714e-06,4.4643372833630125e-06,8.379634294330867e-06
998389030,3.1137378577166487e-06,4.770663127404891e-06,8.56488104783417e-06
999665088,3.110328730977691e-06,4.796807163515848e-06,9.025604481624848e-06
1000941146,2.8303304667228435e-06,5.229834074335593e-06,8.77333767972754e-06
1002217204,2.8762248291589197e-06,5.899889735467128e-06,9.442610491678171e-06
1003493262,2.7448306883885335e-06,5.379921167190662e-06,8.687887489686333e-06
1004769320,2.6306856159662673e-06,5.796639009881517e-06,8.641406955229554e-06
1006045378,2.6565484435378934e-06,5.876003715159123e-06,9.065239552266135e-06
1007321436,2.5867829732297347e-06,5.28713242136991e-06,8.776410575129776e-06
1008597494,3.135578999537703e-06,5.727535214699604e-06,0.0006292911085604754
1009873552,3.233456268494979e-06,5.7045736144606205e-06,9.224601929379565e-06
1011149610,2.965554392047456e-06,5.625557023430719e-06,8.40838718332284e-06
1012425668,2.7344602817334963e-06,5.184237452208513e-06,8.015712774028526e-06
1013701726,2.336264630956982e-06,4.693331671313333e-06,7.200022441819478e-06
1014977784,2.860509822110455e-06,4.820846593767748e-06,7.330968755090265e-06
1016253842,2.836435714705896e-06,4.4789168150885456e-06,7.4674092943533964e-06
1017529900,2.9093908221321325e-06,3.857113604958125e-06,7.476793521305996e-06
1018805958,3.4392743957568047e-06,4.153712479795788e-06,7.973069462929642e-06
1020082016,3.2039217442142414e-06,3.1154990616806278e-06,6.511617602868094e-06
1021358074,2.9371963205153584e-06,3.5438533125731755e-06,6.9838814946820955e-06
1022634132,3.7025326338874663e-06,3.793137012553473e-06,7.8157695449266e-06
1023910190,3.071631337363785e-06,3.3812636959066436e-06,6.6516197754574175e-06
1025186248,2.862054722753671e-06,3.172064458830681e-06,6.944489027857567e-06
1026462306,2.979676209194663e-06,3.2098506667841233e-06,6.502118158304687e-06
1027738364,2.366793213645424e-06,3.3452995370203422e-06,4.524970865962185e-06
1029014422,0.0,0.0,0.0
1030290480,0.0,0.0,0.0
1031566538,0.0,0.0,0.0
1032842596,0.0,0.0,0.0
1034118654,0.0,0.0,0.0
1035394712,0.0,0.0,0.0
1036670770,0.0,0.0,0.0
1037946828,0.0,0.0,0.0
1039222886,0.0,0.0,0.0
1040498944,0.0,0.0,0.0
1041775002,0.0,0.0,0.0
1043051060,0.0,0.0,0.0
