ts,Dtree,nDtree,HK
916721318,2.2230565655747163e-06,2.4295110875481653e-06,3.066065560676847e-05
917997376,2.543997455818127e-06,2.7571972430279253e-06,4.2561257438564066e-05
919273434,2.071563327686544e-06,2.0512538055495814e-06,3.089444199249556e-05
920549492,3.101393796962194e-06,3.921592157282837e-06,5.6349287301924776e-05
921825550,2.59255411550835e-06,2.9748872361930595e-06,2.6381040899550924e-05
923101608,2.7580405170525804e-06,2.9141654524838667e-06,2.636240568227492e-05
924377666,2.3654817204858245e-06,2.4770174148522456e-06,2.484901341998843e-05
925653724,2.6732477723227934e-06,2.9854975121931836e-06,3.513097072363901e-05
926929782,2.6979240378998953e-06,2.7533179731590036e-06,3.740111080311456e-05
928205840,2.867231770649711e-06,3.2743037379434075e-06,4.73974442080889e-05
929481898,2.724060959744535e-06,2.9487887250981738e-06,3.9903831116496026e-05
930757956,2.512990680890748e-06,2.586317946914823e-06,3.9587423673811575e-05
932034014,2.535583898520113e-06,2.609451895722911e-06,3.5470510581396137e-05
933310072,2.84980623759674e-06,3.5023695952281916e-06,3.6976104331719547e-05
934586130,2.4428513641144406e-06,2.609648385378766e-06,3.777222585260441e-05
935862188,2.99359968538174e-06,3.111304935940987e-06,4.36410059324957e-05
937138246,2.76277820817013e-06,3.1480926213697055e-06,4.211294112799505e-05
938414304,3.304481274056903e-06,3.428469875049154e-06,5.783652661256618e-05
939690362,4.327752368835488e-06,4.884970322825571e-06,5.950496108444877e-05
940966420,5.0845171077699425e-06,5.4872353668358796e-06,7.423870626705622e-05
942242478,3.7065695907455883e-06,3.969442599752992e-06,3.944908251493462e-05
943518536,4.3431385107870996e-06,5.157420347079969e-06,4.7817116619844085e-05
944794594,4.207470018935261e-06,4.130473022478306e-06,5.06977889020652e-05
946070652,4.521409700189398e-06,4.802087863910968e-06,5.360069538849439e-05
947346710,4.713933060869883e-06,5.976860764223875e-06,5.897809210865597e-05
948622768,4.91601854239357e-06,6.871747641016326e-06,7.355094140257384e-05
949898826,4.2847942529393315e-06,5.310106772400629e-06,5.016423052609933e-05
951174884,4.293586917772512e-06,5.192784391126286e-06,5.2181708814404544e-05
952450942,4.792472065437812e-06,6.191371981209636e-06,6.147006866783618e-05
