ts,Dtree,nDtree,HK,ET,opt
1084754037,0.0,0.0,0.0,0.0,0.0
1084922078,0.0,0.0,0.0,0.0,0.0
1085090119,0.0,0.0,0.0,0.0,0.0
1085258160,0.0,0.0,0.0,0.0,0.0
1085426201,0.0,0.0,0.0,0.0,0.0
1085594242,0.0,0.0,0.0,0.0,0.0
1085762283,0.0,0.0,0.0,0.0,0.0
1085930324,1.432000636061669e-06,1.699474035210255e-06,1.2671177078834197e-05,3.3371083751454328e-06,3.0001075267062585
1086098365,1.442739022443265e-06,1.6581404566879473e-06,1.3489021322401656e-05,3.2543877969397626e-06,3.121677634641163
1086266406,1.3297982733183122e-06,1.739346622917835e-06,1.375646820220678e-05,3.3086113953663205e-06,3.413416614786979
1086434447,1.3058616062104226e-06,1.7313119137872635e-06,1.3615831360875845e-05,3.299048418078059e-06,3.5112490184612537
1086602488,1.2845947990756913e-06,1.7258882230891572e-06,1.3536525209833944e-05,3.245120340282579e-06,3.4804857404277145
1086770529,1.2601409994172268e-06,1.7265995096892863e-06,1.3642669114833577e-05,3.2406037927810784e-06,3.4919289103123123
1086938570,1.2580576711561467e-06,1.7167297387306816e-06,1.4170100648343258e-05,3.3437577776118882e-06,3.4148819218984463
1087106611,1.3149565781242976e-06,1.760216494824713e-06,1.3889783042366178e-05,3.4111133470806147e-06,3.2644081924450976
1087274652,1.2430657094420983e-06,1.7462429861968847e-06,1.3550426334031491e-05,3.269094315153184e-06,3.218684294235956
1087442693,1.2869979185455443e-06,1.7477880616534423e-06,1.3807842296193812e-05,3.3841634469596984e-06,3.1270639135764706
1087610734,1.3320218526226787e-06,1.741264771914689e-06,1.4051921548100023e-05,3.5066271124776687e-06,2.9346147614698914
1087778775,1.3128381430092324e-06,1.743815902373085e-06,1.3552536812317982e-05,3.5497642471332462e-06,2.7357681090705945
1087946816,1.3189884600422266e-06,1.7291667641632328e-06,1.3246073227605252e-05,3.631960127159938e-06,2.6081383108464498
1088114857,1.3198392300973767e-06,1.8054172660314398e-06,1.3577432487120483e-05,3.6323043371186014e-06,2.421690379307179
1088282898,1.38222589933695e-06,1.7872913953116277e-06,1.2892820588915168e-05,3.5466872274735065e-06,2.2734848805539927
1088450939,1.3794235190733287e-06,1.7945234969599164e-06,1.3016351002232361e-05,3.5737679058318723e-06,2.0739269288555486
1088618980,1.350117233968523e-06,1.7700274535851536e-06,1.2266142227330884e-05,3.5614753249772253e-06,1.8288149123545705
1088787021,1.3584168080170994e-06,1.8055508953414214e-06,1.2776948401181356e-05,3.5318077883211188e-06,1.66992958766947
1088955062,1.3965179678829153e-06,1.8027177768878576e-06,1.2739446680361134e-05,3.5711247730897694e-06,1.590037565792391
1089123103,1.370333356882078e-06,1.8126552908596258e-06,1.2859166251914674e-05,3.4699425414033576e-06,1.5816018553357392
1089291144,1.4038132008516283e-06,1.7301639723156637e-06,1.2131061545713326e-05,3.4451284805984883e-06,1.5582391452139992
1089459185,1.3812308111666326e-06,1.8378611102006032e-06,1.2556409429944256e-05,3.4660993534236688e-06,1.5816890941566866
1089627226,1.3584349104793705e-06,1.7922832806479373e-06,1.2057603576811266e-05,3.5815916501575224e-06,1.5593247596698956
1089795267,1.4784419272934311e-06,1.827008536940286e-06,1.1944531105756982e-05,3.603939819121745e-06,1.5713248673155478
1089963308,1.8316124325725557e-06,1.8243101218661e-06,1.1603996981937232e-05,3.40176693176034e-06,1.4963666569743406
1090131349,1.4567278409028403e-06,1.8787560903937597e-06,1.3066579434666226e-05,3.470638444660651e-06,1.3994131789134128
1090299390,1.399880921077321e-06,1.793671967477973e-06,1.195839131511085e-05,3.56391641601296e-06,1.3029593938722983
1090467431,1.3505204631893661e-06,1.775875449466407e-06,1.1232239467076155e-05,3.328654491005386e-06,1.2693112427307152
1090635472,1.5336291536684238e-06,1.8176118943807884e-06,1.1540721210928617e-05,3.429773162373094e-06,1.3094340358639722
1090803513,1.4609340699909516e-06,1.8995423581193617e-06,1.2139445579428548e-05,3.601887055752817e-06,1.208433708911828
1090971554,1.5322202068929148e-06,1.922248958245931e-06,1.2110226148809888e-05,3.3697193693327365e-06,1.1624675126651287
1091139595,1.5080813890368014e-06,1.856478511330568e-06,1.1739834106371743e-05,3.5303122722561986e-06,1.1018602880075516
1091307636,1.4542592913500127e-06,1.8970309850390786e-06,1.2469651746389818e-05,3.5005655804190616e-06,1.0825712036981292
1091475677,1.548321844895927e-06,1.8727841363943963e-06,1.261963794213596e-05,3.3395331485230343e-06,1.0880018888456544
1091643718,1.5748213750658044e-06,1.7836364644540235e-06,1.2286992623745234e-05,3.5275191355470183e-06,1.1251446540772938
1091811759,1.4587511079199387e-06,1.9562937212930016e-06,1.2351100676742676e-05,3.4947862138514763e-06,1.1464707880908678
1091979800,1.4354282836320313e-06,1.7579058274504875e-06,1.2201715085252763e-05,3.483609913093002e-06,1.079858683435148
1092147841,1.3443155010430663e-06,1.8102366765692594e-06,1.1613441171154844e-05,3.499553779398553e-06,1.0091439155505002
1092315882,1.4543206225341918e-06,2.265907068737103e-06,1.0707954450208327e-05,3.3520035215227466e-06,0.9369260860102426
1092483923,1.4114705792059108e-06,1.7819579380129352e-06,1.1808605548276725e-05,3.378026986280514e-06,0.8757268062022926
1092651964,1.3922822373645696e-06,1.6598120222899533e-06,1.065219644381317e-05,3.541215047705533e-06,0.7977364864364311
1092820005,1.4517918324913804e-06,1.7096279954076362e-06,1.1602913653286865e-05,3.247663848978788e-06,0.7847073296512594
1092988046,1.353575837233349e-06,1.768441428698244e-06,1.1082150068834416e-05,3.6302490800550365e-06,0.7290317125770504
1093156087,1.51223408538558e-06,1.7715073176383584e-06,1.2048245449746664e-05,3.341395791809622e-06,0.653518938627899
1093324128,1.4960120023373265e-06,1.814834232343642e-06,1.2486403049578545e-05,2.8293509083045534e-06,0.611108348544135
1093492169,1.4912784085050244e-06,1.8155693758509602e-06,1.3124445064438264e-05,3.4667516849969722e-06,0.6530643755838462
1093660210,1.3859847258112226e-06,1.8013838191096839e-06,1.253351270179714e-05,3.2941895965956845e-06,0.6672405552947921
1093828251,1.416299657433888e-06,1.7244037355885831e-06,1.139200768169943e-05,3.5271386539491284e-06,0.6474276620672224
1093996292,1.317168858694242e-06,1.7918634389845548e-06,1.1551960368467653e-05,3.411698246053355e-06,0.6757547814913031
1094164333,1.4327019790778944e-06,1.6680690882043017e-06,1.1840539544761662e-05,3.130638225704743e-06,0.7114051843819355
1094332374,1.4269548670722673e-06,1.7183510927698038e-06,1.2220290633623616e-05,3.107086541518976e-06,0.7045547158877059
1094500415,1.3389123726163865e-06,1.8138426370926814e-06,1.114010068178672e-05,3.5749103634737594e-06,0.6981052946189098
1094668456,1.456986604240155e-06,1.6763787716647819e-06,1.2632278586817523e-05,3.5183907000467988e-06,0.667650404590053
1094836497,1.3576015751482513e-06,1.6328870536297917e-06,1.1000775375873423e-05,3.407357924953852e-06,0.6232414346355967
1095004538,1.3075755871845446e-06,1.7410397866027455e-06,1.047861199568029e-05,3.4092111222069363e-06,0.594517997553672
1095172579,1.5258155465654035e-06,1.6739575216563395e-06,1.0733610384796357e-05,3.6288426397988004e-06,0.5668329447174238
1095340620,1.3617091683414263e-06,1.8159446773147543e-06,1.0803335510636309e-05,3.3951336164827134e-06,0.5330313555284004
1095508661,1.3802195443877152e-06,1.740156908154766e-06,1.0665096564639425e-05,3.6416131465221747e-06,0.49041905206554615
1095676702,1.4600021394704157e-06,1.6593050043524073e-06,1.0572652295017644e-05,3.377128061711443e-06,0.4489747510198732
1095844743,1.2921665647377987e-06,1.6896828286840416e-06,1.029056756436188e-05,3.2180263605698383e-06,0.42272773412415193
1096012784,1.5550739251217888e-06,1.5748585993817772e-06,1.1333236077405566e-05,3.692023503620642e-06,0.41531485261634044
1096180825,1.2990386886272494e-06,1.8088333906605177e-06,1.2144896853152081e-05,3.744144900416752e-06,0.6183898425055419
1096348866,1.375561150105145e-06,1.9178972290007122e-06,1.2094124718644808e-05,3.0857718446531366e-06,0.7214209466376433
1096516907,1.4295777694051439e-06,1.7440538346401951e-06,1.067187709089798e-05,3.422915197711426e-06,0.6805933142988839
1096684948,1.422183518540155e-06,1.7094924264137158e-06,1.1959864299230864e-05,3.283218868356802e-06,0.7474693238509547
1096852989,1.4793525259086248e-06,1.8011688534620681e-06,1.2346812656493416e-05,3.4185633353440985e-06,0.7880864627644876
1097021030,1.4222001176357927e-06,1.7811521975118558e-06,1.1229047285705688e-05,3.4829566815902852e-06,0.7736241107553835
