ts,Dtree,nDtree,HK,ET,opt
1084754037,7.594764020090215e-06,5.726477760144593e-06,1.0568253522781245e-05,7.141380980882804e-06,0.14523230668802792
1084922078,5.443609640999679e-06,5.9561613215937e-06,1.0732742778602041e-05,7.849588235958079e-06,0.47022232240201506
1085090119,4.567530233750232e-06,5.701558121700615e-06,1.0139321049965273e-05,8.010829615052934e-06,0.9630812059014604
1085258160,4.418213933663152e-06,5.706776403347451e-06,1.0678238229520925e-05,8.392491131679507e-06,1.4653546552211456
1085426201,4.589020225551961e-06,5.9101423368803914e-06,1.160563206923462e-05,8.816934203461605e-06,1.8837661455835242
1085594242,3.932380466375999e-06,5.386968769002565e-06,1.0324627725314231e-05,8.258283865491119e-06,2.259222246613478
1085762283,3.4400239760076574e-06,5.08684415509955e-06,9.146621275902718e-06,7.868542116261224e-06,2.650321287277925
1085930324,3.5011789398230462e-06,5.4031296617710404e-06,9.614124435967894e-06,8.11415553447951e-06,2.9306624498992804
1086098365,3.563249930206851e-06,7.352788270262384e-06,9.61550117147774e-06,8.196361184005622e-06,3.111161830904712
1086266406,3.7386336870345107e-06,8.468444133554638e-06,1.0093020442922267e-05,8.93103708149449e-06,3.402089012910782
1086434447,3.7435372174923506e-06,8.45905471601784e-06,1.0068305151835537e-05,9.229447194992983e-06,3.521153723601992
1086602488,4.005673566111938e-06,8.883048268612304e-06,1.054574225661325e-05,9.081122736591816e-06,3.4756399054412896
1086770529,3.965362832832796e-06,9.424038591340347e-06,9.835506098243398e-06,8.782084793487739e-06,3.494258343401429
1086938570,3.854915380133238e-06,9.3842705646637e-06,1.0066833408431476e-05,9.223390820862362e-06,3.4466629957082495
1087106611,4.3840525794070986e-06,1.0094335739641687e-05,1.0984299054029838e-05,9.588648199249554e-06,3.242209089677551
1087274652,4.176719960681949e-06,8.806699845548368e-06,1.0597430854266773e-05,8.835505868949178e-06,3.228208417051252
1087442693,4.283290855229735e-06,9.419468726829439e-06,1.020519738391113e-05,9.020965320005229e-06,3.139124893369839
1087610734,4.247661074281665e-06,9.731286354515557e-06,9.918251645564132e-06,8.987686757486805e-06,2.942294495331912
1087778775,5.046723148190523e-06,9.085597905685676e-06,1.0949301450272941e-05,9.207019472613355e-06,2.7292075084045715
1087946816,5.5498471831001705e-06,9.351129269741984e-06,1.1359135878108596e-05,9.525638200623761e-06,2.6200513335141395
1088114857,5.905785348382684e-06,1.0139133454736173e-05,1.2455209669126467e-05,1.026280711012658e-05,2.435057927522915
1088282898,6.02692137857813e-06,1.0076196367910178e-05,1.182296963239732e-05,9.75236124974052e-06,2.2567822486650533
1088450939,5.96815682037361e-06,1.0090872823536943e-05,1.1760879256029588e-05,9.421436538529134e-06,2.0570329445784985
1088618980,5.96884613608576e-06,9.046540207337946e-06,1.1850101379524394e-05,9.425752890521182e-06,1.8282341181290718
1088787021,6.02939569881018e-06,8.706523838279834e-06,1.2509075242814107e-05,9.417258221049535e-06,1.677110290577896
1088955062,5.468656015458379e-06,8.652447492865437e-06,1.206132686271861e-05,9.284457366955796e-06,1.5844658366655338
1089123103,6.139035654092269e-06,8.257122277494286e-06,1.1296361884297609e-05,9.43911457656631e-06,1.5878465137263942
1089291144,7.707408739472813e-06,8.681139279290812e-06,1.2466232338506018e-05,9.280874582732976e-06,1.5582555536232086
1089459185,7.980465837027516e-06,9.18634690077817e-06,1.2644411654506924e-05,9.19833900008442e-06,1.5812932555562615
1089627226,7.522243710646969e-06,9.160303912663146e-06,1.1230998895192345e-05,8.803162554706934e-06,1.5635621550815944
1089795267,9.259266319673907e-06,9.800196541517432e-06,1.2636366037426874e-05,9.291749105229131e-06,1.5748979519098203
1089963308,9.164323879044592e-06,8.520957943834287e-06,1.1255567131923355e-05,9.569777854466044e-06,1.498306712964636
1090131349,1.0845780983396792e-05,9.183184988716616e-06,1.2959674746740609e-05,9.97734113996669e-06,1.3982296854610476
1090299390,7.942948128071598e-06,9.305193392369349e-06,1.2284344466174771e-05,9.660188763804186e-06,1.297639284980376
1090467431,8.173098191636233e-06,8.345794431555185e-06,1.1490214179212474e-05,8.890717808545789e-06,1.2746000114310563
1090635472,7.206643040450895e-06,9.416408370232149e-06,1.2088054519050836e-05,8.814471219843304e-06,1.318737640786826
1090803513,6.555073091167406e-06,8.982346283903024e-06,1.1510252396456259e-05,9.169881725267341e-06,1.1982244332880587
1090971554,6.3185327454549255e-06,9.330070492283631e-06,1.1374607210992802e-05,8.586336572129754e-06,1.186495616973698
