ts,Dtree,nDtree,HK,ET,opt
1082227042,0.0,0.0,0.0,0.0,0.0
1082420323,0.0,0.0,0.0,0.0,0.0
1082613604,0.0,0.0,0.0,0.0,0.0
1082806885,0.0,0.0,0.0,0.0,0.0
1083000166,0.0,0.0,0.0,0.0,0.0
1083193447,0.0,0.0,0.0,0.0,0.0
1083386728,0.0,0.0,0.0,0.0,0.0
1083580009,0.0,0.0,0.0,0.0,0.0
1083773290,2.1308553964432326e-06,0.0,0.0,0.0,3.0301631204544086
1083966571,1.5610058963376739e-06,2.045556084663003e-06,1.3113706862231259e-05,2.9325089742533815e-06,3.7830424838412586
1084159852,1.3921899695864396e-06,2.0174169769627056e-06,1.4654350822894895e-05,3.10463131581076e-06,4.492447243669637
1084353133,1.3064999849863585e-06,2.012880036215376e-06,1.4320855940191768e-05,3.1581625666442067e-06,4.782908662862233
1084546414,1.3144841490850238e-06,2.026895746178153e-06,1.4783344428836406e-05,3.3660668575481254e-06,5.1397838695390545
1084739695,1.3082013275789109e-06,1.97949994080433e-06,1.4382405590328539e-05,3.1498953229421504e-06,5.296648231689567
1084932976,1.2708764806767685e-06,1.972957138020341e-06,1.4484122610246185e-05,3.043623750052837e-06,5.631246277165609
1085126257,1.3624830804018624e-06,1.9630374175380537e-06,1.4203825364676252e-05,3.073275748378723e-06,5.937016119792925
1085319538,1.3186539640443092e-06,2.039666896298668e-06,1.4189262941586641e-05,3.3586162247157965e-06,6.217000937017801
1085512819,1.269371822065939e-06,1.9784542262325736e-06,1.4426422519959521e-05,3.1424221106100112e-06,5.91576957925374
1085706100,1.280479003109138e-06,2.057848222220803e-06,1.4320593752606076e-05,3.0106320279353898e-06,6.592150840494337
1085899381,1.3463773872298699e-06,2.008594902035938e-06,1.4986038944138799e-05,3.3252663800863306e-06,7.080730503965596
1086092662,1.307439250595037e-06,2.1378966668645185e-06,1.539766157102673e-05,3.369566488511807e-06,7.075266218200722
1086285943,1.3224817400582262e-06,2.006134281240521e-06,1.5443810106237373e-05,3.4197153186831663e-06,7.090844160567884
1086479224,1.4238879097372466e-06,2.149291306207396e-06,1.585098247660555e-05,3.7780611574196713e-06,6.89054555937888
1086672505,1.3750775020623953e-06,2.2009116543071398e-06,1.6662823925958432e-05,3.809460669977414e-06,6.564734257832935
1086865786,1.3806663236247748e-06,2.205482728633843e-06,1.567062025996672e-05,3.830443596374909e-06,6.396852780237814
1087059067,1.4822336888357073e-06,2.5125665377945664e-06,1.7207945203108375e-05,4.316064440182159e-06,5.7039630508127885
1087252348,1.5848143215059012e-06,2.44356672288777e-06,1.6867130488000088e-05,4.273164113829977e-06,4.778333358739793
1087445629,1.8122674915666417e-06,2.751657125313764e-06,1.946244992727856e-05,5.0628614620211805e-06,4.322329675611376
1087638910,1.5541829464879683e-06,2.454331580050089e-06,1.708758441304186e-05,4.800410495737432e-06,3.496316475929476
1087832191,1.6387192558495401e-06,2.207854974693062e-06,1.4522317177233297e-05,3.886348391712612e-06,2.738922709360534
1088025472,1.6631246710687785e-06,2.192968084108428e-06,1.3909066064457666e-05,3.9355659483220315e-06,2.2177825379419387
1088218753,1.536700010405435e-06,2.3679137807578355e-06,1.4044088832216425e-05,4.0594446226882735e-06,1.459825496062042
1088412034,1.635275070838453e-06,2.2072339052889796e-06,1.2202920415981322e-05,3.948233582417665e-06,0.9419112347325987
1088605315,1.6921636557924877e-06,2.1512853637320194e-06,1.228941815729493e-05,3.961099589914717e-06,0.6089646610033429
1088798596,1.9687962347747736e-06,2.0265376569867114e-06,0.0,0.0,0.5847855516830002
1088991877,2.0125780208539446e-06,0.0,0.0,0.0,0.8256399750320915
1089185158,1.8309618720753098e-06,0.0,0.0,0.0,0.9037034665773757
1089378439,1.843548427580271e-06,2.047026548739334e-06,0.0,0.0,1.0641855575836476
1089571720,1.6372487136868742e-06,0.0,0.0,0.0,1.1651956968069745
1089765001,1.7235277624429184e-06,1.8216624017918716e-06,1.34762184029454e-05,3.55578451018974e-06,1.3788899058908604
1089958282,1.7237029239733463e-06,2.064120119472706e-06,1.3599164235026843e-05,3.601586628500265e-06,1.2486868498751131
1090151563,1.4856918728766316e-06,2.001652925496554e-06,1.1585126653524106e-05,3.8027098956604287e-06,1.0553025205020048
1090344844,1.4748147665055353e-06,1.960791466405255e-06,1.1401168597741221e-05,3.5500077428643724e-06,0.9537510272108577
1090538125,1.7630893694998646e-06,2.2765060778619505e-06,1.2833086782879237e-05,3.4725474230240506e-06,0.8910827031376802
1090731406,1.4441080621447299e-06,2.041887354062833e-06,1.1793842059517192e-05,3.417273416717798e-06,0.8285635281118326
1090924687,1.7804685806068969e-06,2.1288688388682968e-06,1.1060805196937704e-05,3.538092495357261e-06,0.7302897692062413
1091117968,1.4901151259746817e-06,2.0236774492440616e-06,1.306690504951116e-05,3.5306394670679454e-06,0.5037790766081819
1091311249,1.7279080570763942e-06,1.7462210962985408e-06,1.0365594341484422e-05,3.0966398189969188e-06,0.4801801579170687
1091504530,1.7425001808551084e-06,1.2310098690280492e-05,9.369011410517608e-06,3.1599616958618394e-06,0.48925488224851515
1091697811,1.6052704722751783e-06,2.055427454013894e-06,1.1912272450976373e-05,3.3762729432835845e-06,0.5311521542110124
1091891092,1.5653654180482783e-06,2.1934465408412933e-06,1.1637559514801973e-05,3.3809041498661575e-06,0.4869068904831123
1092084373,1.4565848652364454e-06,1.6577376054394972e-06,8.836344406229628e-06,3.0239892798300596e-06,0.4412889315585571
1092277654,1.5439763216364262e-06,2.0530054304769305e-06,9.663207106488176e-06,3.3867503091513012e-06,0.4114486812694173
1092470935,1.545373733604321e-06,1.870940685858726e-06,1.0212628192127978e-05,3.435574694808688e-06,0.41157220745352435
1092664216,1.4168987470582665e-06,2.0485958089694993e-06,9.59000522532528e-06,2.9854029359585774e-06,0.4541665972162842
1092857497,1.4935537000035768e-06,1.931899926234248e-06,8.873005820876834e-06,2.924763555699592e-06,0.4670149199111471
1093050778,1.6167746422202688e-06,2.037357189514442e-06,1.033603784367893e-05,3.2775528737744306e-06,0.43075507337864605
1093244059,1.7066443513719861e-06,2.274266984541153e-06,8.66405059139484e-06,2.833054941430871e-06,0.42023682122619144
1093437340,1.8298589348866226e-06,0.0,1.142535109187177e-05,3.2251539501236512e-06,0.49227942251366325
1093630621,1.6273914394916478e-06,1.8492304056956829e-06,1.137977364035833e-05,3.033497823041891e-06,0.4735357877370122
1093823902,3.883343496348804e-06,2.2901164856882476e-06,1.2760854308838197e-05,3.499435825528097e-06,0.5270473407449273
1094017183,1.6738002996394649e-06,2.05183374676892e-06,1.0796347949273311e-05,3.0669453107778274e-06,0.5426619973597663
1094210464,1.636890920253245e-06,2.1021250939533746e-06,1.1293376604458492e-05,3.4651370091337583e-06,0.5152282563648043
1094403745,1.2293433398057522e-06,1.784037955857499e-06,1.0061728630083412e-05,3.047982146095125e-06,0.511748032006188
1094597026,1.5323826574768086e-06,1.8849937493654797e-06,1.0273271598398973e-05,3.4847718876026075e-06,0.4860440977542957
1094790307,1.6540261358068637e-06,1.9986132485916957e-06,1.0342630394245771e-05,3.261857661617929e-06,0.46195006694748597
1094983588,1.561127514289803e-06,2.0308973247204044e-06,0.0,3.820893346477948e-06,0.4218335742435862
1095176869,2.324266831603977e-06,2.010715385017893e-06,1.0607746445292892e-05,3.842629257604949e-06,0.32669498144408543
1095370150,1.4870067541135336e-06,1.8735074567557098e-06,1.065493337709519e-05,3.88137219922307e-06,0.3327604478247274
1095563431,1.5231742628479582e-06,1.969737396624754e-06,1.1602998839613242e-05,3.5289604418120877e-06,0.386528464347537
1095756712,1.7642939567636492e-06,2.1308553964432326e-06,1.1939225067003785e-05,3.388761112297147e-06,0.38434086727154776
1095949993,2.3602779111373092e-06,2.533172071233389e-06,1.1981900628963867e-05,3.757320280388126e-06,0.3965526105290848
1096143274,1.6473200753397078e-06,2.1043180965484326e-06,1.2540692776752785e-05,3.5768876452810303e-06,0.3945077742855768
1096336555,1.6514656911047834e-06,2.078706789774774e-06,1.2156823484569097e-05,3.4379686892713163e-06,0.40846591928327347
1096529836,1.5989455303247883e-06,1.90138436556623e-06,1.0746517755340814e-05,3.194120666538442e-06,0.37891623061336105
1096723117,1.4072213741371174e-06,2.133963346091113e-06,1.068689982646305e-05,3.3695194590930365e-06,0.3310603013759631
1096916398,1.7210783809614678e-06,2.2128113732295106e-06,1.2727327031424814e-05,3.7159646861668054e-06,0.30337907140826964
1097109679,1.431439218585944e-06,1.984331351209542e-06,1.248518558343927e-05,3.259612713090609e-06,0.2642095221340392
1097302960,1.618622448457217e-06,2.169039431082294e-06,1.2070811535533538e-05,3.6195761373027145e-06,0.23334441827300698
1097496241,1.8067597722214542e-06,1.9073295595169047e-06,0.0,0.0,0.2046293433798272
1097689522,1.1312427164905462e-06,1.91144262925555e-06,1.0932215045436243e-05,3.1772937409706847e-06,0.17022944692060943
1097882803,1.4998912566900865e-06,2.024318699546805e-06,7.828050586999345e-06,2.914101050719206e-06,0.17490787429766114
