ts,Dtree,nDtree,HK,ET,opt
1082227042,0.0,0.0,0.0,0.0,0.0
1082420323,0.0,0.0,0.0,0.0,0.0
1082613604,7.206794109941359e-06,5.553963025694271e-06,9.450083565909334e-06,6.385013005240441e-06,0.05217688947675905
1082806885,5.186140417649527e-06,5.044944566070418e-06,8.468047274012744e-06,6.679694436031778e-06,0.21234239538246047
1083000166,4.020606952856708e-06,5.188413126508401e-06,8.468123616112142e-06,6.9032861507198454e-06,0.4351096817953897
1083193447,4.19255359612755e-06,5.371454095925355e-06,8.101000812609236e-06,7.570697388414539e-06,0.8024788073000082
1083386728,3.880447939397956e-06,5.6139552545911575e-06,9.011146364772575e-06,8.134908077416432e-06,1.3418875322903596
1083580009,3.539604417740197e-06,5.204516219026497e-06,8.569410080937436e-06,7.763926881611256e-06,1.9573389448655392
1083773290,3.6579013699281316e-06,5.906330479035313e-06,9.757704522584594e-06,8.2924607210408e-06,2.7157039998961237
1083966571,3.6406512740169053e-06,7.500019663885638e-06,9.95878166061412e-06,8.67457942089728e-06,3.592415892885659
1084159852,3.619675569882163e-06,7.89032340836404e-06,1.0180152751341699e-05,8.595013967287196e-06,4.391808952251465
1084353133,3.391942338307042e-06,7.822188860891905e-06,9.466647848171209e-06,8.253271701509265e-06,4.710839226052345
1084546414,3.6286064930126153e-06,7.970497551285344e-06,9.596539288872122e-06,8.653007964152964e-06,5.079438220093269
1084739695,3.984367163768627e-06,9.314802429862781e-06,1.0737422537982441e-05,8.998271448790853e-06,5.286651978897393
1084932976,3.583963960926843e-06,9.191176880927296e-06,9.929109230031578e-06,8.722068039516374e-06,5.552350551361582
1085126257,3.725008443291316e-06,9.364090058394314e-06,9.766467592119464e-06,8.906999363722026e-06,5.92000721107962
1085319538,3.796179249153777e-06,9.474088874113362e-06,9.898069649687694e-06,9.422101134676723e-06,6.2287784751568065
1085512819,3.882227475487782e-06,1.07039518138633e-05,1.0482630647538603e-05,9.475876031753642e-06,5.920395331846655
1085706100,3.5253553557811906e-06,8.707200319518616e-06,9.600286077084027e-06,8.959517624614592e-06,6.533569705506263
1085899381,4.490736670267759e-06,1.1273902474183251e-05,1.2522850519400849e-05,1.0435969000085633e-05,7.020290652412509
1086092662,4.615032990598398e-06,1.0806242428658046e-05,1.2348429980192557e-05,1.0396239873016508e-05,7.065674531410878
1086285943,4.810896354810535e-06,1.057300696101381e-05,1.2964911846627071e-05,1.1394272807249187e-05,7.084345562406392
1086479224,4.865523961763141e-06,9.77050379562482e-06,1.3403664380600967e-05,1.1461081008671292e-05,6.92150065978793
1086672505,4.490798991870093e-06,9.239084817059483e-06,1.2854036397258018e-05,1.0384331978371758e-05,6.546328212084138
1086865786,4.398648839290916e-06,1.0076060248523818e-05,1.1592323936505385e-05,1.0471463625837816e-05,6.393504208129163
1087059067,5.172836241093919e-06,1.318694778930449e-05,1.2984123470553353e-05,1.200442604101035e-05,5.710652851509384
1087252348,4.763757295477592e-06,1.1450156333185333e-05,1.1464413409920538e-05,1.0991287572419703e-05,4.771297096249334
1087445629,5.873015486650946e-06,1.4212058124949792e-05,1.6819866969631244e-05,1.4122888345594571e-05,4.427196400488755
1087638910,9.33472234494832e-06,1.5255421045810339e-05,1.8122960385512057e-05,1.1903780715924485e-05,3.5554439825600634
1087832191,9.733236005246358e-06,1.3807765478306621e-05,1.532662066919246e-05,1.196215615173088e-05,2.943442956176012
1088025472,8.901157356855629e-06,1.2424758936996429e-05,1.5420408135552005e-05,9.419386053676446e-06,2.0756256873934973
1088218753,1.1208541661602558e-05,1.2113447718732526e-05,1.5452491280943953e-05,1.2239599480065204e-05,1.4591298742883163
1088412034,7.6026887870106e-06,8.794151520826421e-06,1.073037599961413e-05,9.179996795744283e-06,0.8649475225484572
1088605315,5.728619603163044e-06,7.193374952049648e-06,9.841430428015e-06,8.351736404022658e-06,0.6033091496898506
1088798596,4.8141083129755785e-06,6.184501841885007e-06,8.14600838772149e-06,7.369402527007484e-06,0.6341970308090739
1088991877,6.122890677708235e-06,6.1088752321079815e-06,8.096033369926361e-06,7.31942544594387e-06,0.8042937688938421
1089185158,4.78470828299074e-06,5.455446431508696e-06,8.611181584434026e-06,7.6041388816217566e-06,0.9639884823637335
1089378439,3.534368894543171e-06,4.989101028348209e-06,7.228354131095971e-06,6.621841497936502e-06,1.0412905105003059
1089571720,4.02893701962039e-06,5.712508076023737e-06,8.597801120841863e-06,7.891891018045215e-06,1.1339765800131376
1089765001,5.0231316428050485e-06,7.762162401315409e-06,1.1460104414869163e-05,8.968691005290828e-06,1.3095189763715032
1089958282,4.078441726953956e-06,6.974118227361352e-06,9.838490985386436e-06,8.949838634877824e-06,1.2626967147560408
1090151563,3.7065462733520667e-06,7.069059206114302e-06,1.0079528024761349e-05,1.013260739198915e-05,0.973626549246037
1090344844,4.968825858179952e-06,7.672648343586048e-06,1.0506986400694194e-05,8.21551396004893e-06,0.9499491765770569
1090538125,5.306237370547606e-06,6.5776322047127256e-06,1.0413875325595328e-05,8.234050801923257e-06,0.8948621712526189
1090731406,5.061304611936415e-06,6.9844526782659085e-06,1.1024817493550885e-05,8.94292489111981e-06,0.8351688222639201
1090924687,4.594597446043687e-06,7.028084814020107e-06,8.837844427929674e-06,7.394687507751691e-06,0.7265224151974031
1091117968,4.718093813108864e-06,6.482363880719376e-06,7.364923264332976e-06,7.0503757077065825e-06,0.503374972253922
1091311249,5.299012577833425e-06,6.834335556900483e-06,7.852310004478829e-06,7.031695386781525e-06,0.4836614875230779
1091504530,4.34533725242651e-06,6.91556800481058e-06,8.57329357898804e-06,7.629729044403958e-06,0.4831254193745674
1091697811,6.69160001507482e-06,7.2240476072874756e-06,9.231007125970561e-06,7.3217772127303515e-06,0.5369842145006173
1091891092,5.8306283189260045e-06,6.6589896687831255e-06,7.784910338946934e-06,6.837677616396943e-06,0.48530819580661017
1092084373,4.817535630148013e-06,7.099377079192061e-06,7.970970251069554e-06,7.713264577608348e-06,0.43570867288985743
1092277654,5.971123878260431e-06,5.866364788245029e-06,8.000819626360512e-06,7.403153836694199e-06,0.41264522910376966
1092470935,6.53148698829066e-06,6.211108854144698e-06,9.815274678512039e-06,7.705628835482262e-06,0.4197446627165352
1092664216,5.466462422438587e-06,6.028180637146517e-06,8.471018511452842e-06,7.758430595539149e-06,0.4252677877838645
1092857497,4.210215991878413e-06,5.333931613992578e-06,7.851860158529918e-06,6.841728013655274e-06,0.4699952240714447
1093050778,4.085572481415722e-06,5.389158994684547e-06,6.73154807688179e-06,6.956863540136393e-06,0.42717144966958454
1093244059,4.041431571474157e-06,5.944051338392041e-06,6.092848470922173e-06,6.108003506375444e-06,0.41567337945465693
1093437340,3.992798424923756e-06,5.9606501459889705e-06,7.856617631260969e-06,7.159738380144076e-06,0.47872286608142717
1093630621,4.311632270417041e-06,4.39369540237786e-06,5.99953658005127e-06,6.377675345776879e-06,0.4749888216663789
1093823902,4.653104115862321e-06,5.834424605104039e-06,7.302605701196251e-06,7.783009934944917e-06,0.5365103287310852
1094017183,3.4644688632047044e-06,4.56690628038995e-06,6.280906964496397e-06,5.849058099177249e-06,0.5510772338933179
1094210464,5.786360237896169e-06,7.633279078323554e-06,1.0078567872369178e-05,8.550047674547577e-06,0.520665687202526
1094403745,4.8714730366230816e-06,7.4202767306481115e-06,9.951634227387891e-06,9.129307799179023e-06,0.5193169664514892
1094597026,4.891457216289161e-06,6.281571257434147e-06,7.913463410833912e-06,8.524784705118264e-06,0.48720700123997146
1094790307,4.347520402540508e-06,5.844471725132833e-06,7.730508549674674e-06,7.447128902281989e-06,0.466186947642721
1094983588,4.624845972060515e-06,6.226281908630125e-06,8.130836072520313e-06,6.917226371942482e-06,0.422600892181214
1095176869,5.165067189438072e-06,6.176307906344141e-06,8.881836019363392e-06,7.5134331677230905e-06,0.3217100663703609
1095370150,3.860984811350693e-06,6.0761933400764984e-06,8.309123034867894e-06,7.72451879062234e-06,0.3540316780639149
1095563431,5.223220293533606e-06,5.880696484271736e-06,9.285759040080038e-06,7.1514827722010854e-06,0.38860971848712705
1095756712,9.778182430167544e-06,4.681796214780527e-06,1.2840410701445135e-05,9.202021229735083e-06,0.3869421393834441
1095949993,7.042404111083666e-06,6.956511486621929e-06,1.012963354708942e-05,9.242698959918744e-06,0.39247606569127597
1096143274,4.34438589384108e-06,5.270300478416089e-06,8.714436402815896e-06,6.924530810425687e-06,0.39102288199810076
1096336555,5.211970537111992e-06,4.296841098110715e-06,6.55547222935665e-06,6.331435724658176e-06,0.40992917631998194
1096529836,5.674623692920123e-06,6.7099377500316924e-06,1.1987340150136594e-05,9.78496514410703e-06,0.376178685949193
1096723117,8.171535577788299e-06,7.422925577163302e-06,9.5093071585433e-06,8.0309322515624e-06,0.35579283034173986
1096916398,6.483139800726149e-06,8.031442470990267e-06,1.2205492960936766e-05,9.311917238591705e-06,0.2909978151193162
1097109679,3.715151656270863e-06,4.2832697817557e-06,6.423861484176662e-06,5.310480017008487e-06,0.2631419575339878
