ts,Dtree,nDtree,HK
1920,0.0,0.0,0
1921,0.0,0.0,0
1922,0.0,0.0,0
1923,0.0,0.0,0
1924,0.0,0.0,0
1925,9.181369989454165e-07,8.261298260887724e-07,0
1926,9.032595931961485e-07,8.535875129322657e-07,0
1927,9.34155540884757e-07,9.33355159204751e-07,0
1928,9.246123298535814e-07,9.130622035649361e-07,0
1929,9.521793044701731e-07,9.041777106494781e-07,0
1930,9.27091317416882e-07,8.959070323214754e-07,0
1931,9.889574894316216e-07,9.763211155248554e-07,0
1932,9.317123998106559e-07,9.351516010220888e-07,0
1933,9.994084253897716e-07,9.96356139740117e-07,0
1934,9.567527027966068e-07,9.0890194472537e-07,0
1935,1.022294370696445e-06,1.0333377889279678e-06,0
1936,9.771531830721999e-07,9.435236784773377e-07,0
1937,8.844974012392478e-07,8.159936953415778e-07,0
1938,9.962091840008144e-07,1.019327779813603e-06,0
1939,1.0950199240631221e-06,1.083368258756639e-06,0
1940,1.0773180874501215e-06,1.0345696478055894e-06,0
1941,1.1105683066233604e-06,1.062586393581893e-06,0
1942,1.088431591556081e-06,1.0975574953384474e-06,0
1943,1.0762687210342078e-06,1.0483086655309003e-06,0
1944,1.0618779897886428e-06,1.037927979790602e-06,0
1945,1.0299345421092584e-06,1.003658212959523e-06,0
1946,9.213895119030091e-07,8.542561801224762e-07,0
1947,1.0088289359661391e-06,1.1132536438648696e-06,0
1948,1.0849303494639882e-06,1.033551261578179e-06,0
1949,1.1241961496001456e-06,1.118664573809536e-06,0
1950,1.0913439041943128e-06,9.938821503268988e-07,0
1951,1.0342414579409436e-06,1.0682074315889432e-06,0
1952,1.1680185930189575e-06,1.2025120925809125e-06,0
1953,1.143903128241624e-06,1.1824800018756852e-06,0
1954,1.100454148850965e-06,1.209388243842825e-06,0
1955,1.147532764758515e-06,1.1890132250032198e-06,0
1956,1.1352379291177503e-06,1.181041927145615e-06,0
1957,1.1640675961955509e-06,1.2478717799795533e-06,0
1958,1.0942101187836464e-06,1.2187608971961754e-06,0
1959,1.0870208978699467e-06,1.258708878713931e-06,0
1960,1.1066056467834293e-06,1.2350121901643216e-06,0
1961,1.1603289592987803e-06,1.2638669962443788e-06,0
1962,1.1571093618872269e-06,1.2874119708561728e-06,0
1963,1.3014111849220354e-06,1.2924044272033946e-06,0
1964,1.1096473977082894e-06,1.257741779763548e-06,0
1965,1.1599727867155542e-06,1.277550361797378e-06,0
1966,1.1530804634585474e-06,1.2598799074828391e-06,0
1967,1.1018049776009327e-06,1.2650321210673587e-06,0
1968,1.0570227353307545e-06,1.1698779650835111e-06,0
1969,1.191180351484323e-06,1.327795845917464e-06,0
1970,1.1648494067227672e-06,1.3631159741370985e-06,0
1971,1.1724697098813915e-06,1.3570385031508103e-06,0
1972,1.1993923073120468e-06,1.3218273515362271e-06,0
1973,1.0921702707550742e-06,1.235589743686312e-06,0
1974,1.1839532596056393e-06,1.3319682869493544e-06,0
1975,1.2170717533951187e-06,1.4381471610610053e-06,0
1976,1.211058216087728e-06,1.9481689282397436e-06,0
1977,1.2304549402915834e-06,1.6324854603159291e-06,0
1978,1.2243178179160301e-06,1.6127399227935405e-06,0
1979,1.2436106245828017e-06,2.5588004297990673e-06,0
1980,1.2275806204081218e-06,3.0044243105373296e-06,0
1981,1.233551582668598e-06,3.339541348941832e-06,0
1982,1.220039553494854e-06,3.032133297936105e-06,0
1983,1.205622378631505e-06,1.6791043209884268e-06,0
1984,1.26394065497522e-06,1.4161778833163844e-06,0
1985,1.2657966023206265e-06,1.5163986272788418e-06,0
1986,1.2654724468953492e-06,1.3750020596746847e-06,0
1987,1.2395209881381e-06,1.3276200109637693e-06,0
1988,1.2619515836046602e-06,1.3100449788097373e-06,0
1989,1.2476773429191907e-06,1.2850214659419434e-06,0
1990,1.2707216825867222e-06,1.350486214863021e-06,0
1991,1.2672768896540567e-06,1.3609984519313716e-06,0
