ts,Dtree,nDtree,HK
1920,2.069571099859973e-06,2.094669643465165e-06,0
1921,2.5803102276334714e-06,2.288220643310362e-06,0
1922,2.8347171715795775e-06,2.452609461118459e-06,0
1923,3.1543869106681595e-06,3.192224858036212e-06,0
1924,3.3596092827632533e-06,3.450973801601436e-06,0
1925,3.030569068887176e-06,3.5512005370462778e-06,0
1926,5.277334984204597e-06,6.220015913351033e-06,0
1927,4.6427649255095695e-06,6.74604816707096e-06,0
1928,4.479996000821195e-06,8.802875712581124e-06,0
1929,4.46355482462281e-06,7.725400878472107e-06,0
1930,4.61183222520379e-06,9.774129204598262e-06,0
1931,4.344945610746694e-06,9.978141719038108e-06,0
1932,2.316841948737144e-06,2.344041334961413e-06,0
1933,5.172941411229275e-06,8.536832595493597e-06,0
1934,4.861476935980086e-06,9.415790724281537e-06,0
1935,5.586186385965535e-06,9.208535247111213e-06,0
1936,4.9852704814494275e-06,8.899403778678537e-06,0
1937,4.2529878188600335e-06,1.244958429328476e-05,0
1938,4.00992082134348e-06,1.0011309929661973e-05,0
1939,4.364420258457235e-06,1.2783215139735255e-05,0
1940,3.972486850085343e-06,1.3021692870341797e-05,0
1941,3.00533090502696e-06,6.518572290076466e-06,0
1942,4.200571087780369e-06,1.2788613975838829e-05,0
1943,4.814603970735642e-06,1.1208060884079213e-05,0
1944,4.359131256382108e-06,9.649042466861969e-06,0
1945,4.088112918434179e-06,1.506313556647092e-05,0
1946,4.844511661555912e-06,1.010054710205273e-05,0
1947,5.596158126411408e-06,1.5068599456173992e-05,0
1948,5.570074246294897e-06,1.260082043617693e-05,0
1949,5.761115763735082e-06,1.2500743704682318e-05,0
1950,5.4038036448785755e-06,1.3804994355817182e-05,0
1951,5.1977895265829915e-06,1.1641647847744085e-05,0
1952,5.33556391146381e-06,1.8493563895508898e-05,0
1953,6.041490547716509e-06,1.6865591169110418e-05,0
1954,6.099774161001671e-06,1.5562733411433033e-05,0
1955,6.192642592701557e-06,1.843617535445942e-05,0
1956,5.378755612093617e-06,1.8793596384296695e-05,0
1957,5.661743320754549e-06,3.664763489387432e-05,0
1958,5.614259660959389e-06,2.748857081334897e-05,0
1959,5.565607536605846e-06,4.9115593194394585e-05,0
1960,5.533674368841647e-06,2.959573296054825e-05,0
1961,5.944186296070048e-06,2.758568787956867e-05,0
1962,5.9205312268282406e-06,3.702546512894403e-05,0
1963,5.276171717816355e-06,3.0359331451033908e-05,0
1964,5.89679389409097e-06,3.699354875574182e-05,0
1965,5.468889012218082e-06,4.239539041857048e-05,0
1966,5.244091780904548e-06,4.0902547713355175e-05,0
1967,5.168804709609492e-06,6.841176835168781e-05,0
1968,5.01415686902577e-06,4.7190615792613794e-05,0
1969,4.2747149234091465e-06,5.010106928548981e-05,0
1970,5.119242717741452e-06,7.191360758550484e-05,0
1971,5.0643118119572155e-06,4.723015541851882e-05,0
1972,5.2098130103713715e-06,7.036212397722785e-05,0
1973,5.426001950062325e-06,6.409365611088953e-05,0
1974,5.4156995367744444e-06,6.840554475339191e-05,0
1975,5.035118815138707e-06,6.478278710061016e-05,0
1976,4.739564445859338e-06,6.534170176708197e-05,0
1977,4.902643876135433e-06,0.0001535268053420323,0
1978,4.608477538671277e-06,6.093122298491662e-05,0
1979,4.537374526900447e-06,0.00010618544877003886,0
1980,4.6881487446407735e-06,0.00011612815089660411,0
1981,4.582077443342071e-06,6.114063804919262e-05,0
1982,4.5297619176069966e-06,6.713568283836756e-05,0
1983,4.373817577184285e-06,8.792175087410855e-05,0
1984,4.387052039781726e-06,6.653761734975792e-05,0
1985,4.253493279408326e-06,7.140613101549172e-05,0
1986,4.095856531504543e-06,7.596184397197319e-05,0
1987,4.190686854197383e-06,6.331469422934756e-05,0
1988,4.175927261858015e-06,8.412552031481861e-05,0
1989,4.162901015574783e-06,6.300669364708874e-05,0
1990,4.057174350391276e-06,0.00015665788794318113,0
1991,3.1827943616414937e-06,7.146729535630022e-05,0
1992,3.510324180217004e-06,9.155000656898993e-05,0
1993,3.1905553808420604e-06,7.021513764480654e-05,0
1994,3.207760776132768e-06,8.253335830663331e-05,0
1995,3.1240000333121063e-06,7.83953799300085e-05,0
1996,2.889051609914228e-06,6.531286451517096e-05,0
1997,2.8944227059190323e-06,2.0322653678323462e-05,0
1998,2.938402488766966e-06,4.232105276025605e-05,0
1999,2.9634527842552533e-06,5.059063759608691e-05,0
2000,2.907478114760659e-06,5.857286578651474e-05,0
2001,3.0731193359222726e-06,3.811609726974296e-05,0
2002,3.0863329285367724e-06,6.759969727977406e-05,0
2003,3.0007201010236e-06,3.0054481820385568e-05,0
2004,3.1001058390094506e-06,6.0485509531238594e-05,0
