ts,Dtree,nDtree,HK
1920,2.7274461727761834e-06,2.3157874935949845e-06,0
1921,2.99715835980232e-06,2.4498522582281766e-06,0
1922,3.429695912947006e-06,2.6948056996835505e-06,0
1923,4.043049077859831e-06,3.3650142341689146e-06,0
1924,4.401495817611467e-06,3.955349454134348e-06,0
1925,4.87314974512289e-06,4.709237725424973e-06,0
1926,5.744457340612407e-06,6.279100546138282e-06,0
1927,5.425547948086119e-06,6.424918841164674e-06,0
1928,5.2171323702471234e-06,8.480141930342552e-06,0
1929,5.461159210569963e-06,7.558085761613951e-06,0
1930,5.544098144664158e-06,9.807567664843515e-06,0
1931,5.41275624255389e-06,9.70892843638698e-06,0
1932,5.675158973481408e-06,9.265939467125213e-06,0
1933,5.826554483028647e-06,8.93946401146267e-06,0
1934,5.808267237889207e-06,8.915083290692272e-06,0
1935,6.522917930439204e-06,1.015791848220367e-05,0
1936,6.123745472712147e-06,9.542202233742149e-06,0
1937,5.371480939879472e-06,1.3334217761504026e-05,0
1938,5.09952140546052e-06,1.1893684310180586e-05,0
1939,5.523646390704889e-06,1.2367955313652041e-05,0
1940,5.644940975134867e-06,1.62836659959405e-05,0
1941,5.6155956115779834e-06,1.4993582546066279e-05,0
1942,5.740759186481072e-06,1.3315192914148139e-05,0
1943,5.727211128258902e-06,1.1602331943783518e-05,0
1944,5.487537296415854e-06,1.101375532647015e-05,0
1945,5.629927629326063e-06,1.948036447712572e-05,0
1946,5.797218830426072e-06,1.2546600521579075e-05,0
1947,5.551336590857381e-06,1.3468349754729163e-05,0
1948,5.806924016933769e-06,1.1820479449533145e-05,0
1949,6.044766146829539e-06,1.267483737714084e-05,0
1950,6.122680379157912e-06,1.4749630002422068e-05,0
1951,5.8172525795651686e-06,1.2680991907720183e-05,0
1952,5.873783339127487e-06,1.9327320889054708e-05,0
1953,7.592927989666711e-06,1.981066908764071e-05,0
1954,6.9704230617110595e-06,1.6922253540134273e-05,0
1955,6.5753738951494315e-06,2.162185978355663e-05,0
1956,6.620087694460961e-06,2.1689715851972414e-05,0
1957,6.5852560673983726e-06,3.883972818559669e-05,0
1958,6.881715212101166e-06,2.9414194276667412e-05,0
1959,6.796209043696081e-06,4.738225014987716e-05,0
1960,6.644664682410386e-06,3.4672183603860586e-05,0
1961,6.877339168071474e-06,3.264661026216682e-05,0
1962,7.4717054460545265e-06,4.185191590546967e-05,0
1963,7.063856229757952e-06,3.702448502264455e-05,0
1964,7.0130315824801635e-06,4.325568114421707e-05,0
1965,6.708766534827356e-06,4.752732983063397e-05,0
1966,6.649832723299903e-06,4.840711085033841e-05,0
1967,6.57032469982469e-06,7.978096848253952e-05,0
1968,6.802774769726329e-06,5.389048581712507e-05,0
1969,6.808316395229833e-06,6.003200311322814e-05,0
1970,6.664351950593112e-06,8.258742646203356e-05,0
1971,6.248171104763925e-06,5.3270174048947695e-05,0
1972,6.885660701100394e-06,8.75622413954717e-05,0
1973,7.276129365473373e-06,7.591834893002937e-05,0
1974,7.224301846380892e-06,8.51186325393423e-05,0
1975,6.975099495504738e-06,8.470503744910265e-05,0
1976,6.706750269426185e-06,8.988149759328801e-05,0
1977,7.067398381767603e-06,0.00013730534372265136,0
1978,6.933631269680551e-06,6.777221681015825e-05,0
1979,6.991387784023946e-06,0.0001223269039481547,0
1980,6.731907163320991e-06,0.00014511856529666174,0
1981,6.646760044488949e-06,8.154098533212632e-05,0
1982,7.073433803285024e-06,9.612907005802775e-05,0
1983,6.742329431576649e-06,0.0001077162339575022,0
1984,6.920219813767345e-06,9.06176692587941e-05,0
1985,6.688665414475412e-06,8.428070663418103e-05,0
1986,6.546126859373277e-06,9.54680664589263e-05,0
1987,6.790586354706809e-06,7.795895096074535e-05,0
1988,6.774068171523646e-06,0.00011032110733981431,0
1989,6.696148975389613e-06,8.244356828453645e-05,0
1990,6.7385965220652e-06,0.00018355466662299148,0
1991,6.394158889997517e-06,0.00011896769525801335,0
1992,7.163061889646965e-06,0.00010573797653401699,0
1993,6.687214359338068e-06,0.00011536156008086761,0
1994,6.821262093789661e-06,7.947477869775219e-05,0
1995,6.482845004506391e-06,0.00014617792378518717,0
1996,6.645961100874638e-06,0.00013163480123298482,0
1997,6.5375554547221696e-06,6.167796812709128e-05,0
1998,6.467413153922962e-06,9.335988064817722e-05,0
1999,6.363863048262043e-06,0.00011062115765933965,0
2000,6.392221520764275e-06,8.255004590068318e-05,0
2001,6.386433337083728e-06,6.855792837171955e-05,0
2002,6.397471505217952e-06,0.00013078638440603348,0
2003,6.357276856505761e-06,7.051124066338389e-05,0
2004,6.392714370581633e-06,0.00012537152784348422,0
2005,6.359307355920421e-06,0.00010658617768413737,0
2006,6.2833049902648834e-06,0.00011265610873599255,0
2007,6.285089605824239e-06,0.0001704635729702596,0
2008,6.249433763382286e-06,0.00011575820078672199,0
2009,6.316801728966794e-06,0.00015556665388221887,0
2010,6.321895463945319e-06,0.0001501851448848797,0
2011,6.284606814362977e-06,0.00010507539108061588,0
2012,6.256131635865976e-06,0.0001421176501760291,0
2013,6.3511010366501495e-06,8.830587085180135e-05,0
2014,6.280015786893656e-06,0.00011631836626776497,0
2015,6.212523818038907e-06,9.039645713422733e-05,0
2016,6.455282935479608e-06,0.00012592317990044608,0
2017,7.325258320062678e-06,0.00011029230085051167,0
2018,7.354437442189476e-06,7.5765230331963e-05,0
2019,7.438170049791721e-06,8.547527622402666e-05,0
2020,1.011574182224106e-05,6.09022623832001e-05,0
2021,6.833945662208046e-06,0.00010235090482071456,0
2022,6.356645934901843e-06,0.00015418249758418097,0
2023,6.373646695059855e-06,6.67831047015048e-05,0
2024,0.0,0.0,0
2025,0.0,0.0,0
2026,0.0,0.0,0
2027,0.0,0.0,0
2028,0.0,0.0,0
