ts,Dtree,nDtree,HK
1219990852,9.77468546086685e-07,1.0618622340725136e-06,7.432142866939173e-06
1222413827,1.0224470676542422e-06,1.1248640313277328e-06,9.413299061410308e-06
1224836802,1.0270746222502554e-06,1.1375525017868225e-06,1.1064041875851917e-05
1227259777,1.0569158038825152e-06,1.187076182886796e-06,1.1173419153725466e-05
1229682752,1.074067819900633e-06,1.199371656667611e-06,1.1030217673620025e-05
1232105727,1.0981273429519996e-06,1.223136258359909e-06,1.14991852307229e-05
1234528702,1.0732185431929115e-06,1.1982646662121612e-06,1.1370027721528638e-05
1236951677,1.1020446572045075e-06,1.2374975435932512e-06,1.252330659458488e-05
1239374652,1.0944226288903589e-06,1.2295290174362842e-06,1.2163615569806693e-05
1241797627,1.0976884227135382e-06,1.2242729615762748e-06,1.2090435916817675e-05
1244220602,1.1170050321666138e-06,1.249130135108947e-06,1.293917709348959e-05
1246643577,1.1411466503673599e-06,1.2706772846145666e-06,1.3461937936605418e-05
1249066552,1.1272633967332406e-06,1.2600621982143833e-06,1.3383732402551103e-05
1251489527,1.1517080471563072e-06,1.2886256704820458e-06,1.3983691551848179e-05
1253912502,1.4748322533961216e-06,1.2969253850858812e-06,1.4560482686017952e-05
1256335477,1.1682363471064048e-06,1.3068276157727397e-06,1.4677815972982194e-05
1258758452,1.1739155207045591e-06,1.312114862214998e-06,1.4611108916253476e-05
1261181427,1.1223802915174965e-06,1.2569695472209462e-06,1.4082007761400889e-05
1263604402,1.118103920980407e-06,1.2524972669033508e-06,1.3745246148924305e-05
1266027377,1.1398777627544172e-06,1.2689892920536618e-06,1.5107029659882475e-05
1268450352,1.2227906368636243e-06,1.3718367219336106e-06,1.6310354405747335e-05
1270873327,1.208826342189728e-06,1.3599930705232524e-06,1.6686733755393446e-05
1273296302,1.1927547553568572e-06,1.3361018433589529e-06,1.6086208834312024e-05
1275719277,1.196247347199915e-06,1.3413939386623173e-06,1.6350514505863482e-05
1278142252,1.1891887299909407e-06,1.3335455800241247e-06,1.6127502231008328e-05
1280565227,1.2135939450338964e-06,1.3593135843965514e-06,1.696958253706212e-05
1282988202,1.2070939591973606e-06,1.3462856097837174e-06,1.7338250512211878e-05
1285411177,1.2067950116218046e-06,1.3425619877828017e-06,1.6714997048925348e-05
1287834152,1.1843991231596671e-06,1.3234080636160134e-06,1.5554397988289515e-05
1290257127,1.196371685510998e-06,1.3329604630293478e-06,1.6421573119540454e-05
1292680102,1.1257699981444326e-06,1.235171235208811e-06,1.5584904728267108e-05
1295103077,1.1240382053118432e-06,1.2489518728824958e-06,1.559457603604792e-05
1297526052,1.1270927612603094e-06,1.2354060963956535e-06,1.555271863691895e-05
1299949027,1.1723780488061678e-06,1.286030714214896e-06,1.7242242863394118e-05
1302372002,1.164493868471475e-06,1.2845453587503405e-06,1.7058871740472917e-05
1304794977,1.169334460773504e-06,1.2885828329134768e-06,1.7231982336127015e-05
1307217952,1.1511968090496472e-06,1.2640113942779961e-06,1.6485292405182362e-05
1309640927,1.1819369473528633e-06,1.2984442563810602e-06,1.7680098232025917e-05
1312063902,1.1611342128759966e-06,1.2679548040017694e-06,1.6574572088242336e-05
1314486877,1.1639972743561594e-06,1.2682447462981809e-06,1.6640244738190105e-05
1316909852,1.165236184699244e-06,1.2730597880071504e-06,1.6903554947567728e-05
1319332827,1.1648186521990959e-06,1.2774610723848055e-06,1.67657968131761e-05
1321755802,1.1588948003623431e-06,1.268148975113156e-06,1.6340975460799798e-05
1324178777,1.1607780860321494e-06,1.272251406421035e-06,1.657650402855842e-05
1326601752,1.1901972289896135e-06,1.3021574032355418e-06,1.7619922540288016e-05
1329024727,1.1919252121051693e-06,1.2991992723151476e-06,1.789615545346574e-05
1331447702,1.224186541076607e-06,1.3326078831701224e-06,1.870866123878061e-05
1333870677,1.2212867528292214e-06,1.3315323636999597e-06,1.8608476985743867e-05
1336293652,1.2147173848755809e-06,1.3158163943856017e-06,1.7880877237753967e-05
1338716627,1.2346775111450055e-06,1.349405877268623e-06,1.8996116165286966e-05
1341139602,1.1957887454242462e-06,1.3074060195610245e-06,1.751314218972868e-05
1343562577,1.2138929763178623e-06,1.3216166157675575e-06,1.8222606238419365e-05
1345985552,1.2377845029845216e-06,1.350240445377698e-06,1.9013890608039562e-05
1348408527,1.2586152695531014e-06,1.3693168379055048e-06,1.9725683767196504e-05
1350831502,1.2487427143704218e-06,1.355155997945479e-06,1.925350587795676e-05
1353254477,1.2407646666427711e-06,1.3431990801442683e-06,1.8514581875760438e-05
1355677452,1.2300270239825215e-06,1.3531231152532858e-06,1.8339868214847982e-05
1358100427,1.2383928864729723e-06,1.350995821249961e-06,1.870960193406268e-05
1360523402,1.2757885844749803e-06,1.383195906901093e-06,2.049559426930902e-05
1362946377,1.2533905511395187e-06,1.3717397081381104e-06,1.8909076399900276e-05
1365369352,1.2784675835260989e-06,1.3809141280884182e-06,2.045273735321053e-05
1367792327,1.2584849009309934e-06,1.3617295330045478e-06,1.9227349345641883e-05
1370215302,1.2795578482778255e-06,1.3907480691125735e-06,2.00908275992973e-05
1372638277,1.2577273845775654e-06,1.3693199981390069e-06,1.9093066484887984e-05
1375061252,1.2811570203272961e-06,1.3932706715759302e-06,2.0184790377779455e-05
1377484227,1.2568902861185904e-06,1.370110057873615e-06,1.9323788082176443e-05
1379907202,1.2596443487313695e-06,1.374435214047007e-06,1.92202496775234e-05
1382330177,1.2937190886988744e-06,1.4062318044693633e-06,2.0576775857816453e-05
1384753152,1.2809406429185104e-06,1.3895694225845366e-06,1.965779672358809e-05
1387176127,1.3151332791664759e-06,1.422678973811672e-06,2.0974592933280524e-05
