ts,Dtree,nDtree,HK
1219990852,3.5321284303328908e-06,5.464314802946114e-06,9.668237322637746e-06
1222413827,4.0173874442110514e-06,8.314819192357556e-06,1.2632499576349329e-05
1224836802,3.822795328947065e-06,1.0047145430054401e-05,1.3263762707545712e-05
1227259777,4.485131495230001e-06,8.952767054587633e-06,1.3806409233665211e-05
1229682752,4.1016142137983205e-06,1.0224473415793859e-05,1.2943784639555369e-05
1232105727,4.438424187767411e-06,8.610932018582956e-06,1.3247354047383913e-05
1234528702,4.0946308376460105e-06,9.921614994589427e-06,1.3272452718377458e-05
1236951677,3.744735292231646e-06,1.0537254508351613e-05,1.4234814228225358e-05
1239374652,3.6996019985885998e-06,9.053826598186957e-06,1.3982657559504291e-05
1241797627,3.7508287467371262e-06,1.0278389615127037e-05,1.3761147272014136e-05
1244220602,3.9391022548463875e-06,1.1387074741082914e-05,1.4527767030106858e-05
1246643577,4.235950998638536e-06,1.0564067891719247e-05,1.5182796139170424e-05
1249066552,4.015498353743292e-06,1.0285946114380936e-05,1.53669590666307e-05
1251489527,4.1457923759662835e-06,1.094254733371209e-05,1.5357364140176863e-05
1253912502,4.0496307492667194e-06,1.2380359114712341e-05,1.5212284479825247e-05
1256335477,4.138058219786069e-06,1.2784974393622036e-05,1.608441636231684e-05
1258758452,4.275732398979444e-06,1.2067643552075747e-05,1.6239299909204413e-05
1261181427,4.058369220747648e-06,1.1804351826889602e-05,1.5260848449962553e-05
1263604402,3.945642156050452e-06,1.0078358506923606e-05,1.5071678053448772e-05
1266027377,4.318175714794825e-06,1.1585913736049213e-05,1.615744823307433e-05
1268450352,4.435177169829519e-06,1.1423667803908144e-05,1.75243092265559e-05
1270873327,4.375015749501386e-06,1.2817939508663905e-05,1.7566422600036515e-05
1273296302,4.377566149847033e-06,1.3193224432378991e-05,1.7230682154508847e-05
1275719277,4.415450695145329e-06,1.2714846418474135e-05,1.749344379786852e-05
1278142252,4.442608915200857e-06,1.2587536355309645e-05,1.725969621653499e-05
1280565227,4.393942053004485e-06,1.36980325489523e-05,1.794113759439691e-05
1282988202,4.3665199746727935e-06,1.5071468466511097e-05,1.8272213507540553e-05
1285411177,4.440913995995535e-06,1.563741662276389e-05,1.778996906558621e-05
1287834152,4.2486413446761046e-06,1.4273647231248758e-05,1.6572032153534684e-05
1290257127,4.3168934043541745e-06,1.4626795277695691e-05,1.719529915388592e-05
1292680102,4.02445992216919e-06,1.4637751387200038e-05,1.6392055142087705e-05
1295103077,4.206816706066993e-06,1.2182888739046311e-05,1.6391609178014015e-05
1297526052,4.083011696054903e-06,1.5670444889608444e-05,1.6481356781141154e-05
1299949027,4.3491062886244525e-06,1.6811756668712342e-05,1.7896673634524253e-05
1302372002,4.266173905996187e-06,1.479569931767248e-05,1.761645163982286e-05
1304794977,4.370601891779773e-06,1.5065920063865318e-05,1.773663694270516e-05
1307217952,4.279036847347634e-06,1.660279676232587e-05,1.7094502157413652e-05
1309640927,4.504465486619861e-06,1.6899412830909146e-05,1.8162912650142546e-05
1312063902,4.3245874021741626e-06,1.8483291156638894e-05,1.718847101149552e-05
1314486877,4.2776893331411715e-06,1.780189849708538e-05,1.731173536813462e-05
1316909852,4.366366628267219e-06,1.764413733456412e-05,1.7687794452217227e-05
1319332827,4.3466536839864334e-06,1.7331393618131982e-05,1.7506161545926326e-05
1321755802,4.266524271519047e-06,1.7170820971438926e-05,1.7201669162039947e-05
1324178777,4.4310163021564415e-06,1.8388367165296763e-05,1.7446483452474643e-05
1326601752,4.584762207337208e-06,1.8715039175118186e-05,1.8097738166070023e-05
1329024727,4.580244495250201e-06,1.9588554829044534e-05,1.8511143972027916e-05
1331447702,4.797964368002012e-06,2.1417621879221623e-05,1.9328140228627645e-05
1333870677,4.691427228371929e-06,2.151844584089922e-05,1.9120460839954515e-05
1336293652,4.675923240774364e-06,2.2090001247996152e-05,1.8405330120113795e-05
1338716627,4.804903473900157e-06,2.114868171589037e-05,1.942593102407324e-05
1341139602,4.657886199139445e-06,2.026162444901713e-05,1.804749124752671e-05
1343562577,4.752867501211932e-06,2.124758789720633e-05,1.8599214153104337e-05
1345985552,4.829230454767132e-06,2.1464776529322428e-05,1.9330550848563415e-05
1348408527,5.015294540693439e-06,2.278575593594237e-05,2.0068627206466487e-05
1350831502,4.948632660105779e-06,2.198116523901781e-05,1.967042773949264e-05
1353254477,4.876120900424662e-06,2.4194203828412725e-05,1.9036144319157453e-05
1355677452,4.79793053757394e-06,2.3016359415389396e-05,1.8796820933262433e-05
1358100427,4.949038458853012e-06,2.284646396933918e-05,1.8912408893717592e-05
1360523402,5.1495947069114454e-06,2.439309061495843e-05,2.0717323588980123e-05
1362946377,4.902230670551204e-06,2.631210453947229e-05,1.9321486749517733e-05
1365369352,5.130125439567211e-06,2.6943412070145807e-05,2.069075297108035e-05
1367792327,5.0676016493993895e-06,2.4962054103062036e-05,1.9559040680939446e-05
1370215302,5.199475566555455e-06,2.4916135886752693e-05,2.0423776753006063e-05
