ts,Dtree,nDtree,HK
1266238080,0.0,0.0,0.0
1266284160,0.0,0.0,0.0
1266330240,0.0,0.0,0.0
1266376320,0.0,0.0,0.0
1266422400,0.0,0.0,0.0
1266468480,0.0,0.0,0.0
1266514560,0.0,0.0,0.0
1266560640,0.0,0.0,0.0
1266606720,0.0,0.0,0.0
1266652800,0.0,0.0,0.0
1266698880,0.0,0.0,0.0
1266744960,0.0,0.0,0.0
1266791040,0.0,0.0,0.0
1266837120,0.0,0.0,0.0
1266883200,0.0,0.0,0.0
1266929280,0.0,0.0,0.0
1266975360,0.0,0.0,0.0
1267021440,0.0,0.0,0.0
1267067520,0.0,0.0,0.0
1267113600,0.0,0.0,0.0
1267159680,0.0,0.0,0.0
1267205760,0.0,0.0,0.0
1267251840,0.0,0.0,0.0
1267297920,0.0,0.0,0.0
1267344000,0.0,0.0,0.0
1267390080,0.0,0.0,0.0
1267436160,0.0,0.0,0.0
1267482240,0.0,0.0,0.0
1267528320,1.033126421322162e-06,1.0702309020978988e-06,1.5586690885822113e-05
1267574400,9.31705105238952e-07,1.016935926002631e-06,1.2553027987944224e-05
1267620480,8.865548394904311e-07,9.671854157812835e-07,1.112122638178628e-05
1267666560,9.57213605516732e-07,1.064215339960829e-06,1.0689461031056988e-05
1267712640,9.518078427023613e-07,1.0842131512220362e-06,1.0276776214422536e-05
1267758720,9.792878709278343e-07,1.116870309006387e-06,1.1268619390889621e-05
1267804800,9.508301070036227e-07,1.0602986599669253e-06,9.97293167530743e-06
1267850880,1.0139450015690238e-06,1.1476579705478525e-06,1.1591174509617987e-05
1267896960,1.002230991677521e-06,1.1160581809172928e-06,1.1855399395147369e-05
1267943040,9.719560445273125e-07,1.1042143927147294e-06,1.174173192923944e-05
1267989120,1.0035455144585529e-06,1.1439281426617923e-06,1.2487172162269911e-05
1268035200,9.92098631931352e-07,1.138831959658646e-06,1.2336168616320666e-05
1268081280,1.0539377434926875e-06,1.1630471515612472e-06,1.3067439518093745e-05
1268127360,1.0075404071824537e-06,1.172151497774693e-06,1.1036937036983988e-05
1268173440,9.898840985119359e-07,1.1256137796259897e-06,1.0780136913514316e-05
1268219520,9.54989598763309e-07,1.0838286586999168e-06,1.1366406571344116e-05
1268265600,1.1391238054178275e-06,1.293225913584703e-06,1.310895835827757e-05
1268311680,1.0082420743508187e-06,1.1639419504709149e-06,1.271553040902793e-05
1268357760,1.0422550682912468e-06,1.1594796195549315e-06,1.0856408995843165e-05
1268403840,1.0519137842804559e-06,1.2247641630417562e-06,1.4920311355124149e-05
1268449920,9.790781658881788e-07,1.1514778604549385e-06,1.0747095215795145e-05
1268496000,1.0605102662151875e-06,1.2408545869086528e-06,1.5452833796523172e-05
1268542080,9.870669071218395e-07,1.193288431698979e-06,1.0881962041559791e-05
1268588160,1.0143964806447472e-06,1.2236183981955855e-06,1.3765030027597333e-05
1268634240,1.0292277316184642e-06,1.2784396201486446e-06,1.1029252537317342e-05
1268680320,1.0884765031133072e-06,1.3148499240511855e-06,1.770079767061534e-05
1268726400,9.8710550028249e-07,1.1666084171834783e-06,1.0100658011775055e-05
1268772480,1.0233984825162727e-06,1.2353860317913171e-06,1.6841785654922474e-05
1268818560,1.0381499833890012e-06,1.1592735310281563e-06,1.1046830927650995e-05
1268864640,1.0310751462031418e-06,1.1785700131530616e-06,9.983112175234622e-06
1268910720,9.19193475958586e-07,1.044082845390958e-06,1.0038659673686095e-05
1268956800,1.0552713616973365e-06,1.3008981039639609e-06,1.5859727964202084e-05
1269002880,1.031481312031742e-06,1.1759122229071978e-06,9.88225488146116e-06
1269048960,1.08684309082895e-06,1.3282593404744053e-06,1.8820442750846974e-05
1269095040,1.071930995149925e-06,1.209879674555444e-06,1.1401468751816862e-05
1269141120,1.0702057191157244e-06,1.3469507694561613e-06,1.8074649815991096e-05
1269187200,1.0885655252568386e-06,1.3078345982677794e-06,1.419021232370936e-05
1269233280,1.1451530925940998e-06,1.4403558558582702e-06,1.5979373729649998e-05
1269279360,1.2206047554039208e-06,1.5443380733534077e-06,1.6684390058090317e-05
1269325440,1.0121144916775924e-06,1.3952851574385785e-06,1.975193689993085e-05
1269371520,1.0194066460339445e-06,1.3588816120497416e-06,1.550870291094529e-05
1269417600,1.1227865060857998e-06,1.460031135601388e-06,2.025246054810036e-05
1269463680,1.2580690852310537e-06,1.5266229465610614e-06,1.996183058007783e-05
1269509760,1.0489787857262459e-06,1.3849378333329686e-06,1.623810844750849e-05
1269555840,0.0,0.0,0.0
1269601920,0.0,0.0,0.0
1269648000,0.0,0.0,0.0
1269694080,0.0,0.0,0.0
1269740160,0.0,0.0,0.0
1269786240,0.0,0.0,0.0
1269832320,0.0,0.0,0.0
1269878400,0.0,0.0,0.0
1269924480,0.0,0.0,0.0
1269970560,0.0,0.0,0.0
1270016640,0.0,0.0,0.0
1270062720,0.0,0.0,0.0
1270108800,0.0,0.0,0.0
1270154880,0.0,0.0,0.0
1270200960,0.0,0.0,0.0
1270247040,0.0,0.0,0.0
1270293120,0.0,0.0,0.0
1270339200,0.0,0.0,0.0
1270385280,0.0,0.0,0.0
1270431360,0.0,0.0,0.0
1270477440,0.0,0.0,0.0
1270523520,0.0,0.0,0.0
1270569600,0.0,0.0,0.0
1270615680,0.0,0.0,0.0
1270661760,0.0,0.0,0.0
1270707840,0.0,0.0,0.0
1270753920,0.0,0.0,0.0
1270800000,0.0,0.0,0.0
