ts,Dtree,nDtree,HK
1266238080,3.1039095949685626e-06,3.942428203837515e-06,1.5880331286927684e-05
1266284160,2.553067248410271e-06,3.8115332361206972e-06,1.1838783206552895e-05
1266330240,2.474471570013384e-06,3.931120486136237e-06,1.1725258283231557e-05
1266376320,2.429606956931014e-06,4.024771212224005e-06,1.1480597749706403e-05
1266422400,2.5192480098928464e-06,3.935187192707328e-06,1.0897357823050797e-05
1266468480,2.6300472346345766e-06,4.203762133162487e-06,1.2947169704197247e-05
1266514560,2.672068585740705e-06,4.18750834820047e-06,1.3314865618600768e-05
1266560640,2.6793477552978613e-06,4.101299891112362e-06,1.271963488679836e-05
1266606720,2.632865143110518e-06,4.097030713366209e-06,1.2306550735054182e-05
1266652800,2.462365005463495e-06,4.05670825800875e-06,1.1420864709541268e-05
1266698880,2.661820824860911e-06,4.2874062706924044e-06,1.3413153432089696e-05
1266744960,2.664520047048538e-06,4.260243070605911e-06,1.375558495760666e-05
1266791040,2.5762698347413498e-06,4.4028164373802515e-06,1.401058224728339e-05
1266837120,2.6323796020118313e-06,4.393365761287906e-06,1.3795873950021451e-05
1266883200,2.481853764804632e-06,4.058654049508734e-06,1.1741344953477754e-05
1266929280,2.4436976870111327e-06,3.905408421258522e-06,1.1412852802762319e-05
1266975360,2.8090855195675362e-06,4.108863659549906e-06,1.362389471711735e-05
1267021440,2.4526242553896187e-06,3.900778876444429e-06,1.2267439966118858e-05
1267067520,2.576922601027473e-06,4.089843290924492e-06,1.3484934026211778e-05
1267113600,2.7659286594345346e-06,4.513638726472569e-06,1.4125037406682182e-05
1267159680,2.7414788768931835e-06,4.111422660680304e-06,1.35799271676465e-05
1267205760,2.6490719623930833e-06,4.152902762389412e-06,1.2981789836559971e-05
1267251840,2.886916152809721e-06,4.27215912241769e-06,1.477346603804626e-05
1267297920,2.845220922878391e-06,4.601165800990572e-06,1.536108210117812e-05
1267344000,2.612986721500776e-06,4.191376354741742e-06,1.3020205429911616e-05
1267390080,2.822367099160773e-06,4.524005821669861e-06,1.438225311138025e-05
1267436160,2.7328567816708403e-06,4.454801869429786e-06,1.519378116707244e-05
1267482240,2.6169311259225896e-06,4.1709610701813624e-06,1.3155635608226196e-05
1267528320,3.3615815001975547e-06,5.785315267038533e-06,1.406381020951209e-05
1267574400,3.4334619561424043e-06,5.318419374073689e-06,1.3429498620704333e-05
1267620480,3.7975911202778825e-06,4.808099889417529e-06,1.0757058908110536e-05
1267666560,4.092407624696225e-06,5.7157940428487395e-06,1.30630660568819e-05
1267712640,3.9454838362385516e-06,5.29798907203776e-06,1.2512775605502385e-05
1267758720,4.136042511284655e-06,5.4952844037959806e-06,1.3663397849768832e-05
1267804800,4.077547618050869e-06,5.7932902120710675e-06,1.2050679449588912e-05
1267850880,4.850854313028966e-06,5.9211792135358526e-06,1.2778990689052053e-05
1267896960,4.085397558131824e-06,5.0292804212402705e-06,1.3353417937677183e-05
1267943040,4.767897220061578e-06,5.694850330117006e-06,1.4341512821380784e-05
1267989120,4.703126608453103e-06,5.557312820464471e-06,1.404314166146814e-05
1268035200,3.9155045681407435e-06,4.2918813329338004e-06,1.1845538178060253e-05
1268081280,3.790204023381499e-06,4.645625116290048e-06,1.3547847028859437e-05
1268127360,4.206011260957278e-06,5.076974717620758e-06,1.2521108763214944e-05
1268173440,4.240123469679939e-06,5.069171764704049e-06,1.3555365274747329e-05
1268219520,3.3040905502168007e-06,6.023170271980623e-06,1.4655995394947424e-05
1268265600,0.0,0.0,0.0
1268311680,0.0,0.0,0.0
1268357760,0.0,0.0,0.0
1268403840,0.0,0.0,0.0
1268449920,0.0,0.0,0.0
1268496000,0.0,0.0,0.0
1268542080,0.0,0.0,0.0
1268588160,0.0,0.0,0.0
1268634240,0.0,0.0,0.0
1268680320,0.0,0.0,0.0
1268726400,0.0,0.0,0.0
1268772480,0.0,0.0,0.0
1268818560,0.0,0.0,0.0
1268864640,0.0,0.0,0.0
1268910720,0.0,0.0,0.0
1268956800,0.0,0.0,0.0
1269002880,0.0,0.0,0.0
1269048960,0.0,0.0,0.0
1269095040,0.0,0.0,0.0
1269141120,0.0,0.0,0.0
1269187200,0.0,0.0,0.0
1269233280,0.0,0.0,0.0
1269279360,0.0,0.0,0.0
1269325440,0.0,0.0,0.0
1269371520,0.0,0.0,0.0
1269417600,0.0,0.0,0.0
1269463680,0.0,0.0,0.0
1269509760,0.0,0.0,0.0
1269555840,0.0,0.0,0.0
1269601920,0.0,0.0,0.0
1269648000,0.0,0.0,0.0
1269694080,0.0,0.0,0.0
1269740160,0.0,0.0,0.0
1269786240,0.0,0.0,0.0
1269832320,0.0,0.0,0.0
1269878400,0.0,0.0,0.0
1269924480,0.0,0.0,0.0
1269970560,0.0,0.0,0.0
1270016640,0.0,0.0,0.0
1270062720,0.0,0.0,0.0
1270108800,0.0,0.0,0.0
1270154880,0.0,0.0,0.0
1270200960,0.0,0.0,0.0
1270247040,0.0,0.0,0.0
1270293120,0.0,0.0,0.0
1270339200,0.0,0.0,0.0
1270385280,0.0,0.0,0.0
1270431360,0.0,0.0,0.0
1270477440,0.0,0.0,0.0
1270523520,0.0,0.0,0.0
1270569600,0.0,0.0,0.0
1270615680,0.0,0.0,0.0
1270661760,0.0,0.0,0.0
1270707840,0.0,0.0,0.0
1270753920,0.0,0.0,0.0
1270800000,0.0,0.0,0.0
