ts,Dtree,nDtree,HK
1266238080,4.216422569694923e-06,5.263480007608284e-06,0.00011569873894308663
1266284160,4.352584865399387e-06,6.1642784739080335e-06,0.00012892741986717147
1266330240,4.6814504939954745e-06,6.547813563536844e-06,0.00014610674061964776
1266376320,4.803320744936969e-06,5.683036574702679e-06,0.0001352302592015523
1266422400,4.744070373007022e-06,6.36567156969832e-06,0.0001529602654617642
1266468480,4.919775680696985e-06,7.023676723589741e-06,0.00014783718812191946
1266514560,4.851774895648704e-06,6.6856518461389645e-06,0.00017530823325262918
1266560640,4.685688230302481e-06,7.053108899741323e-06,0.0001754120259508342
1266606720,4.78689748014861e-06,7.545081358663042e-06,0.0001528368164308359
1266652800,4.293951568570557e-06,5.640828929102101e-06,0.0001502259063498688
1266698880,5.8483855804176995e-06,9.919500209729112e-06,0.0001575754812679802
1266744960,5.072345125695491e-06,7.925539258899206e-06,0.00016017039868672185
1266791040,4.925287122636152e-06,6.582105840830293e-06,0.00014507454872920511
1266837120,4.80263945013765e-06,6.388493944338392e-06,0.0001597440135443318
1266883200,4.881332660591868e-06,7.457369386662561e-06,0.00014984303050360649
1266929280,4.560754779817139e-06,5.847555027297196e-06,0.00013514282532286776
1266975360,4.834563406132068e-06,6.880605888485395e-06,0.00013460237208453186
1267021440,4.545698754782843e-06,6.113367932349598e-06,0.00013513425149222597
1267067520,4.401570382205476e-06,6.149876430502064e-06,0.0001431875835341207
1267113600,4.819713704964962e-06,7.124047706394425e-06,0.0009325433355186045
1267159680,5.084501031247375e-06,6.959873213791309e-06,0.00016672134243382434
1267205760,4.778691749445009e-06,6.476957756645498e-06,0.00014061816386428205
1267251840,4.8902659253910035e-06,6.390935366544254e-06,0.00015751254938562288
1267297920,5.842176773601608e-06,9.407273647401537e-06,0.00017512591549502697
1267344000,5.120092540890128e-06,7.2469193157423845e-06,0.0001473871397231143
1267390080,5.512484537937673e-06,7.7918908407933e-06,0.00015438356025124534
1267436160,5.496647513222177e-06,7.017181768263531e-06,0.0001700788034103668
1267482240,3.886648818301128e-06,5.5243342376240915e-06,7.921903648612108e-05
1267528320,5.313387059509318e-06,9.558611539243721e-06,0.00012693384978692475
1267574400,5.262145204016311e-06,8.606567497903234e-06,0.00013263236142035294
1267620480,5.206595397411e-06,7.991515766650031e-06,0.00010759432847947691
1267666560,5.0652963012831865e-06,7.975581827412527e-06,0.00010533517469118344
1267712640,5.0311642212043915e-06,8.114116008543979e-06,0.00010491838389291942
1267758720,5.357036580124972e-06,8.352796384460072e-06,0.00010889729285355258
1267804800,5.164291569232778e-06,8.455671927436218e-06,0.00010653165635533753
1267850880,5.18326249712807e-06,8.475530217569895e-06,0.00010453351591824733
1267896960,5.4248307408976155e-06,8.179241401389244e-06,0.0001083407163411724
1267943040,5.024501914155326e-06,7.609536595312614e-06,0.00012202368820368372
1267989120,5.730939809774682e-06,7.993483006852123e-06,0.00012178610121435381
1268035200,5.647150864905741e-06,8.876433609403123e-06,0.00011648972575399663
1268081280,4.947279201266345e-06,7.89978358914297e-06,9.586627831663316e-05
1268127360,5.227930650063004e-06,8.209961047767103e-06,0.00011216501284356442
1268173440,5.150579558415363e-06,7.565076906859725e-06,0.00010117374960472516
1268219520,5.2198754612359686e-06,8.432937540393849e-06,9.985051415542298e-05
1268265600,0.0,0.0,0.0
1268311680,0.0,0.0,0.0
1268357760,0.0,0.0,0.0
1268403840,0.0,0.0,0.0
1268449920,0.0,0.0,0.0
1268496000,0.0,0.0,0.0
1268542080,0.0,0.0,0.0
1268588160,0.0,0.0,0.0
1268634240,0.0,0.0,0.0
1268680320,0.0,0.0,0.0
1268726400,0.0,0.0,0.0
1268772480,0.0,0.0,0.0
1268818560,0.0,0.0,0.0
1268864640,0.0,0.0,0.0
1268910720,0.0,0.0,0.0
1268956800,0.0,0.0,0.0
1269002880,0.0,0.0,0.0
1269048960,0.0,0.0,0.0
1269095040,0.0,0.0,0.0
1269141120,0.0,0.0,0.0
1269187200,0.0,0.0,0.0
1269233280,0.0,0.0,0.0
1269279360,0.0,0.0,0.0
1269325440,0.0,0.0,0.0
1269371520,0.0,0.0,0.0
1269417600,0.0,0.0,0.0
1269463680,0.0,0.0,0.0
1269509760,0.0,0.0,0.0
1269555840,0.0,0.0,0.0
1269601920,0.0,0.0,0.0
1269648000,0.0,0.0,0.0
1269694080,0.0,0.0,0.0
1269740160,0.0,0.0,0.0
1269786240,0.0,0.0,0.0
1269832320,0.0,0.0,0.0
1269878400,0.0,0.0,0.0
1269924480,0.0,0.0,0.0
1269970560,0.0,0.0,0.0
1270016640,0.0,0.0,0.0
1270062720,0.0,0.0,0.0
1270108800,0.0,0.0,0.0
1270154880,0.0,0.0,0.0
1270200960,0.0,0.0,0.0
1270247040,0.0,0.0,0.0
1270293120,0.0,0.0,0.0
1270339200,0.0,0.0,0.0
1270385280,0.0,0.0,0.0
1270431360,0.0,0.0,0.0
1270477440,0.0,0.0,0.0
1270523520,0.0,0.0,0.0
1270569600,0.0,0.0,0.0
1270615680,0.0,0.0,0.0
1270661760,0.0,0.0,0.0
1270707840,0.0,0.0,0.0
1270753920,0.0,0.0,0.0
1270800000,0.0,0.0,0.0
