ts,Dtree,nDtree,HK,ET,opt
1081710722,0.0,0.0,0.0,0.0,0.0
1082927524,8.928249321149316e-07,0.0,4.66029156046025e-06,0.0,0.035659870812011184
1084144326,7.990707736662122e-07,1.147377938146888e-06,0.0,0.0,0.025922038343592115
1085361128,9.14246803669522e-07,1.1511118244451704e-06,4.708448648983239e-06,1.6322953119505421e-06,0.03037603637468289
1086577930,0.0,1.721066907220332e-06,0.0,1.6577458940860813e-06,0.030627987372593906
1087794732,0.0,0.0,0.0,0.0,0.028620694705775124
1089011534,0.0,0.0,0.0,0.0,0.027882240068505943
1090228336,1.0672938916861857e-06,1.3578615244817453e-06,5.748094190055783e-06,0.0,0.056122845213939856
1091445138,1.0745901351853803e-06,1.3134503806535674e-06,5.673146735647908e-06,1.8959375613515088e-06,0.04783218842593622
1092661940,1.183705073810904e-06,1.4547222247438158e-06,5.4482279811205814e-06,1.751809003806696e-06,0.05976333942860546
1093878742,0.0,0.0,0.0,1.9222305717006305e-06,0.06761746020675634
1095095544,0.0,0.0,0.0,0.0,0.031425890109571
1096312346,1.2235242676984177e-06,1.5110032749845164e-06,8.440233994515679e-06,2.4259611055716596e-06,0.11804257109093488
1097529148,1.080496981731102e-06,1.431960110221733e-06,7.475033305355187e-06,2.538959472511695e-06,0.13338417680002032
1098745950,1.2182835839203895e-06,1.5471400633659025e-06,8.428741547512507e-06,2.8098989855591146e-06,0.20107235553112168
1099962752,1.1935042667696977e-06,1.595885969511604e-06,8.301496117323883e-06,2.9729634977012164e-06,0.18521719928755512
1101179554,1.249860858712223e-06,1.6457443997348532e-06,9.277437770710727e-06,3.0237145747982524e-06,0.2599901077802216
1102396356,1.2174609649857355e-06,1.591971139533063e-06,8.61588689288252e-06,2.9273231409921187e-06,0.22294997447124731
1103613158,1.2537957457347014e-06,1.6631109635849708e-06,9.080394449235127e-06,2.876170627904507e-06,0.20411854752976194
1104829960,1.0803340405628685e-06,1.3600311662157057e-06,6.909901663863728e-06,2.19044256789001e-06,0.12783431834741768
1106046762,1.0699223406015434e-06,1.3601212941922609e-06,6.560157694243866e-06,2.073339709467921e-06,0.1299646182373698
1107263564,1.0894402788009447e-06,1.3347181048320535e-06,6.9481842384218584e-06,2.153993638228685e-06,0.12346521256619038
1108480366,1.0530224881422676e-06,1.3117217513285962e-06,6.137904859666702e-06,1.8004975602046224e-06,0.08358894801628115
