ts,Dtree,nDtree,HK,ET,opt
1081710722,4.592345874996581e-06,2.3127818238708565e-06,5.294252513327998e-06,3.2029182555906375e-06,0.01853390678224285
1082927524,2.648445261006191e-06,2.5522863253758124e-06,5.759524432660233e-06,3.3073551589092696e-06,0.034065206095999424
1084144326,3.7675086853825302e-06,2.6669963015920664e-06,6.305284033588763e-06,3.5099981007974275e-06,0.02804328729738076
1085361128,2.8267767601084577e-06,2.619020345583785e-06,7.034632195805411e-06,3.838765419272432e-06,0.031198079555450977
1086577930,2.8810391819750283e-06,2.5848793436469017e-06,6.879662659527892e-06,3.5669565433859246e-06,0.022892531983859262
1087794732,3.5849113277504833e-06,2.9583858016687304e-06,6.707717747209858e-06,4.033639069403631e-06,0.040602032606489494
1089011534,4.060393402679554e-06,3.349202264965132e-06,8.066262151467669e-06,3.888860873511766e-06,0.03103727785868457
1090228336,4.543921645780065e-06,3.6168637921793664e-06,8.095151722209877e-06,4.661807445912761e-06,0.050892436375611735
1091445138,3.984196802382428e-06,3.1940520057380125e-06,7.798345109390505e-06,4.006932023252387e-06,0.04783807701523103
1092661940,3.6178147688975954e-06,3.6930190479967255e-06,7.236979955190779e-06,4.527949527406882e-06,0.06393191529289555
1093878742,3.5227188316859688e-06,3.2894231099840957e-06,8.914597397725867e-06,5.321563887443126e-06,0.07467028038435836
1095095544,3.210387491853353e-06,3.033197447449599e-06,8.132067835736602e-06,4.985392343676942e-06,0.06908115245222392
1096312346,4.217234688670599e-06,4.689415217137056e-06,9.271229419228396e-06,6.0402586495477735e-06,0.10745192516260166
1097529148,4.664568806663926e-06,5.256624988415787e-06,1.0493170841327141e-05,6.193702834239772e-06,0.1368864028117531
1098745950,5.21500851443373e-06,5.5127109959978225e-06,1.0828596562096863e-05,7.245497142379245e-06,0.2008139087120978
1099962752,5.127516398445612e-06,5.805827142717339e-06,1.1166429538059619e-05,7.166992583961778e-06,0.18561253458216645
1101179554,4.887791271579456e-06,6.22757039122791e-06,1.2158466377890733e-05,7.674909865674685e-06,0.2509499981848659
1102396356,5.2344904055363974e-06,6.1053793405108685e-06,1.1511409061206175e-05,7.2555658810568925e-06,0.2026893429150056
1103613158,5.301708660849817e-06,5.558931070908949e-06,1.2011333052896569e-05,7.159320122736337e-06,0.21878159762706184
1104829960,4.3434276744593096e-06,4.582888276059701e-06,9.405093873333717e-06,5.186476440635446e-06,0.1156299834174326
1106046762,5.3223487115887845e-06,4.1430577075646925e-06,9.339086154271668e-06,5.840318397315552e-06,0.1319020019631533
1107263564,4.80433561375951e-06,4.371104794271314e-06,9.938729373787325e-06,5.6477948625027544e-06,0.13654408298091816
1108480366,4.06194500277519e-06,3.731954455329977e-06,8.494050898168108e-06,4.560214642937671e-06,0.08641194477529564
1109697168,4.619324621233598e-06,3.928071868845761e-06,8.98090004162406e-06,4.611873375082963e-06,0.0891744029567127
1110913970,4.765649025387709e-06,4.088550681120794e-06,9.306070233967583e-06,5.675918293039079e-06,0.13910993267566427
1112130772,5.014737697200724e-06,4.907166329474566e-06,9.996010059792059e-06,5.684792810881686e-06,0.2553842342963642
1113347574,4.809496984281929e-06,4.733158568712978e-06,1.0269817488670828e-05,5.892841401808843e-06,0.2668330127957709
1114564376,4.483831714878127e-06,4.7548711635716105e-06,1.0206589507461995e-05,5.856301461998742e-06,0.24074201176546248
1115781178,4.552445578611602e-06,5.094400144676392e-06,1.0702281655091858e-05,6.116481088721357e-06,0.30143616309341714
1116997980,5.15361109623135e-06,5.110725556030878e-06,8.82128590823026e-06,5.7243851517695275e-06,0.19786168372130009
1118214782,4.849287830878081e-06,6.2296244754043375e-06,1.2359119956917343e-05,7.90041084262633e-06,0.3503028815105329
1119431584,6.059355794310882e-06,8.1397978072311e-06,1.345075669635908e-05,9.187877622536339e-06,0.3858644873795801
1120648386,7.442289012090669e-06,7.800888397842443e-06,1.4396149593798258e-05,9.875549748476313e-06,0.5731417593129303
1121865188,6.3384250227540995e-06,7.559231903305289e-06,1.508981293823902e-05,9.73898387308414e-06,0.4768716844668618
1123081990,6.257495923583613e-06,7.18677206677051e-06,1.4654288774730986e-05,9.562031960409812e-06,0.46087355510105216
1124298792,5.981298439239507e-06,7.756865846365785e-06,1.5749777387274516e-05,1.0009749279988222e-05,0.5964679710857888
1125515594,6.39100101093642e-06,6.725711624355013e-06,1.3804472802576074e-05,8.171947263538385e-06,0.6235841082710857
1126732396,5.414208412569179e-06,7.995701344136959e-06,1.4778765274693187e-05,9.487437217348408e-06,0.5767352843694749
1127949198,6.132457048747734e-06,7.950576898204826e-06,1.5375128183163324e-05,9.58062772688165e-06,0.607949350693527
1129166000,6.6843032781062306e-06,8.23987174069002e-06,1.5682202507230945e-05,1.013417608948598e-05,0.7513167642624199
1130382802,5.841207032274412e-06,7.158405640113761e-06,1.5697896518753565e-05,9.453984104427718e-06,1.0500185937104538
1131599604,6.159876948512742e-06,7.946223061244742e-06,1.6258109852897608e-05,1.0257851663802956e-05,1.3728961068363468
1132816406,5.9494725810698725e-06,7.49578355865822e-06,1.5602839170475324e-05,9.683730468872397e-06,1.116187421271059
1134033208,6.618426660336024e-06,7.3236193566979035e-06,1.5467351887281127e-05,1.0127490729721203e-05,1.0856651609496213
1135250010,6.9682943337456596e-06,7.959821531612525e-06,1.5979552222934305e-05,1.0066181399555648e-05,1.2643832374320951
1136466812,6.746903000304585e-06,8.00287709764212e-06,1.576160429507813e-05,1.0070351278562677e-05,1.1007745259047985
1137683614,5.85096951162825e-06,8.290634898383349e-06,1.6328391877577534e-05,1.0283243013198392e-05,1.6265466074000559
1138900416,5.9742533640174755e-06,9.29657520487623e-06,1.6594071740630374e-05,9.919717507323688e-06,1.5248216848737934
1140117218,4.198180843471736e-06,5.735296866247396e-06,1.19703409824528e-05,5.948268574773849e-06,1.4712714577883206
1141334020,4.640382205751884e-06,5.180656362607825e-06,1.1663871420450878e-05,6.144184576340087e-06,1.4575016852914504
