ts,Dtree,nDtree,HK
1165925484,0.0,0.0,0.0
1166145768,0.0,0.0,0.0
1166366052,0.0,0.0,0.0
1166586336,0.0,0.0,0.0
1166806620,0.0,0.0,0.0
1167026904,1.0948631425264765e-06,1.2712644158867245e-06,2.94359933966821e-05
1167247188,1.153889965602662e-06,1.3603886732464133e-06,2.2168851188995503e-05
1167467472,1.1347890652954897e-06,1.3360666328305826e-06,2.0579129667696262e-05
1167687756,1.1200222622323282e-06,1.3093699838527915e-06,1.9078697126314397e-05
1167908040,1.1142934767242252e-06,1.3063224823866957e-06,1.9033192989746646e-05
1168128324,1.1153992778199414e-06,1.3040721501651624e-06,1.956823256899245e-05
1168348608,1.2235897984882413e-06,1.423300966095761e-06,2.3360194009710607e-05
1168568892,1.1897078720079032e-06,1.3369194976281884e-06,2.163548310516064e-05
1168789176,1.1834705499708088e-06,1.326172839844364e-06,2.0842329964269654e-05
1169009460,1.1791365197898846e-06,1.3200174625960421e-06,1.9982493256715213e-05
1169229744,1.1733826098221083e-06,1.3518715237749105e-06,1.908289025091245e-05
1169450028,1.1689304129193013e-06,1.3327013452049592e-06,1.8586998011207365e-05
1169670312,1.169866109351529e-06,1.3557380178375489e-06,1.8452412030619322e-05
1169890596,1.1681284143285072e-06,1.3569510609222146e-06,1.762704202620797e-05
1170110880,1.1721971105228712e-06,1.38755153702745e-06,1.6711973627074708e-05
1170331164,1.1712140549799416e-06,1.3962150958213489e-06,1.3970497512934735e-05
1170551448,0.0,0.0,0.0
1170771732,0.0,0.0,0.0
1170992016,0.0,0.0,0.0
1171212300,0.0,0.0,0.0
1171432584,0.0,0.0,0.0
1171652868,0.0,0.0,0.0
1171873152,0.0,0.0,0.0
1172093436,0.0,0.0,0.0
1172313720,1.1598484232623207e-06,1.3042320935848762e-06,2.499855719185115e-05
1172534004,1.1724293546158001e-06,1.3302785665521092e-06,2.0826937480107084e-05
1172754288,1.1850231379140149e-06,1.3555954365117097e-06,2.1637025524405716e-05
1172974572,1.1995492094095627e-06,1.3588265052672085e-06,2.1345447614314808e-05
1173194856,1.214516275411267e-06,1.3709094705157447e-06,2.2056895771888848e-05
1173415140,1.1988030863428229e-06,1.367719611590948e-06,2.0949391345394498e-05
1173635424,1.2219872573883796e-06,1.3948034063743272e-06,2.4123109687080686e-05
1173855708,1.2268017386883837e-06,1.3598973081339376e-06,2.3071137260727195e-05
1174075992,1.213586305990304e-06,1.3646824809073296e-06,2.4481915929900896e-05
1174296276,1.2261875965928838e-06,1.3757988297998275e-06,2.4364392692112422e-05
1174516560,1.2339607770768546e-06,1.3830528335894863e-06,2.603875701440056e-05
1174736844,1.235711530414345e-06,1.3695748975047733e-06,2.503171996153399e-05
1174957128,1.2294316096980892e-06,1.370298965922172e-06,2.3663438196169576e-05
1175177412,1.2147932698230886e-06,1.3517986695849271e-06,2.3053516573467932e-05
1175397696,1.2058629869171768e-06,1.356748698154658e-06,2.3466420920320228e-05
1175617980,1.1748292172760698e-06,1.3229563331368388e-06,2.15447345390026e-05
1175838264,1.1616706384773687e-06,1.3159863306051925e-06,2.1925611654672523e-05
1176058548,1.1690060115645712e-06,1.3255689720388993e-06,2.225911950174221e-05
1176278832,1.1794054300192097e-06,1.3318293518846907e-06,2.330929346581554e-05
1176499116,1.1837332396970134e-06,1.3304356099705933e-06,2.3540229875410358e-05
1176719400,1.1984952169777183e-06,1.3392652931110632e-06,2.3367069356520285e-05
1176939684,1.1860476198922215e-06,1.3441898806904395e-06,2.374456077578679e-05
1177159968,1.1796316076998958e-06,1.3323227795405083e-06,2.2841025521378234e-05
1177380252,1.1634419086962773e-06,1.3172567309730056e-06,2.1315828311525393e-05
1177600536,1.1282461822944342e-06,1.2923706060072036e-06,2.0447741290986842e-05
1177820820,1.1203434556467332e-06,1.2861634605698642e-06,1.986081935409902e-05
1178041104,1.1283139726707782e-06,1.2967427860422837e-06,2.0201932547443047e-05
1178261388,1.1374337169759215e-06,1.302274369279071e-06,2.2948427258694798e-05
1178481672,1.1401062425774923e-06,1.298578711001986e-06,2.304527973025199e-05
1178701956,1.1273909296250176e-06,1.3072420362060225e-06,2.286444486018731e-05
1178922240,1.1284739995831886e-06,1.3305333985088288e-06,2.3331175190110158e-05
1179142524,1.1361753251944277e-06,1.2989001255650088e-06,2.5408506534836114e-05
1179362808,1.1428618771673426e-06,1.2882257881846474e-06,2.486835368628523e-05
1179583092,1.3179287424579473e-06,1.278790396305152e-06,2.259298010667545e-05
1179803376,1.1402587234314146e-06,1.2959260946516239e-06,2.4591269538379435e-05
1180023660,1.1355303440162335e-06,1.2904419431469077e-06,2.6018928211181783e-05
1180243944,1.1351211774508646e-06,1.2821145713008655e-06,2.42347863076738e-05
1180464228,1.1311190774243552e-06,1.284578490700129e-06,2.4014356845234193e-05
1180684512,1.1380098476082594e-06,1.2966455712463915e-06,2.5960559185435683e-05
1180904796,1.1414455446902726e-06,1.2919280140197486e-06,2.4289382281789748e-05
1181125080,1.1260734824901382e-06,1.2710934960632534e-06,2.3762391800178832e-05
1181345364,1.1283107663671318e-06,1.2712776759454857e-06,2.3184220563655807e-05
1181565648,1.139598681536377e-06,1.2747329244360956e-06,2.3896210415684645e-05
1181785932,1.1325662209117103e-06,1.2720208346102428e-06,2.338325764255883e-05
1182006216,1.128205621580684e-06,1.2632182299573605e-06,2.382252780843645e-05
1182226500,1.1426679848499031e-06,1.2708364711557264e-06,2.3669004411263533e-05
1182446784,1.1519455513209729e-06,1.2705394695417014e-06,2.4341999513717994e-05
1182667068,1.1391108381901491e-06,1.2643213028426643e-06,2.4331331312351473e-05
1182887352,1.1165104814814246e-06,1.2569376067387877e-06,2.4360146619915882e-05
1183107636,1.1301770265832005e-06,1.2625216960586493e-06,2.5101250985321057e-05
