ts,Dtree,nDtree,HK
1165925484,2.666128277492745e-06,3.1386297518649116e-06,1.569760081979862e-05
1166145768,3.161092885618286e-06,3.688791644147877e-06,2.0517224547397613e-05
1166366052,3.184653640626971e-06,3.655330291699344e-06,2.0182031684723334e-05
1166586336,3.21200045483837e-06,3.6801311247567286e-06,1.993696953853206e-05
1166806620,3.2414558005869836e-06,3.735188707469769e-06,2.0300326740790374e-05
1167026904,3.1896387337635067e-06,3.7673925076685506e-06,2.095359421219901e-05
1167247188,4.470505532111345e-06,1.4212847082210286e-05,1.8369407926389926e-05
1167467472,3.997711269038134e-06,1.1714061389483327e-05,1.557876858239248e-05
1167687756,3.797759936141387e-06,1.3281317123422547e-05,1.4429487123131219e-05
1167908040,3.748889181878625e-06,1.2258126036001453e-05,1.4396858095892174e-05
1168128324,4.021679593245624e-06,1.3212913600346472e-05,1.4877122623488657e-05
1168348608,4.447471145944137e-06,1.4355952360180923e-05,1.6917214422040688e-05
1168568892,4.2719170815038755e-06,1.289427807767121e-05,1.6251730335746087e-05
1168789176,4.304062940459284e-06,1.4898781038554673e-05,1.542315762799914e-05
1169009460,4.261682764133156e-06,1.3471401436107695e-05,1.5827904990489556e-05
1169229744,0.0,0.0,0.0
1169450028,0.0,0.0,0.0
1169670312,0.0,0.0,0.0
1169890596,0.0,0.0,0.0
1170110880,0.0,0.0,0.0
1170331164,0.0,0.0,0.0
1170551448,0.0,0.0,0.0
1170771732,0.0,0.0,0.0
1170992016,3.38968429913921e-06,4.919895819155209e-06,1.5160381479023404e-05
1171212300,3.6328852304974895e-06,5.563287060110071e-06,1.9101851722183052e-05
1171432584,3.50617768629369e-06,5.5072895170785875e-06,1.8512359397146017e-05
1171652868,3.531363559954209e-06,5.527556458960671e-06,1.9068224576321926e-05
1171873152,3.6163873158719425e-06,5.6358409021145636e-06,1.9810677471152834e-05
1172093436,3.440600667827649e-06,5.452125897849822e-06,1.8510192054382896e-05
1172313720,4.568440005664708e-06,8.630457891602451e-06,1.7898131424645798e-05
1172534004,5.22141640541419e-06,1.2859451753468618e-05,1.5865058776329918e-05
1172754288,4.657537241238293e-06,1.1788402149423836e-05,1.5941191718729517e-05
1172974572,4.617397323313064e-06,1.4712256396312795e-05,1.6005037386288316e-05
1173194856,4.516243274684231e-06,1.663996611804769e-05,1.587367588852748e-05
1173415140,4.821515314059398e-06,1.2358028290276725e-05,1.582890571973675e-05
1173635424,4.937750967070306e-06,1.1532893543946163e-05,1.733891180056888e-05
1173855708,4.515218156795007e-06,1.6167508481209605e-05,1.7123480116339465e-05
1174075992,4.482539739323333e-06,1.5773831980530496e-05,1.7120430270442534e-05
1174296276,4.751345354203314e-06,1.602897383664178e-05,1.741928920210389e-05
1174516560,4.21639150912702e-06,1.5317648554915124e-05,1.816420231302444e-05
1174736844,3.9431981438096385e-06,1.540750619441269e-05,1.7546670688506656e-05
1174957128,3.902635842645416e-06,1.4025518084265805e-05,1.6184538677983634e-05
1175177412,3.941875169226089e-06,1.4551061225798e-05,1.6649503223278978e-05
1175397696,3.925612731098742e-06,1.1574729231549531e-05,1.634393690313471e-05
1175617980,3.799427179148693e-06,1.2265912665388402e-05,1.562272112265983e-05
1175838264,3.863987163924304e-06,9.371443863526697e-06,1.5643546493228528e-05
1176058548,3.949067232734138e-06,1.356327032956266e-05,1.5985747810010625e-05
1176278832,3.947078638506823e-06,1.1472892215102441e-05,1.6302868489792474e-05
1176499116,3.988536093774052e-06,1.0574546833791098e-05,1.6294158059297652e-05
1176719400,3.864372087166255e-06,1.345385970494141e-05,1.599587194573146e-05
1176939684,4.210433119875535e-06,1.1654937356445127e-05,1.6347417969849565e-05
1177159968,3.940750350712426e-06,1.124609709134911e-05,1.600193791010168e-05
1177380252,3.638905061988293e-06,1.0526740819979684e-05,1.5292686879293046e-05
1177600536,3.4934899248842655e-06,5.863893110256287e-06,1.4730279800552542e-05
1177820820,3.4282113964649973e-06,5.868250375666112e-06,1.447208164410745e-05
1178041104,3.683787059215193e-06,7.321422303856302e-06,1.4293634104255447e-05
1178261388,3.407766508670087e-06,8.318066336327645e-06,1.5309353910732767e-05
1178481672,3.403594435672782e-06,7.631463473120936e-06,1.5466659651158537e-05
1178701956,3.397619596429694e-06,9.215892079269188e-06,1.555180783712029e-05
1178922240,3.5097863341730234e-06,8.554301005642213e-06,1.5920067567814696e-05
1179142524,3.6270712544408054e-06,7.915188329738438e-06,1.704582656683383e-05
1179362808,3.5961951930444237e-06,1.336008954306377e-05,1.6118709762246328e-05
1179583092,3.540142440324579e-06,1.0514199179559222e-05,1.6375211308164412e-05
1179803376,3.4762071053228154e-06,1.1515193637683012e-05,1.6416920939893386e-05
1180023660,3.5164104051188983e-06,1.0647155015967952e-05,1.6439218833248885e-05
1180243944,3.4905617045482045e-06,1.2010886139701199e-05,1.65039678547372e-05
1180464228,3.4322316384367875e-06,9.098080789164963e-06,1.6236737188473644e-05
1180684512,3.461929388072759e-06,9.180495004348507e-06,1.6696214484293405e-05
1180904796,3.3168217297363496e-06,9.048043774027851e-06,1.570819481805635e-05
1181125080,3.263090725356521e-06,8.803676114154069e-06,1.58692935436172e-05
1181345364,3.1339134241853763e-06,8.671888323262553e-06,1.565112407834753e-05
1181565648,3.2079714947745788e-06,1.0326752732311758e-05,1.5869724549299637e-05
1181785932,3.273746214221876e-06,0.00012775895882620388,1.6320423862446904e-05
1182006216,3.2055359322114833e-06,8.610477043072535e-06,1.5846768064061506e-05
1182226500,3.309888711426792e-06,1.2890043310073339e-05,1.5859899568666148e-05
1182446784,3.202064580994401e-06,1.21632187402221e-05,1.5975186503160143e-05
1182667068,3.250176282369603e-06,1.219675552241299e-05,1.639592126654044e-05
1182887352,3.225088794557366e-06,7.574764470302578e-06,1.665494145536364e-05
1183107636,3.167406380063413e-06,1.0399590680889768e-05,1.657639428447867e-05
1183327920,3.1709950918255347e-06,8.952428143692896e-06,1.6228140227185916e-05
1183548204,3.4797158535363922e-06,9.8905162970658e-06,1.897645305333371e-05
1183768488,3.3021312087240156e-06,9.652607052554636e-06,1.687722532206777e-05
1183988772,3.280937375145644e-06,9.843314011131886e-06,1.637150983468225e-05
1184209056,3.2793103633988023e-06,1.0450936524218707e-05,1.6955249624881034e-05
1184429340,3.2521673784445127e-06,1.0940990593521028e-05,1.6661387177139784e-05
1184649624,3.1933542963215566e-06,1.1113472453833429e-05,1.6578587537227454e-05
1184869908,3.1773154824897368e-06,1.1713451116276419e-05,1.6418924809002217e-05
1185090192,3.265985414004317e-06,7.951328523806838e-06,1.735439453441865e-05
1185310476,3.276331903563602e-06,8.625164569354408e-06,1.755564859758865e-05
1185530760,0.0,0.0,0.0
1185751044,0.0,0.0,0.0
1185971328,0.0,0.0,0.0
1186191612,0.0,0.0,0.0
1186411896,0.0,0.0,0.0
1186632180,0.0,0.0,0.0
1186852464,0.0,0.0,0.0
1187072748,0.0,0.0,0.0
1187293032,0.0,0.0,0.0
1187513316,0.0,0.0,0.0
1187733600,0.0,0.0,0.0
