ts,Dtree,nDtree,HK
1165925484,4.399181165097165e-06,3.8022630967810452e-06,6.984494272362165e-05
1166145768,4.949695889936083e-06,4.583943893621108e-06,0.00012100976609880204
1166366052,4.937183772817844e-06,4.566396521842018e-06,0.00012342618414740912
1166586336,4.878617295430185e-06,4.532089264984522e-06,0.00011639764291214979
1166806620,4.84577590414345e-06,4.571066083984684e-06,0.00011729217571860732
1167026904,4.9131053823929384e-06,4.631938800923332e-06,0.00012052833970840172
1167247188,4.463711508676914e-06,1.548431696520227e-05,9.162248428561076e-05
1167467472,4.4038094307689126e-06,1.3139844746941254e-05,9.012914158889956e-05
1167687756,4.302334992260051e-06,1.6159993014795797e-05,8.608336639053408e-05
1167908040,4.260657228973805e-06,1.4633744405852414e-05,8.603768159863288e-05
1168128324,4.329215096328999e-06,1.5196829794350814e-05,8.513190147718066e-05
1168348608,4.621051554592425e-06,1.6130673821009043e-05,8.621639393754785e-05
1168568892,4.672848703933989e-06,1.4332779438805048e-05,9.033327490987971e-05
1168789176,4.713415875621976e-06,1.8036351641658725e-05,9.061795826053588e-05
1169009460,4.7213744606485565e-06,1.4777109056848656e-05,9.434093117247238e-05
1169229744,0.0,0.0,0.0
1169450028,0.0,0.0,0.0
1169670312,0.0,0.0,0.0
1169890596,0.0,0.0,0.0
1170110880,0.0,0.0,0.0
1170331164,0.0,0.0,0.0
1170551448,0.0,0.0,0.0
1170771732,0.0,0.0,0.0
1170992016,4.273386470132482e-06,5.43224506949414e-06,8.122853517197365e-05
1171212300,4.961973418662736e-06,7.112797343194509e-06,0.00011448720788740928
1171432584,4.909465357002297e-06,6.964277557918047e-06,0.00011360633131893928
1171652868,4.952497681276788e-06,7.026261418733692e-06,0.0010107622191796184
1171873152,5.033519462308586e-06,7.1655459348201755e-06,0.00012168174339013667
1172093436,4.896892163750207e-06,6.966502448619407e-06,0.00011368750009050159
1172313720,5.2087369625203965e-06,1.232052999815166e-05,0.00010528754138693123
1172534004,5.2338338294288345e-06,1.4558769126655243e-05,9.168821987373927e-05
1172754288,5.066996940887093e-06,1.2290825917985947e-05,9.05396726934337e-05
1172974572,5.1691619512988994e-06,1.6956443595894895e-05,9.420840970870275e-05
