ts,num
1096101560,336
1096219061,537
1096336562,623
1096454063,730
1096571564,841
1096689065,949
1096806566,1046
1096924067,1154
1097041568,1224
1097159069,1345
1097276570,1453
1097394071,1455
1097511572,1440
1097629073,1472
1097746574,1465
1097864075,1509
1097981576,1536
1098099077,1548
1098216578,1553
1098334079,1604
1098451580,1610
1098569081,1658
1098686582,1660
1098804083,1684
1098921584,1729
1099039085,1765
1099156586,1841
1099274087,1883
1099391588,1899
1099509089,2061
1099626590,2082
1099744091,2120
1099861592,2141
1099979093,2148
1100096594,2118
1100214095,2159
1100331596,2181
1100449097,2143
1100566598,2085
1100684099,2040
1100801600,1879
1100919101,1896
1101036602,1903
1101154103,1869
1101271604,1891
1101389105,1935
1101506606,1911
1101624107,1858
1101741608,1826
1101859109,1816
1101976610,1846
1102094111,1841
1102211612,1823
1102329113,1789
1102446614,1727
1102564115,1676
1102681616,1584
1102799117,1591
1102916618,1565
1103034119,1528
1103151620,1504
1103269121,1463
1103386622,1486
1103504123,1502
1103621624,1487
1103739125,1530
1103856626,1570
1103974127,1582
1104091628,1568
1104209129,1540
1104326630,1554
1104444131,1559
1104561632,1565
1104679133,1504
1104796634,1480
1104914135,1505
1105031636,1435
1105149137,1395
1105266638,1325
1105384139,1222
1105501640,1156
1105619141,1074
1105736642,965
1105854143,844
1105971644,731
1106089145,588
1106206646,446
1106324147,312
1106441648,0
1106559149,0
1106676650,0
1106794151,0
1106911652,0
1107029153,0
1107146654,0
1107264155,0
1107381656,0
1107499157,0
1107616658,0
1107734159,0
