ts,num
1423733250,4
1424167867,5
1424602484,5
1425037101,2
1425471718,0
1425906335,3
1426340952,12
1426775569,15
1427210186,16
1427644803,11
1428079420,10
1428514037,9
1428948654,6
1429383271,4
1429817888,4
1430252505,2
1430687122,2
1431121739,7
1431556356,7
1431990973,8
1432425590,2
1432860207,5
1433294824,4
1433729441,5
1434164058,8
1434598675,10
1435033292,9
1435467909,5
1435902526,3
1436337143,3
1436771760,3
1437206377,5
1437640994,11
1438075611,9
1438510228,8
1438944845,11
1439379462,14
1439814079,18
1440248696,12
1440683313,11
1441117930,8
1441552547,5
1441987164,11
1442421781,17
1442856398,24
1443291015,26
1443725632,32
1444160249,32
1444594866,29
1445029483,28
1445464100,49
1445898717,53
1446333334,64
1446767951,44
1447202568,53
1447637185,35
1448071802,48
1448506419,30
1448941036,26
1449375653,29
1449810270,41
1450244887,47
1450679504,35
1451114121,18
1451548738,11
1451983355,11
1452417972,19
1452852589,36
1453287206,45
1453721823,49
1454156440,35
1454591057,36
1455025674,59
1455460291,53
1455894908,56
1456329525,43
1456764142,58
1457198759,58
1457633376,50
1458067993,34
1458502610,23
1458937227,27
1459371844,31
1459806461,32
1460241078,33
1460675695,36
1461110312,32
1461544929,113
1461979546,621
1462414163,826
1462848780,963
1463283397,968
1463718014,1065
1464152631,1177
1464587248,985
1465021865,612
1465456482,2
1465891099,0
1466325716,0
1466760333,0
