ts,num
1082227042,4
1082420323,5
1082613604,88
1082806885,205
1083000166,293
1083193447,398
1083386728,535
1083580009,609
1083773290,736
1083966571,828
1084159852,906
1084353133,943
1084546414,962
1084739695,981
1084932976,1032
1085126257,1052
1085319538,1027
1085512819,1069
1085706100,1140
1085899381,1147
1086092662,1147
1086285943,1166
1086479224,1123
1086672505,1114
1086865786,1083
1087059067,986
1087252348,948
1087445629,877
1087638910,771
1087832191,706
1088025472,604
1088218753,473
1088412034,412
1088605315,327
1088798596,376
1088991877,405
1089185158,430
1089378439,444
1089571720,457
1089765001,493
1089958282,455
1090151563,417
1090344844,401
1090538125,388
1090731406,364
1090924687,299
1091117968,295
1091311249,297
1091504530,302
1091697811,308
1091891092,288
1092084373,284
1092277654,272
1092470935,288
1092664216,280
1092857497,272
1093050778,273
1093244059,277
1093437340,292
1093630621,286
1093823902,318
1094017183,313
1094210464,315
1094403745,305
1094597026,293
1094790307,281
1094983588,276
1095176869,250
1095370150,253
1095563431,253
1095756712,259
1095949993,267
1096143274,273
1096336555,265
1096529836,250
1096723117,234
1096916398,222
1097109679,200
1097302960,189
1097496241,187
1097689522,184
1097882803,177
1098076084,206
1098269365,199
1098462646,192
1098655927,182
1098849208,200
1099042489,168
1099235770,159
1099429051,113
1099622332,95
1099815613,74
1100008894,42
1100202175,0
1100395456,0
1100588737,0
1100782018,0
1100975299,0
1101168580,0
1101361861,0
