ts,num
1920,11043
1921,21202
1922,31297
1923,42022
1924,53207
1925,58108
1926,62618
1927,68229
1928,73945
1929,80190
1930,85872
1931,92787
1932,99560
1933,103777
1934,108397
1935,112415
1936,116124
1937,122541
1938,130689
1939,137384
1940,144497
1941,152138
1942,151123
1943,148632
1944,143801
1945,137512
1946,134648
1947,145005
1948,162317
1949,188531
1950,219646
1951,268982
1952,312742
1953,353416
1954,393423
1955,435008
1956,466916
1957,502485
1958,539194
1959,578866
1960,621897
1961,679543
1962,729851
1963,787935
1964,855108
1965,931802
1966,1012981
1967,1106085
1968,1202619
1969,1303259
1970,1411264
1971,1579194
1972,1688246
1973,1800920
1974,1907310
1975,1998855
1976,2054466
1977,2160371
1978,2267119
1979,2381401
1980,2505726
1981,2671575
1982,2817644
1983,2957301
1984,3111708
1985,3292253
1986,3459113
1987,3675068
1988,3913947
1989,4173084
1990,4451187
1991,4790871
1992,5086421
1993,5396872
1994,5701599
1995,6010219
1996,6308697
1997,6684823
1998,7080990
1999,7535376
2000,7981729
2001,8554491
2002,9081599
2003,9680360
2004,10331722
2005,11380618
2006,12321830
2007,13264352
2008,14284012
2009,15348091
2010,16234219
2011,17239839
2012,18454245
2013,19751728
2014,21130523
2015,22524305
2016,23796444
2017,25320073
2018,26320654
2019,26991834
2020,27677184
2021,28148644
2022,28047392
2023,25199193
2024,21569284
2025,17245794
2026,11966411
2027,3713897
2028,0
